Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm),real_distance,rtt_kalman
0,4.175,0.27,-66,4.833,0.175
518,5.433,0.105,-61,4.833,0.249696131
1042,5.785,0.165,-61,4.833,0.340857773
1566,5.132,0.12,-61,4.83301,0.387833494
2087,5.863,0.06,-57,4.83302,0.475424496
2620,5.394,0.15,-61,4.83303,0.529966934
3148,5.296,0.24,-57,4.83302,0.575451928
3664,5.859,0.135,-57,4.83303,0.651665397
4195,6.214,0.135,-61,4.83304,0.744432414
4711,5.5,0.12,-61,4.83305,0.7892962
5233,4.863,0.135,-63,4.83311,0.793673075
5761,5.828,0.195,-62,4.83312,0.855088769
6305,5.527,0.165,-65,4.83316,0.894985404
6809,8.671,0.105,-63,4.8332,1.119194087
7340,9.566,0.15,-70,4.83335,1.383232483
7858,6.523,0.09,-66,4.83329,1.450909461
8390,6.062,0.075,-64,4.83338,1.487195307
8907,6.324,0.225,-66,4.8334,1.536883391
9450,9.335,0.525,-69,4.83347,1.762405021
9950,5.332,0.105,-69,4.8335,1.736850386
12596,5.968,0.33,-71,4.83389,1.750576787
14170,8.238,0,-65,4.83413,1.898273715
15214,7.324,0,-68,4.83429,1.982930516
17826,10.546,0.3,-69,4.835,2.253873086
20456,7.218,0,-68,4.83547,2.311121882
24632,9.82,0.105,-67,4.83659,2.51947015
25699,6.64,0.24,-69,4.83727,2.526629021
26224,8.957,0.09,-67,4.83703,2.670939088
29351,10.023,0.135,-66,4.83794,2.869976372
31468,9.898,0,-71,4.83894,3.049773515
31976,7.421,0.255,-70,4.83928,3.071818468
32507,9.093,0.345,-71,4.83921,3.191832644
33039,7.304,0.24,-71,4.83965,3.198495603
34082,8.921,0.225,-70,4.83993,3.300775377
34594,9.511,0.15,-69,4.8403,3.432014558
35120,12.332,0.33,-68,4.84055,3.722963499
35645,8.648,0.15,-66,4.84052,3.777892597
36184,9.699,0.18,-70,4.84122,3.89196534
36691,8.832,0.3,-67,4.84085,3.947785138
37222,7.253,0.225,-70,4.84174,3.906534469
37745,11.863,0.27,-71,4.84171,4.141460573
38264,7.875,0.285,-68,4.84193,4.125642666
38807,7.125,0.42,-71,4.84214,4.066231293
39327,7.558,0.15,-67,4.84263,4.036057722
39839,6.222,0.27,-71,4.84267,3.928348208
40371,7.429,0.18,-68,4.84331,3.898701959
42981,12.414,0.375,-69,4.84424,4.166809793
43521,8.171,0.15,-70,4.84477,4.167062312
44032,8.816,0.21,-70,4.84466,4.205597933
45082,8.296,0.15,-70,4.84538,4.21096948
46128,8.863,0.24,-70,4.84637,4.249688785
46672,9.449,0.15,-70,4.84594,4.320903953
47721,7.046,0,-69,4.847,4.245207979
48751,5.89,0.195,-68,4.84756,4.105366839
49806,7.691,0.15,-70,4.84809,4.080766684
50342,7.949,0.15,-71,4.84832,4.072946425
51368,8.652,0.15,-71,4.8496,4.107332457
52429,7.078,0.12,-69,4.8502,4.046217557
53490,8.882,0.255,-68,4.85078,4.095847326
54536,-1.199,0.75,-73,4.85166,3.543951827
55061,7.5,0.84,-71,4.85141,3.541345242
55568,9.375,0.165,-70,4.85166,3.650225098
56092,12.269,0.18,-69,4.85198,3.924476835
56619,8.351,0.3,-70,4.85226,3.949805947
57151,7.886,0.21,-70,4.85293,3.946020864
57665,7.589,0.225,-69,4.8529,3.924825586
58207,11.96,0.27,-69,4.85396,4.164425196
59236,8.699,0.375,-69,4.85485,4.196170302
60284,8.164,0.36,-69,4.85602,4.194263874
61354,11.312,0.3,-66,4.85641,4.3793891
61877,7.398,0.24,-70,4.85653,4.32112118
62927,8.003,0.24,-72,4.85725,4.302235994
63432,8.203,0.15,-71,4.85831,4.296347513
63969,12.253,0.15,-68,4.85807,4.53128508
64489,10.332,0.225,-71,4.85884,4.638209994
65006,7.847,0.315,-69,4.8599,4.591234559
65532,10.781,0.15,-70,4.85922,4.721260139
66054,10.281,0.315,-72,4.86034,4.813876879
66577,8.953,0.285,-69,4.86037,4.822141898
67644,10.949,0.21,-73,4.86171,4.94843245
68672,9.777,0.285,-70,4.86189,4.997634662
69202,8.492,0.345,-70,4.86276,4.967616138
69741,8.527,0.36,-68,4.8633,4.941458185
70771,13.066,0.3,-70,4.86361,5.186365099
71306,12.832,0.3,-68,4.86488,5.402836238
71821,6.867,0.165,-71,4.86501,5.252271031
72344,7.378,0.15,-69,4.86503,5.14098737
72868,7.582,0.15,-73,4.86582,5.048424169
73401,6.796,0.315,-73,4.86686,4.91468676
73921,8.667,0.24,-71,4.86705,4.899984304
74437,7.898,0.33,-67,4.86798,4.84049399
74969,7.316,0.15,-69,4.86807,4.749978619
75501,9.539,0.285,-71,4.86887,4.796832517
76033,10.175,0.21,-70,4.86843,4.878668124
76540,7.304,0.18,-69,4.86939,4.785173605
77063,7.527,0.18,-70,4.87014,4.710471459
77603,10.484,0.255,-71,4.87098,4.815782296
78111,7.48,0.285,-67,4.8714,4.736472017
78637,7.199,0.15,-70,4.87169,4.645185954
79157,7.964,0.225,-71,4.87282,4.604743412
80216,13.019,0.3,-70,4.87315,4.866852376
80747,10.816,0.15,-67,4.87351,4.982591074
81257,10.406,0.15,-71,4.87479,5.06711315
81782,7.886,0.24,-69,4.87416,4.996986877
82305,8.515,0.255,-70,4.87582,4.968372485
82829,8.949,0.225,-70,4.87629,4.967226671
83373,7.699,0.39,-73,4.87689,4.891927775
83898,12.375,0.315,-70,4.87683,5.098746173
84421,6.707,0.255,-70,4.87797,4.956736303
84925,10.226,0.24,-70,4.87794,5.03210569
85981,9.75,0.27,-71,4.87964,5.074736547
87032,9.359,0.285,-69,4.88108,5.09161979
87549,8.277,0.21,-72,4.88051,5.043254777
88076,8.113,0.15,-71,4.88193,4.988023673
88597,9.687,0.15,-71,4.8824,5.029531198
89132,11.667,0.15,-70,4.88414,5.18614042
89649,7.992,0.18,-70,4.88318,5.115240739
90190,6.578,0.225,-73,4.88514,4.96459187
90693,8.968,0.21,-70,4.88472,4.964798694
91221,8.894,0.165,-68,4.88559,4.960599348
91762,10.523,0.33,-69,4.8862,5.0533743
92281,9.105,0.075,-69,4.88562,5.056444217
92792,7.648,0.225,-70,4.88709,4.972819722
93335,7.898,0.3,-69,4.88724,4.909004735
93841,8.664,0.285,-71,4.88704,4.894461524
94375,8.652,0.165,-71,4.88828,4.880069307
94889,11.128,0.15,-71,4.89,5.013548828
95415,8.5,0.15,-75,4.88943,4.9830604
95956,11.035,0.255,-69,4.89044,5.104902675
96461,10.468,0.3,-70,4.8912,5.185843749
97005,10.113,0.255,-70,4.89148,5.240900073
97531,9.468,0.255,-70,4.8918,5.254389278
98038,8.519,0.27,-70,4.89414,5.210728879
98582,8.66,0.15,-72,4.89321,5.178032999
99087,7.468,0.15,-72,4.8938,5.076501212
99610,10.914,0.15,-67,4.8952,5.185610745
100138,8.015,0.225,-72,4.89507,5.116108183
100650,8.164,0.315,-73,4.89697,5.059579559
101187,8.789,0.21,-75,4.89606,5.043517935
101711,8.429,0.225,-73,4.89782,5.007034303
102754,8.132,0.15,-67,4.89911,4.955081985
103279,9.042,0.3,-65,4.89977,4.960247358
103804,8.796,0.225,-67,4.9011,4.950499317
104338,9.101,0.255,-67,4.90069,4.959440027
104854,10.199,0.24,-72,4.9025,5.033045702
105376,7.664,0.285,-70,4.90333,4.951760547
105905,7.257,0.225,-73,4.90219,4.85113538
106433,9.375,0.24,-71,4.90466,4.882245188
106948,8.546,0.27,-72,4.90532,4.862284377
107475,11.214,0.3,-68,4.90661,5.001926308
108003,10.964,0.15,-69,4.90624,5.118432642
108525,8.203,0.225,-69,4.90675,5.0640817
109050,6.554,0.255,-72,4.9089,4.915045402
109572,7.859,0.3,-66,4.90794,4.852345122
110109,7.574,0.24,-71,4.90912,4.776445317
110619,10.902,0.315,-70,4.91081,4.902658434
111667,7.558,0.225,-72,4.90979,4.822821197
112193,7.98,0.24,-67,4.91199,4.772781422
112719,8.015,0.15,-65,4.91135,4.727790997
113263,7.691,0.3,-68,4.9117,4.66623381
113778,7.363,0.225,-72,4.91389,4.588856018
114293,7.992,0.27,-68,4.91256,4.553420673
114815,10.304,0.15,-66,4.91284,4.657368711
115360,7.648,0.195,-71,4.91299,4.597439708
116385,7.667,0.255,-73,4.91505,4.542197208
116913,11.054,0.15,-72,4.91481,4.691344319
117435,8.984,0.285,-72,4.91617,4.70872551
117957,8.082,0.165,-72,4.9164,4.671516718
118482,7.453,0.15,-70,4.91741,4.59916917
119009,8.667,0.27,-69,4.91808,4.603200874
119542,7.781,0.24,-68,4.92064,4.554385264
120066,8.281,0.3,-71,4.92051,4.538156575
120583,7.031,0.315,-70,4.92121,4.448670364
121110,9.941,0.15,-71,4.92266,4.537284241
121631,7.632,0.18,-69,4.92322,4.483535338
122154,8.234,0.255,-68,4.92305,4.468722717
122676,8.082,0.21,-67,4.92476,4.445764323
123200,10.632,0.285,-69,4.92346,4.57558018
123724,7.617,0.15,-69,4.92588,4.518666766
124250,9.375,0.225,-69,4.92667,4.569517217
124778,8.156,0.15,-71,4.92596,4.544967942
125297,7.378,0.195,-70,4.9285,4.475681082
125827,11.171,0.3,-71,4.92814,4.635724748
126346,8.582,0.3,-68,4.93002,4.632538894
126870,8.636,0.225,-69,4.93045,4.632748554
127416,7.273,0.165,-68,4.9317,4.552015062
128446,7.406,0.24,-67,4.93444,4.483972325
128968,7.125,0.345,-67,4.93366,4.403284784
129492,7.558,0.15,-68,4.934,4.353098338
130019,7.363,0.315,-70,4.93682,4.294313266
130566,8.011,0.21,-66,4.93704,4.277494841
131090,7.218,0.15,-69,4.93777,4.21458915
131593,8.011,0.3,-67,4.93934,4.202504421
132120,7.527,0.165,-69,4.94086,4.162398818
132649,7.16,0.165,-64,4.93938,4.102883204
133163,6.265,0.15,-66,4.94199,3.993759068
133710,6.734,0.3,-69,4.9429,3.918962046
134223,7.113,0.24,-70,4.94296,3.871110011
134738,7.738,0.21,-70,4.94435,3.863209794
135261,7.429,0.195,-69,4.94471,3.8374312
135790,6.464,0.21,-73,4.94529,3.755884534
136310,8.062,0.36,-67,4.94641,3.774064053
136855,7.527,0.15,-70,4.94632,3.759397509
137361,7.664,0.3,-68,4.9467,3.753736439
137885,8.441,0.15,-76,4.94813,3.794547346
138403,7.558,0.3,-71,4.94878,3.780505271
138938,7.679,0.255,-72,4.94954,3.774481561
139481,7.253,0.21,-68,4.94882,3.743520958
139991,9.269,0.285,-73,4.9489,3.834102486
140509,7.73,0.165,-72,4.95219,3.827924611
141027,8.382,0.3,-76,4.95073,3.860827288
141575,6.273,0.42,-75,4.95219,3.76655047
142598,8.156,0.3,-73,4.95432,3.789678117
143123,7.378,0.15,-71,4.95526,3.765237316
143652,7.976,0.285,-71,4.95659,3.777755092
144175,9.117,0.24,-74,4.9562,3.857278648
144719,7.273,0.195,-74,4.95847,3.822589427
146293,7.246,0.15,-74,4.95826,3.788356735
147334,7.75,0.285,-77,4.96045,3.786082596
147841,11.039,0.27,-79,4.96125,3.979234085
148893,10.843,0.285,-75,4.96259,4.149279149
149418,8.488,0.285,-75,4.96509,4.169395041
149947,8.054,0.165,-76,4.96605,4.162546962
150988,8.281,0.255,-75,4.96766,4.169584048
151536,11.097,0,-77,4.96729,4.34340863
152560,8.863,0.27,-76,4.96918,4.374264233
153086,8.339,0.27,-75,4.96946,4.372174263
153634,10.597,0.48,-74,4.97153,4.50428141
154136,9.582,0.15,-75,4.97306,4.568277022
156231,9.566,0.15,-76,4.97554,4.627522803
158351,23.097,0.42,-75,4.981,5.486679541
169875,11.699,0.315,-82,5.00418,5.618045201
170386,13.015,0.15,-83,5.00295,5.81975089
170935,12.851,0.315,-81,5.00385,5.999742299
171456,18.628,0.15,-80,5.00339,6.512066852
171982,14.574,0.18,-82,5.00348,6.753257721
172488,17.039,0.15,-77,5.007,7.126491691
173018,14.144,0.3,-81,5.00861,7.305668431
174082,13.796,0.15,-78,5.0074,7.453543221
176691,13.949,0.285,-80,5.00703,7.601722468
179300,13.574,0.285,-79,5.01158,7.718837095
180886,13.027,0.15,-77,5.01582,7.796518768
181419,11.734,0.42,-76,5.01396,7.792813696
181924,13.125,0.15,-75,5.01578,7.871921873
182468,12.535,0.255,-74,5.01623,7.911300559
182974,12.546,0.24,-75,5.01717,7.948994244
183497,11.234,0.3,-75,5.01866,7.906547347
184027,12.042,0.15,-78,5.01907,7.914597305
185069,15.851,0.15,-76,5.02129,8.148335872
185615,9.898,0.21,-79,5.02178,8.014725346
186140,10.39,0.165,-76,5.02515,7.918261504
187187,10.648,0.525,-75,5.02492,7.842844535
187689,9.269,0.255,-75,5.02491,7.690024785
188234,9.296,0.15,-74,5.02479,7.547882031
188741,8.921,0.15,-74,5.02589,7.391912805
189261,8.234,0.225,-75,5.02707,7.204412477
189787,9.597,0.255,-75,5.02831,7.108975865
190316,10.453,0.15,-75,5.0289,7.070032514
190859,8.949,0.375,-75,5.02723,6.944098616
191361,10.843,0.15,-71,5.03097,6.938101998
192405,8.398,0.285,-71,5.03066,6.787284932
192934,9.386,0.15,-70,5.03467,6.704087145
193453,9.164,0.21,-74,5.03547,6.612647637
193982,7.949,0.285,-73,5.03338,6.454494512
194506,9.089,0.15,-72,5.03739,6.373421539
195044,8.667,0.195,-71,5.03769,6.272105303
195563,8.261,0.21,-75,5.03907,6.152697798
196095,9.296,0,-70,5.04008,6.101835311
196599,11.429,0.285,-69,5.04067,6.180643745
197124,12.042,0.15,-73,5.04363,6.291170888
197646,8.949,0.21,-69,5.04352,6.211482647
198170,9,0.18,-75,5.04437,6.139554194
198694,7.738,0.15,-72,5.04264,5.996962923
199219,13.062,0.195,-70,5.04389,6.178960721
199756,7.183,0.195,-70,5.04666,6.001075475
200272,8.785,0.345,-67,5.04666,5.928874117
200814,7.14,0.225,-74,5.04816,5.763284797
201319,9.222,0.15,-67,5.04739,5.731150192
