Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll,Points,x,y,
368,2887530000000,"[b0:e4:d5:39:26:89, 22191, 90, -67, 14:22:3b:16:5a:bd, 9761, 45, -41, cc:f4:11:8b:29:4d, 19828, 60, -55, b0:e4:d5:96:3b:95, 2980, 90, -39, 14:22:3b:2a:86:f5, 5558, 60, -56, f8:1a:2b:06:3c:0b, 7105, 225, -55]",2.89E+12,-1.7587247,-0.94396853,10.002597,-0.106901415,-0.013133603,0.02031127,17.2752,9.1988,43.932198,-1.0886133,0.09268029,0.1740478,0,18.188808,20.159,
369,2888020000000,"[b0:e4:d5:39:26:89, 22449, 90, -66, 14:22:3b:16:5a:bd, 9562, 45, -43, cc:f4:11:8b:29:4d, 19597, 150, -60, b0:e4:d5:96:3b:95, 3261, 90, -35, 14:22:3b:2a:86:f5, 5515, 30, -55, f8:1a:2b:06:3c:0b, 11125, 135, -56]",2.89E+12,-0.2440679,1.3004991,9.468399,0.11285736,-0.07070765,-0.056505036,17.336199,8.418,42.2486,-1.4276191,-0.13645266,0.025771398,0,18.178014,20.159,
370,2888020000000,"[b0:e4:d5:39:26:89, 22449, 90, -66, 14:22:3b:16:5a:bd, 9562, 45, -43, cc:f4:11:8b:29:4d, 19597, 150, -60, b0:e4:d5:96:3b:95, 3261, 90, -35, 14:22:3b:2a:86:f5, 5515, 30, -55, f8:1a:2b:06:3c:0b, 11125, 135, -56]",2.89E+12,-0.46839502,-0.17168503,9.873384,-0.20906863,0.00702495,-0.03848451,16.4212,9.089,43.0904,-1.0814958,0.017367389,0.047404625,0,18.16722,20.159,
371,2888480000000,"[b0:e4:d5:39:26:89, 21710, 105, -68, 14:22:3b:16:5a:bd, 9542, 90, -42, cc:f4:11:8b:29:4d, 19441, 105, -59, b0:e4:d5:96:3b:95, 2652, 150, -37, 14:22:3b:2a:86:f5, 6039, 105, -55, f8:1a:2b:06:3c:0b, 8273, 120, -55]",2.89E+12,-0.28235307,1.2849457,9.720842,0.14462234,-0.05757405,-0.13118331,17.104399,9.2842,43.224598,-1.3765883,-0.13136794,0.02903799,0,18.156426,20.159,
372,2888480000000,"[b0:e4:d5:39:26:89, 21710, 105, -68, 14:22:3b:16:5a:bd, 9542, 90, -42, cc:f4:11:8b:29:4d, 19441, 105, -59, b0:e4:d5:96:3b:95, 2652, 150, -37, 14:22:3b:2a:86:f5, 6039, 105, -55, f8:1a:2b:06:3c:0b, 8273, 120, -55]",2.89E+12,-0.30329028,0.21355942,9.394221,-0.20540343,0.014355334,-0.048258353,17.4826,9.0157995,43.7492,-1.1686199,-0.022717316,0.03227356,0,18.145632,20.159,
373,2888480000000,"[b0:e4:d5:39:26:89, 21710, 105, -68, 14:22:3b:16:5a:bd, 9542, 90, -42, cc:f4:11:8b:29:4d, 19441, 105, -59, b0:e4:d5:96:3b:95, 2652, 150, -37, 14:22:3b:2a:86:f5, 6039, 105, -55, f8:1a:2b:06:3c:0b, 8273, 120, -55]",2.89E+12,-0.6155536,-1.0402796,10.160523,0.005955936,-0.024892759,-0.014966198,16.5798,8.6376,44.225,-0.97694504,0.1018435,0.06050891,0,18.134838,20.159,
374,2888940000000,"[b0:e4:d5:39:26:89, 21949, 120, -67, 14:22:3b:16:5a:bd, 9628, 60, -42, cc:f4:11:8b:29:4d, 19593, 120, -59, b0:e4:d5:96:3b:95, 1933, 105, -39, 14:22:3b:2a:86:f5, 5667, 270, -56, f8:1a:2b:06:3c:0b, 7417, 90, -55]",2.89E+12,-0.18544376,1.9387846,8.92822,0.1160644,-0.034055736,-0.098043874,16.6286,8.8938,43.0172,-1.5913492,-0.21378785,0.020767532,0,18.124044,20.159,
375,2888940000000,"[b0:e4:d5:39:26:89, 21949, 120, -67, 14:22:3b:16:5a:bd, 9628, 60, -42, cc:f4:11:8b:29:4d, 19593, 120, -59, b0:e4:d5:96:3b:95, 1933, 105, -39, 14:22:3b:2a:86:f5, 5667, 270, -56, f8:1a:2b:06:3c:0b, 7417, 90, -55]",2.89E+12,-0.015553347,-0.6891329,9.743574,-0.1385137,0.04016439,-0.018784106,17.4582,8.7352,44.2616,-0.976961,0.07060924,0.001596266,0,18.11325,20.159,
376,2889400000000,"[b0:e4:d5:39:26:89, 21898, 60, -68, 14:22:3b:16:5a:bd, 9523, 60, -43, cc:f4:11:8b:29:4d, 19984, 150, -61, b0:e4:d5:96:3b:95, 2585, 45, -37, 14:22:3b:2a:86:f5, 6121, 105, -57, f8:1a:2b:06:3c:0b, 6906, 75, -53]",2.89E+12,-1.090529,1.9938195,10.4016,0.2657264,-0.09010262,-0.012217305,16.8238,8.5156,43.0294,-1.5387875,-0.18837866,0.1044608,0,18.102456,20.159,
377,2889400000000,"[b0:e4:d5:39:26:89, 21898, 60, -68, 14:22:3b:16:5a:bd, 9523, 60, -43, cc:f4:11:8b:29:4d, 19984, 150, -61, b0:e4:d5:96:3b:95, 2585, 45, -37, 14:22:3b:2a:86:f5, 6121, 105, -57, f8:1a:2b:06:3c:0b, 6906, 75, -53]",2.89E+12,0.10468599,0.61435723,9.367303,-0.0580322,0.034208454,-0.059101213,17.6168,9.174399,42.529198,-1.2155482,-0.065487415,-0.011175215,0,18.091662,20.159,
378,2889880000000,"[b0:e4:d5:39:26:89, 21375, 375, -69, 14:22:3b:16:5a:bd, 9691, 60, -41, cc:f4:11:8b:29:4d, 19941, 75, -56, b0:e4:d5:96:3b:95, 3039, 90, -34, 14:22:3b:2a:86:f5, 5472, 180, -56, f8:1a:2b:06:3c:0b, 7433, 45, -54]",2.89E+12,-0.75972116,-1.683949,10.496117,0.098807454,-0.025045475,-0.03436117,17.409399,8.2472,43.065998,-0.94704974,0.15867166,0.072255164,0,18.080868,20.159,
379,2889880000000,"[b0:e4:d5:39:26:89, 21375, 375, -69, 14:22:3b:16:5a:bd, 9691, 60, -41, cc:f4:11:8b:29:4d, 19941, 75, -56, b0:e4:d5:96:3b:95, 3039, 90, -34, 14:22:3b:2a:86:f5, 5472, 180, -56, f8:1a:2b:06:3c:0b, 7433, 45, -54]",2.89E+12,0.096311115,1.1599208,9.349955,0.034208454,-0.010995574,-0.04917465,17.8852,8.3448,43.4808,-1.4056414,-0.123419225,-0.01030034,0,18.070074,20.159,
380,2889880000000,"[b0:e4:d5:39:26:89, 21375, 375, -69, 14:22:3b:16:5a:bd, 9691, 60, -41, cc:f4:11:8b:29:4d, 19941, 75, -56, b0:e4:d5:96:3b:95, 3039, 90, -34, 14:22:3b:2a:86:f5, 5472, 180, -56, f8:1a:2b:06:3c:0b, 7433, 45, -54]",2.89E+12,1.4093726,-0.8566305,10.225129,-0.087201014,0.09330966,-0.082161374,17.409399,9.0036,43.0416,-0.73032874,0.08280258,-0.13697116,0,18.05928,20.159,
381,2890340000000,"[b0:e4:d5:39:26:89, 23183, 330, -70, 14:22:3b:16:5a:bd, 9585, 60, -44, cc:f4:11:8b:29:4d, 19796, 45, -59, b0:e4:d5:96:3b:95, 2957, 75, -33, 14:22:3b:2a:86:f5, 5835, 105, -55, f8:1a:2b:06:3c:0b, 8765, 120, -55]",2.89E+12,-0.75493556,1.2197413,9.510872,0.12644911,-0.064751714,-0.027183503,17.08,8.8328,44.042,-1.4081752,-0.12715517,0.07920998,0,18.048486,20.159,
382,2890340000000,"[b0:e4:d5:39:26:89, 23183, 330, -70, 14:22:3b:16:5a:bd, 9585, 60, -44, cc:f4:11:8b:29:4d, 19796, 45, -59, b0:e4:d5:96:3b:95, 2957, 75, -33, 14:22:3b:2a:86:f5, 5835, 105, -55, f8:1a:2b:06:3c:0b, 8765, 120, -55]",2.89E+12,0.7932207,-0.1274178,9.70828,-0.1498147,0.053297993,-0.010231993,17.2996,8.906,43.1392,-0.9661749,0.013080316,-0.0815245,0,18.037692,20.159,
383,2890810000000,"[b0:e4:d5:39:26:89, 23226, 165, -71, 14:22:3b:16:5a:bd, 9652, 120, -41, cc:f4:11:8b:29:4d, 22898, 120, -66, b0:e4:d5:96:3b:95, 2902, 60, -34, 14:22:3b:2a:86:f5, 6167, 105, -54, f8:1a:2b:06:3c:0b, 9847, 90, -51]",2.89E+12,0.37328035,0.50189453,9.3104725,0.11804971,0.11575896,0.0870483,17.409399,10.0406,43.0172,-1.1153158,-0.05381118,-0.04007106,0,18.026898,20.159,
384,2890810000000,"[b0:e4:d5:39:26:89, 23226, 165, -71, 14:22:3b:16:5a:bd, 9652, 120, -41, cc:f4:11:8b:29:4d, 22898, 120, -66, b0:e4:d5:96:3b:95, 2902, 60, -34, 14:22:3b:2a:86:f5, 6167, 105, -54, f8:1a:2b:06:3c:0b, 9847, 90, -51]",2.89E+12,0.87996054,1.2472588,9.422338,-0.029168816,0.007483099,-0.016187929,17.994999,9.2842,42.8586,-1.3307565,-0.13104372,-0.0931208,0,18.016104,20.159,
385,2891290000000,"[b0:e4:d5:39:26:89, 23527, 375, -70, 14:22:3b:16:5a:bd, 9816, 45, -42, cc:f4:11:8b:29:4d, 19941, 150, -59, b0:e4:d5:96:3b:95, 2257, 45, -37, 14:22:3b:2a:86:f5, 6410, 30, -52, f8:1a:2b:06:3c:0b, 7550, 75, -54]",2.89E+12,1.0642079,-1.3848461,9.91466,-0.06780604,0.082619525,0.061086524,17.3118,9.3696,43.0294,-0.68589866,0.13799618,-0.10692742,0,18.00531,20.159,
386,2891290000000,"[b0:e4:d5:39:26:89, 23527, 375, -70, 14:22:3b:16:5a:bd, 9816, 45, -42, cc:f4:11:8b:29:4d, 19941, 150, -59, b0:e4:d5:96:3b:95, 2257, 45, -37, 14:22:3b:2a:86:f5, 6410, 30, -52, f8:1a:2b:06:3c:0b, 7550, 75, -54]",2.89E+12,0.5180461,0.9942178,9.825528,0.15577064,-0.037110064,-0.105374254,17.2142,10.223599,42.9074,-1.2018613,-0.10070504,-0.052675728,0,17.994516,20.159,
387,2891290000000,"[b0:e4:d5:39:26:89, 23527, 375, -70, 14:22:3b:16:5a:bd, 9816, 45, -42, cc:f4:11:8b:29:4d, 19941, 150, -59, b0:e4:d5:96:3b:95, 2257, 45, -37, 14:22:3b:2a:86:f5, 6410, 30, -52, f8:1a:2b:06:3c:0b, 7550, 75, -54]",2.89E+12,-1.3226327,0.45044887,9.0747795,-0.030085113,0.106901415,-0.04046982,18.1048,9.3818,42.7488,-1.2717745,-0.04907904,0.14472914,0,17.983722,20.159,
388,2891760000000,"[b0:e4:d5:39:26:89, 23957, 345, -70, 14:22:3b:16:5a:bd, 9710, 90, -44, cc:f4:11:8b:29:4d, 20144, 45, -53, b0:e4:d5:96:3b:95, 1890, 60, -40, 14:22:3b:2a:86:f5, 6539, 45, -51, f8:1a:2b:06:3c:0b, 6410, 75, -55]",2.89E+12,-0.60777694,-0.029312078,9.84467,0.017256944,-0.03848451,0.021685716,16.7262,9.3696,42.7976,-1.1143064,0.00297179,0.06165839,0,17.972928,20.159,
389,2891760000000,"[b0:e4:d5:39:26:89, 23957, 345, -70, 14:22:3b:16:5a:bd, 9710, 90, -44, cc:f4:11:8b:29:4d, 20144, 45, -53, b0:e4:d5:96:3b:95, 1890, 60, -40, 14:22:3b:2a:86:f5, 6539, 45, -51, f8:1a:2b:06:3c:0b, 6410, 75, -55]",2.89E+12,1.5822539,-0.18424734,9.970892,0.044745877,0.065209866,-0.038026363,17.812,9.5648,42.846397,-0.80845827,0.01824814,-0.15737507,0,17.962134,20.159,
390,2892230000000,"[b0:e4:d5:39:26:89, 24960, 375, -69, 14:22:3b:16:5a:bd, 9656, 75, -44, cc:f4:11:8b:29:4d, 20339, 60, -52, b0:e4:d5:96:3b:95, 2351, 30, -38, 14:22:3b:2a:86:f5, 6207, 75, -54, f8:1a:2b:06:3c:0b, 9167, 135, -54]",2.89E+12,-2.021337,0.4235296,9.701699,0.028710667,-0.07452556,0.00702495,17.1166,9.9307995,42.9074,-1.2570263,-0.042711463,0.20541018,0,17.95134,20.159,
391,2892230000000,"[b0:e4:d5:39:26:89, 24960, 375, -69, 14:22:3b:16:5a:bd, 9656, 75, -44, cc:f4:11:8b:29:4d, 20339, 60, -52, b0:e4:d5:96:3b:95, 2351, 30, -38, 14:22:3b:2a:86:f5, 6207, 75, -54, f8:1a:2b:06:3c:0b, 9167, 135, -54]",2.89E+12,-1.0959128,0.02871387,9.943973,-0.054061573,-0.08674286,0.065515295,17.5192,10.223599,42.7122,-1.1417302,-0.00287018,0.109765776,0,17.940546,20.159,
392,2892690000000,"[b0:e4:d5:39:26:89, 23906, 375, -71, 14:22:3b:16:5a:bd, 9589, 60, -45, cc:f4:11:8b:29:4d, 20175, 75, -52, b0:e4:d5:96:3b:95, 2238, 75, -37, 14:22:3b:2a:86:f5, 5652, 135, -56, f8:1a:2b:06:3c:0b, 11140, 150, -53]",2.89E+12,-0.77826554,-0.2943172,10.010373,0.0804815,-0.011301007,0.034208454,17.2142,10.223599,43.2002,-1.0619444,0.029304374,0.07758983,0,17.929752,20.159,
393,2892690000000,"[b0:e4:d5:39:26:89, 23906, 375, -71, 14:22:3b:16:5a:bd, 9589, 60, -45, cc:f4:11:8b:29:4d, 20175, 75, -52, b0:e4:d5:96:3b:95, 2238, 75, -37, 14:22:3b:2a:86:f5, 5652, 135, -56, f8:1a:2b:06:3c:0b, 11140, 150, -53]",2.89E+12,-0.01375873,0.50787663,9.447462,-0.001527163,0.014202617,0.06582073,17.9096,10.321199,42.7366,-1.1513586,-0.053706244,0.00145634,0,17.918958,20.159,
394,2892690000000,"[b0:e4:d5:39:26:89, 23906, 375, -71, 14:22:3b:16:5a:bd, 9589, 60, -45, cc:f4:11:8b:29:4d, 20175, 75, -52, b0:e4:d5:96:3b:95, 2238, 75, -37, 14:22:3b:2a:86:f5, 5652, 135, -56, f8:1a:2b:06:3c:0b, 11140, 150, -53]",2.89E+12,0.33918262,-0.91226363,9.933804,-0.11942416,0.12522738,-0.022296581,17.4948,10.0406,43.4076,-0.85142857,0.09152437,-0.034131024,0,17.908164,20.159,
395,2893160000000,"[b0:e4:d5:39:26:89, 23613, 60, -69, 14:22:3b:16:5a:bd, 9703, 45, -43, cc:f4:11:8b:29:4d, 20128, 60, -57, b0:e4:d5:96:3b:95, 1894, 60, -37, 14:22:3b:2a:86:f5, 7542, 90, -59, f8:1a:2b:06:3c:0b, 7601, 45, -53]",2.89E+12,0.38344982,0.3278167,9.866206,0.1020145,-0.094225965,-0.01985312,17.3118,10.028399,42.9074,-1.0689344,-0.033188958,-0.03884542,0,17.89737,20.159,
