Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll
0,2.47949E+12,"[b0:e4:d5:39:26:89, 13775, 66, -57, 14:22:3b:16:5a:bd, 22830, 97, -63, cc:f4:11:8b:29:4d, 4578, 58, -54, b0:e4:d5:96:3b:95, 15505, 152, -67, 14:22:3b:2a:86:f5, 8503, 117, -60, f8:1a:2b:06:3c:0b, 19518, 110, -65]",2.47964E+12,-0.050847482,0.0634098,9.820743,-0.007635591,-0.02107423,0.001985254,-17.525,26.725,51.2625,0.57913977,-0.006456545,0.005177514
1,2.47973E+12,"[b0:e4:d5:39:26:89, 13932, 95, -58, 14:22:3b:16:5a:bd, 22790, 433, -62, cc:f4:11:8b:29:4d, 4607, 127, -54, b0:e4:d5:96:3b:95, 15574, 151, -65, 14:22:3b:2a:86:f5, 7998, 491, -61, f8:1a:2b:06:3c:0b, 19596, 83, -65]",2.47984E+12,-0.05623133,0.13040884,9.833903,-0.005192202,-0.01511847,0.003206948,-17.375,26.612501,52.25,0.5826032,-0.013260151,0.005718047
2,2.47998E+12,"[b0:e4:d5:39:26:89, 13893, 116, -59, 14:22:3b:16:5a:bd, 22419, 1136, -64, cc:f4:11:8b:29:4d, 4480, 112, -54, b0:e4:d5:96:3b:95, 15027, 156, -65, 14:22:3b:2a:86:f5, 8152, 274, -63, f8:1a:2b:06:3c:0b, 19440, 95, -68]",2.48004E+12,-0.7322037,0.006580262,9.694521,0.011911522,0.004123219,-0.21486552,-17.45,25.95,52.575,0.47847912,-6.77E-04,0.07538446
3,2.47998E+12,"[b0:e4:d5:39:26:89, 13893, 116, -59, 14:22:3b:16:5a:bd, 22419, 1136, -64, cc:f4:11:8b:29:4d, 4480, 112, -54, b0:e4:d5:96:3b:95, 15027, 156, -65, 14:22:3b:2a:86:f5, 8152, 274, -63, f8:1a:2b:06:3c:0b, 19440, 95, -68]",2.48024E+12,-1.1629118,0.54675996,9.639486,-0.024128467,0.019852536,0.024892027,-17.825,26.8375,51.95,0.4496516,-0.05625314,0.12006021
4,2.48032E+12,"[b0:e4:d5:39:26:89, 13853, 76, -58, 14:22:3b:16:5a:bd, 22039, 856, -64, cc:f4:11:8b:29:4d, 4578, 177, -54, b0:e4:d5:96:3b:95, 15340, 151, -65, 14:22:3b:2a:86:f5, 8533, 103, -59, f8:1a:2b:06:3c:0b, 19557, 0, -66]",2.48044E+12,-0.2440679,0.001196411,10.00798,-0.004886778,-0.014049487,-0.013896775,-17.737501,26.2,52.25,0.5609924,-1.20E-04,0.024382496
5,2.48055E+12,"[b0:e4:d5:39:26:89, 13697, 95, -58, 14:22:3b:16:5a:bd, 22419, 120, -64, cc:f4:11:8b:29:4d, 4792, 59, -53, b0:e4:d5:96:3b:95, 17918, 55, -66, 14:22:3b:2a:86:f5, 8679, 68, -59, f8:1a:2b:06:3c:0b, 19400, 152, -66]",2.48064E+12,-0.39900318,-0.4749753,9.360723,-4.58E-04,0.014965758,0.018019995,-18.075,26.025,51.600002,0.5057531,0.050651908,0.042599466
6,2.48079E+12,"[b0:e4:d5:39:26:89, 13815, 0, -57, 14:22:3b:16:5a:bd, 22771, 76, -64, cc:f4:11:8b:29:4d, 4285, 86, -54, b0:e4:d5:96:3b:95, 15964, 124, -66, 14:22:3b:2a:86:f5, 8450, 233, -64]",2.48084E+12,-0.41635114,-0.19680966,9.677772,0.005803049,-0.011453386,0.008246438,-18.0375,26.2875,52.6125,0.5225002,0.02031467,0.04299487
7,2.48079E+12,"[b0:e4:d5:39:26:89, 13815, 0, -57, 14:22:3b:16:5a:bd, 22771, 76, -64, cc:f4:11:8b:29:4d, 4285, 86, -54, b0:e4:d5:96:3b:95, 15964, 124, -66, 14:22:3b:2a:86:f5, 8450, 233, -64]",2.48104E+12,-0.91346,0.14955142,9.947562,-0.004886778,0.013133216,0.0581832,-18.300001,26.775,52.287502,0.47766554,-0.014969871,0.09157071
8,2.48105E+12,"[b0:e4:d5:39:26:89, 13361, 475, -53, 14:22:3b:16:5a:bd, 21364, 1179, -61, cc:f4:11:8b:29:4d, 4714, 55, -53, b0:e4:d5:96:3b:95, 16121, 420, -65, 14:22:3b:2a:86:f5, 8181, 97, -61, f8:1a:2b:06:3c:0b, 19938, 1052, -70]",2.48125E+12,-0.65682983,-0.02751746,9.505488,0.005650337,0.004275931,0.022906773,-18.0125,26.550001,51.787502,0.49455887,0.002888008,0.068990394
9,2.48131E+12,"[b0:e4:d5:39:26:89, 13990, 66, -59, 14:22:3b:16:5a:bd, 19929, 241, -65, cc:f4:11:8b:29:4d, 4558, 55, -54, b0:e4:d5:96:3b:95, 17879, 165, -64, 14:22:3b:2a:86:f5, 10466, 57, -62, f8:1a:2b:06:3c:0b, 19479, 110, -71]",2.48144E+12,-0.5940182,0.6873383,9.419945,-0.001985254,0.013896775,0.030236939,-17.6375,26.9625,52.100002,0.55632573,-0.07269332,0.06297624
10,2.48155E+12,"[b0:e4:d5:39:26:89, 13990, 134, -57, 14:22:3b:16:5a:bd, 20340, 361, -62, cc:f4:11:8b:29:4d, 4324, 149, -54, b0:e4:d5:96:3b:95, 16277, 1231, -69, 14:22:3b:2a:86:f5, 8504, 82, -64, f8:1a:2b:06:3c:0b, 19879, 1907, -68]",2.48165E+12,-0.82013994,0.54376894,9.622138,-0.002596101,-7.64E-04,-0.004123219,-18,26.6875,51.45,0.52027833,-0.056248713,0.08502918
11,2.48181E+12,"[b0:e4:d5:39:26:89, 13971, 445, -57, 14:22:3b:16:5a:bd, 22830, 97, -63, cc:f4:11:8b:29:4d, 4207, 58, -56, b0:e4:d5:96:3b:95, 17605, 151, -64, 14:22:3b:2a:86:f5, 7976, 268, -60]",2.48185E+12,-0.37088752,0.36909288,9.28834,-0.001068983,0.02535016,-0.018630842,-17.7875,25.800001,51.912502,0.5852621,-0.039684743,0.03990924
12,2.48181E+12,"[b0:e4:d5:39:26:89, 13971, 445, -57, 14:22:3b:16:5a:bd, 22830, 97, -63, cc:f4:11:8b:29:4d, 4207, 58, -56, b0:e4:d5:96:3b:95, 17605, 151, -64, 14:22:3b:2a:86:f5, 7976, 268, -60]",2.48205E+12,-0.19621146,0.111266255,9.969695,-0.006413896,-0.003054236,0.004428643,-18.3375,26.5125,51.787502,0.58877254,-0.011157824,0.019678248
13,2.48205E+12,"[b0:e4:d5:39:26:89, 14254, 50, -57, 14:22:3b:16:5a:bd, 22019, 946, -68, cc:f4:11:8b:29:4d, 4285, 95, -55, b0:e4:d5:96:3b:95, 15144, 220, -68, 14:22:3b:2a:86:f5, 9050, 152, -59, f8:1a:2b:06:3c:0b, 18355, 711, -76]",2.48225E+12,-0.3912265,0.32362926,9.878768,0.003970507,0.001221695,-0.03191677,-17.9,26.175001,51.9375,0.57478523,-0.03272274,0.039582077
14,2.4823E+12,"[b0:e4:d5:39:26:89, 13961, 97, -58, 14:22:3b:16:5a:bd, 20515, 122, -65, cc:f4:11:8b:29:4d, 4597, 110, -56, b0:e4:d5:96:3b:95, 14314, 575, -67, 14:22:3b:2a:86:f5, 9128, 203, -61, f8:1a:2b:06:3c:0b, 18971, 43, -71]",2.48245E+12,-0.6723832,0.33200413,9.930812,6.11E-04,-0.01007898,0.02535016,-17.825,26.7,52.6125,0.51928025,-0.033342995,0.067603596
15,2.48254E+12,"[b0:e4:d5:39:26:89, 13814, 147, -60, 14:22:3b:16:5a:bd, 22527, 307, -68, cc:f4:11:8b:29:4d, 4597, 62, -54, b0:e4:d5:96:3b:95, 14949, 198, -66, 14:22:3b:2a:86:f5, 9011, 110, -63, f8:1a:2b:06:3c:0b, 18697, 208, -73]",2.48265E+12,-0.587438,0.18364914,9.771689,-0.001374406,0.006108473,0.07284354,-18.3125,26.65,51.6375,0.5342671,-0.018757934,0.060044054
16,2.48278E+12,"[b0:e4:d5:39:26:89, 13697, 143, -61, 14:22:3b:16:5a:bd, 22488, 146, -68, cc:f4:11:8b:29:4d, 4597, 147, -55, b0:e4:d5:96:3b:95, 15027, 312, -74, 14:22:3b:2a:86:f5, 8699, 398, -64, f8:1a:2b:06:3c:0b, 18463, 158, -72]",2.48285E+12,-0.50129634,0.093918286,9.774082,0.011147963,0.015882028,-0.007482879,-18.237501,26.0125,51.1125,0.5486791,-0.009596003,0.051243424
17,2.48302E+12,"[b0:e4:d5:39:26:89, 13697, 193, -62, 14:22:3b:16:5a:bd, 23240, 50, -68, cc:f4:11:8b:29:4d, 4519, 100, -55, b0:e4:d5:96:3b:95, 17332, 1024, -65, 14:22:3b:2a:86:f5, 8465, 55, -64, f8:1a:2b:06:3c:0b, 18150, 841, -73]",2.48306E+12,-0.91405827,0.62153566,10.034302,0.005955761,-0.02107423,-0.001527118,-18.075,26.1625,51.7625,0.52750134,-0.061607633,0.09084265
18,2.48302E+12,"[b0:e4:d5:39:26:89, 13697, 193, -62, 14:22:3b:16:5a:bd, 23240, 50, -68, cc:f4:11:8b:29:4d, 4519, 100, -55, b0:e4:d5:96:3b:95, 17332, 1024, -65, 14:22:3b:2a:86:f5, 8465, 55, -64, f8:1a:2b:06:3c:0b, 18150, 841, -73]",2.48326E+12,-0.62811595,0.18783657,9.647263,0.003206948,0.003512372,-0.052685577,-18.1875,26.4,51.45,0.52820414,-0.019426873,0.06501643
19,2.48327E+12,"[b0:e4:d5:39:26:89, 13990, 66, -62, 14:22:3b:16:5a:bd, 19754, 143, -69, cc:f4:11:8b:29:4d, 4197, 541, -52, b0:e4:d5:96:3b:95, 16433, 1014, -69, 14:22:3b:2a:86:f5, 8357, 154, -64]",2.48346E+12,-0.80877405,0.27816564,9.886545,-0.004734066,0.02535016,-0.024739314,-17.8875,26.3125,51.425,0.50227356,-0.028034756,0.08162377
