M1 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AP7 True Distance (m),AP7 RTT Distance (m),AP7 RTT std (m),AP7 RSS (dBm),AP8 True Distance (m),AP8 RTT Distance (m),AP8 RTT std (m),AP8 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M1 Ground Truth
0.0,5.911537829318528,7.954300723508006,0.13,-60.0,10.739988273413012,12.981374387945214,0.15,-81.0,0.0,0.0,0.0,0.0,26.060585225717947,27.55646423255349,0.139,-75.0,11.173118684729388,22.69249223862377,0.189,-75.0,13.505277010811811,15.46191773358014,0.112,-68.0,13.727441443706981,15.913146797538191,0.11,-76.0,12.880689283357626,14.632459841052016,0.162,-69.0,-0.37268212,0.08075777,9.780663,0.002290677,0.005192202,0.002290677,-10.962501,25.0625,36.4375,0.36875337,-0.008250707,0.038085546,"[21.9101, 13.464457]"
400.0,5.9376944687851045,8.188749355060272,0.058,-61.0,10.758393466692427,13.059431878914182,0.432,-84.0,0.0,0.0,0.0,0.0,26.087264446374704,27.55646423255349,0.121,-76.0,11.153984673320577,19.058442355029964,1.678,-76.0,13.531969510719232,15.226792997870563,0.178,-70.0,13.703084056247093,15.678029085315538,0.068,-75.0,12.855850201156409,14.954643726949833,0.216,-72.0,-0.19740787,0.25782663,9.739387,0.049478628,0.007482879,-0.005497625,-11.0,24.800001,37.0875,0.40646285,-0.026460959,0.02026625,"[21.88337415, 13.464457]"
600.0,5.950774680516137,7.161566937479535,0.211,-62.0,10.767609137999548,13.371655133153862,0.198,-82.0,0.0,0.0,0.0,0.0,26.10060408749032,27.58546900090698,0.068,-76.0,11.144429386488628,15.639009207747145,0.206,-77.0,13.545315804999907,15.373871470777944,0.136,-71.0,13.690908681007347,15.75606854516697,0.24,-71.0,12.843433505386411,15.159756726280273,0.113,-66.0,-0.08853444,-0.36131623,9.750752,-0.000764,0.016798299,-0.039246935,-10.7625,25.4625,37.787502,0.37018433,0.037036747,0.009079505,"[21.87001123, 13.464457]"
1000.0,5.9638561555368605,7.6997828540810165,0.113,-64.0,10.77683350513536,17.85700131601048,0.228,-79.0,0.0,0.0,0.0,0.0,26.113943762392143,27.751496103813935,0.092,-74.0,11.13488192952256,20.464892890020216,0.058,-74.0,13.558662142019186,15.716048358286507,0.22,-73.0,13.678735513813361,15.922151236563481,0.152,-70.0,12.831018701446073,15.443908313636157,0.078,-66.0,-0.44745782,0.43788654,9.818948,-0.025808297,0.033596598,-0.025044737,-11.7,25.5125,37.15,0.3974743,-0.044520404,0.045539346,"[21.8566483, 13.464457]"
1300.0,5.990022823441076,7.6607002943595175,0.17,-68.0,10.795308210179192,14.456355868613638,0.2,-78.0,0.0,0.0,0.0,0.0,26.14062317347828,27.2924203580408,0.197,-76.0,11.1158106145374,16.06922303660012,0.095,-71.0,13.585354903937182,15.226792997870563,0.139,-68.0,13.654395863723193,16.450403156153953,0.109,-71.0,12.80619482833449,15.639009207747145,0.055,-68.0,-0.8865408,0.62452674,9.600004,-0.013285928,-0.029931515,-0.03603999,-11.175,25.95,37.3125,0.31741688,-0.06468882,0.09208678,"[21.82992245, 13.464457]"
1600.0,6.016194397709577,7.934261150226907,0.151,-67.0,10.81381739721501,14.036097213969416,0.206,-78.0,0.0,0.0,0.0,0.0,26.16730266935965,28.02554013752456,0.414,-76.0,11.096770897527353,17.475848734753917,0.481,-73.0,13.612047785717126,14.963648752894462,0.155,-73.0,13.630065162716754,15.40488782821868,0.31,-73.0,12.781378635542604,15.208783284668106,0.281,-72.0,-0.1381855,-0.22671995,10.068399,-0.007482879,-0.00335966,-0.013896775,-10.875,25.8375,37.125,0.37065864,0.02251205,0.013723813,"[21.80319661, 13.464457]"
1900.0,6.029282018190487,8.090564628009593,0.199,-65.0,10.823084875725906,13.958047463739332,0.351,-80.0,0.0,0.0,0.0,0.0,26.180642462734173,28.611631480920483,0.0,-73.0,11.087262929342248,14.622454000611524,0.055,-73.0,13.625394285049904,15.051697578678626,0.147,-69.0,13.617903170578852,16.06922303660012,0.143,-76.0,12.768973420477527,15.365867238786102,0.095,-75.0,-0.5736792,-0.19082761,9.974482,0.003817795,0.006108473,-0.023364907,-11.1375,24.9125,37.45,0.3365636,0.019097695,0.057451397,"[21.78983368, 13.464457]"
2200.0,6.055460857053667,6.876847024618186,0.055,-76.0,10.84164547186196,16.694514188798667,0.117,-78.0,0.0,0.0,0.0,0.0,26.207322110222435,27.64447867115602,1.243,-73.0,11.068270897174722,21.38315507590028,0.292,-75.0,13.652087370164324,15.431902021461903,0.136,-70.0,13.593585960470016,16.655496660262042,0.082,-71.0,12.744168808999962,15.286825209964299,0.078,-67.0,-0.36550367,-0.18364914,9.263215,-0.008551862,-0.010537115,-0.018783553,-11.2875,25.025,38.125,0.36239678,0.019807631,0.03943708,"[21.76310783, 13.464457]"
2500.0,6.068552059871079,6.876847024618186,0.243,-73.0,10.850938545606626,13.19653121089023,0.058,-80.0,0.0,0.0,0.0,0.0,26.220661964264178,26.937360004276588,0.192,-75.0,11.0587868742205,21.49018417789852,0.086,-74.0,13.665433955757544,14.758532752275883,0.075,-72.0,13.581430754608379,14.427338493291131,0.253,-73.0,12.731769423902646,15.795088128908937,0.151,-81.0,-0.14057833,0.40677986,9.939187,0.014660334,-0.010384403,-0.004886778,-11.5625,25.25,37.15,0.4357397,-0.040899962,0.014142903,"[21.74974491, 13.464457]"
2800.0,6.0947380134593905,8.423173036332567,0.11,-67.0,10.869550149100796,15.952165997130296,1.229,-79.0,0.0,0.0,0.0,0.0,26.24734175272901,26.94136069317955,0.135,-74.0,11.039842903375803,18.53125586677816,0.347,-74.0,13.692127232523383,15.402886774887362,0.147,-73.0,13.557127153514333,14.779544783246878,0.103,-71.0,12.706976504887214,15.599989230765514,0.11,-73.0,-0.43130627,0.7046863,9.888938,-0.005955761,0.002443389,-0.029626092,-11.3625,25.6625,37.3125,0.40138328,-0.07107247,0.043587398,"[21.72301906, 13.464457]"
