Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll,Points,
543,6338844825616,"[b0:e4:d5:39:26:89, 23826, 498, -93, 14:22:3b:16:5a:bd, 5574, 85, -54, cc:f4:11:8b:29:4d, 12547, 255, -74, b0:e4:d5:96:3b:95, 17488, 151, -64, b0:e4:d5:01:26:f5, 9480, 152, -63, 14:22:3b:2a:86:f5, 30213, 49, -71, f8:1a:2b:06:3c:0b, 9098, 130, -65]",6338843372387,0.35353956,0.8003992,11.422737,-0.021379653,-0.14049487,-0.072232686,-22.475,-2.5125,32.7125,1.7701136,-0.06992298,-0.030940635,0,
544,6338844825616,"[b0:e4:d5:39:26:89, 23826, 498, -93, 14:22:3b:16:5a:bd, 5574, 85, -54, cc:f4:11:8b:29:4d, 12547, 255, -74, b0:e4:d5:96:3b:95, 17488, 151, -64, b0:e4:d5:01:26:f5, 9480, 152, -63, 14:22:3b:2a:86:f5, 30213, 49, -71, f8:1a:2b:06:3c:0b, 9098, 130, -65]",6338843372387,-1.0067801,-1.5056837,9.132806,-0.010537115,-0.017103724,0.036803547,-22.3875,-3.025,32.1875,1.4335973,0.16242898,0.109794445,0,
545,6339152239501,"[b0:e4:d5:39:26:89, 32125, 1771, -90, 14:22:3b:16:5a:bd, 5662, 61, -55, cc:f4:11:8b:29:4d, 12810, 259, -77, b0:e4:d5:96:3b:95, 17996, 112, -64, b0:e4:d5:01:26:f5, 12947, 2223, -68, 14:22:3b:2a:86:f5, 30183, 143, -69, f8:1a:2b:06:3c:0b, 9010, 125, -70]",6339151179293,1.0199406,0.98943216,10.006784,0.06306998,0.06688777,-0.06902574,-21.862501,-2.575,31.5125,1.7845408,-0.09805107,-0.10157414,0,
546,6339467058595,"[b0:e4:d5:39:26:89, 23834, 1095, -88, 14:22:3b:16:5a:bd, 6589, 146, -52, b0:e4:d5:91:ba:5d, 39793, 0, -90, cc:f4:11:8b:29:4d, 13103, 102, -78, b0:e4:d5:96:3b:95, 17839, 55, -69, b0:e4:d5:01:26:f5, 11111, 109, -71, 14:22:3b:2a:86:f5, 30183, 135, -68, f8:1a:2b:06:3c:0b, 8863, 100, -63]",6339465843074,-0.65324056,-0.1788635,10.000802,0.18814096,-0.28129515,-0.1408003,-22.65,-2.5375001,31.725,1.6652768,0.017844988,0.06522615,0,
547,6339467058595,"[b0:e4:d5:39:26:89, 23834, 1095, -88, 14:22:3b:16:5a:bd, 6589, 146, -52, b0:e4:d5:91:ba:5d, 39793, 0, -90, cc:f4:11:8b:29:4d, 13103, 102, -78, b0:e4:d5:96:3b:95, 17839, 55, -69, b0:e4:d5:01:26:f5, 11111, 109, -71, 14:22:3b:2a:86:f5, 30183, 135, -68, f8:1a:2b:06:3c:0b, 8863, 100, -63]",6339465843074,0.83090764,0.07238288,9.82493,-0.037567105,0.06215371,-0.05619795,-21.5375,-2.55,32.662502,1.684926,-0.0073409295,-0.08437058,0,
548,6339794060346,"[14:22:3b:16:5a:bd, 6101, 241, -50, cc:f4:11:8b:29:4d, 14070, 58, -75, b0:e4:d5:96:3b:95, 17371, 80, -67, b0:e4:d5:01:26:f5, 12918, 150, -72, 14:22:3b:2a:86:f5, 30029, 479, -66, f8:1a:2b:06:3c:0b, 8775, 93, -68]",6339792674200,-0.31106696,-0.6436693,10.182058,0.013591352,0.0056503373,-0.079715565,-22.625,-2.4,31.725,1.5870562,0.06310266,0.030540999,0,
549,6340103846627,"[b0:e4:d5:39:26:89, 24428, 1158, -89, 14:22:3b:16:5a:bd, 5808, 90, -53, cc:f4:11:8b:29:4d, 12664, 138, -77, b0:e4:d5:96:3b:95, 17761, 112, -66, b0:e4:d5:01:26:f5, 16296, 1050, -64, 14:22:3b:2a:86:f5, 30007, 130, -74, f8:1a:2b:06:3c:0b, 9566, 57, -67]",6340102315585,-0.27218357,0.90508515,9.011969,-0.04199575,-0.07406523,-0.020005248,-22.2875,-2.2375,32.037502,1.8230286,-0.1000505,0.030193277,0,
550,6340103846627,"[b0:e4:d5:39:26:89, 24428, 1158, -89, 14:22:3b:16:5a:bd, 5808, 90, -53, cc:f4:11:8b:29:4d, 12664, 138, -77, b0:e4:d5:96:3b:95, 17761, 112, -66, b0:e4:d5:01:26:f5, 16296, 1050, -64, 14:22:3b:2a:86:f5, 30007, 130, -74, f8:1a:2b:06:3c:0b, 9566, 57, -67]",6340102315585,-0.34037903,-0.2632105,10.054641,-0.04367558,0.006566608,0.0070247436,-22.65,-2.5375001,32.0625,1.6485202,0.026157059,0.033840004,0,
551,6340399757073,"[b0:e4:d5:39:26:89, 31299, 137, -88, 14:22:3b:16:5a:bd, 5144, 59, -50, b0:e4:d5:91:ba:5d, 38015, 1914, -87, cc:f4:11:8b:29:4d, 12058, 223, -79, b0:e4:d5:96:3b:95, 17918, 118, -64, b0:e4:d5:01:26:f5, 10818, 108, -69, 14:22:3b:2a:86:f5, 30213, 118, -68, f8:1a:2b:06:3c:0b, 9244, 171, -61]",6340398707802,-0.15672988,-0.9194421,11.169098,0.055281676,-0.2893889,-0.20906247,-21.5375,-2.55,32.175,1.564982,0.08212692,0.014031536,0,
552,6340707860437,"[b0:e4:d5:39:26:89, 31510, 350, -89, 14:22:3b:16:5a:bd, 5925, 82, -52, b0:e4:d5:91:ba:5d, 36511, 2343, -84, cc:f4:11:8b:29:4d, 15095, 1100, -67, b0:e4:d5:96:3b:95, 17566, 146, -65, b0:e4:d5:01:26:f5, 10467, 130, -69, 14:22:3b:2a:86:f5, 30213, 310, -70, f8:1a:2b:06:3c:0b, 9322, 63, -58]",6340706410229,-0.04366901,0.5300102,10.1395855,-0.061848287,0.0697893,-0.01267508,-22.5,-2.5125,31.2125,1.7539791,-0.052223373,0.0043067583,0,
