Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll,Points,
0,8149758938414,"[b0:e4:d5:39:26:89, 22564, 146, -74, 14:22:3b:16:5a:bd, 9051, 110, -61, b0:e4:d5:91:ba:5d, 38005, 169, -69, cc:f4:11:8b:29:4d, 11355, 146, -52, b0:e4:d5:96:3b:95, 22683, 117, -78, b0:e4:d5:01:26:f5, 2490, 976, -54, f8:1a:2b:06:3c:0b, 17838, 199, -75]",8149757966174,-0.6538388,0.40857446,9.304491,0.015423893,-0.022143213,0.09849912,3.8625,-11.1375,30.2,-2.6939437,-0.043775532,0.07015599,0,
1,8150059109954,"[b0:e4:d5:39:26:89, 23229, 210, -75, 14:22:3b:16:5a:bd, 9060, 681, -63, b0:e4:d5:91:ba:5d, 37127, 1329, -69, cc:f4:11:8b:29:4d, 11228, 71, -51, b0:e4:d5:96:3b:95, 22332, 253, -77, b0:e4:d5:01:26:f5, 3084, 98, -54, f8:1a:2b:06:3c:0b, 18189, 341, -75]",8150055516360,-0.18424734,-0.14356937,9.822537,0.01175881,-0.025808297,-0.1357608,3.1875,-11.587501,30.5375,-2.816132,0.01461271,0.018755414,0,
2,8150059109954,"[b0:e4:d5:39:26:89, 23229, 210, -75, 14:22:3b:16:5a:bd, 9060, 681, -63, b0:e4:d5:91:ba:5d, 37127, 1329, -69, cc:f4:11:8b:29:4d, 11228, 71, -51, b0:e4:d5:96:3b:95, 22332, 253, -77, b0:e4:d5:01:26:f5, 3084, 98, -54, f8:1a:2b:06:3c:0b, 18189, 341, -75]",8150055516360,-0.14536397,-0.5246264,9.907482,-0.08628218,-0.084449634,0.092848785,3.675,-11.55,30.862501,-2.7467794,0.05289745,0.014671088,0,
3,8150382354153,"[b0:e4:d5:39:26:89, 22994, 210, -76, 14:22:3b:16:5a:bd, 13103, 158, -58, b0:e4:d5:91:ba:5d, 38123, 73, -68, cc:f4:11:8b:29:4d, 11472, 55, -52, b0:e4:d5:96:3b:95, 25161, 446, -78, b0:e4:d5:01:26:f5, 3347, 82, -55, f8:1a:2b:06:3c:0b, 20084, 255, -79]",8150380388371,0.4456632,1.4195421,10.079167,0.1085781,-0.16324893,-0.21746163,4.4875,-11.35,30.0,-2.9398806,-0.13978414,-0.044187494,0,
4,8150699979497,"[b0:e4:d5:39:26:89, 23268, 153, -76, 14:22:3b:16:5a:bd, 12048, 137, -60, b0:e4:d5:91:ba:5d, 38660, 110, -67, cc:f4:11:8b:29:4d, 11629, 150, -52, b0:e4:d5:96:3b:95, 25699, 2310, -85, b0:e4:d5:01:26:f5, 3054, 241, -54, f8:1a:2b:06:3c:0b, 19176, 195, -81]",8150698011007,-0.5270192,-1.4482559,10.642078,-0.013744064,0.10720369,-0.017561859,3.525,-11.425,30.2,-2.5385516,0.13509326,0.04948178,0,
5,8150699979497,"[b0:e4:d5:39:26:89, 23268, 153, -76, 14:22:3b:16:5a:bd, 12048, 137, -60, b0:e4:d5:91:ba:5d, 38660, 110, -67, cc:f4:11:8b:29:4d, 11629, 150, -52, b0:e4:d5:96:3b:95, 25699, 2310, -85, b0:e4:d5:01:26:f5, 3054, 241, -54, f8:1a:2b:06:3c:0b, 19176, 195, -81]",8150698011007,-0.35653058,0.7040881,11.052447,0.0027488125,0.072232686,-0.038177952,3.55,-11.2875,30.375,-2.8108616,-0.06358532,0.032246884,0,
6,8151021090623,"[b0:e4:d5:39:26:89, 22955, 165, -77, 14:22:3b:16:5a:bd, 9001, 62, -61, b0:e4:d5:91:ba:5d, 33972, 138, -70, cc:f4:11:8b:29:4d, 11589, 146, -55, b0:e4:d5:96:3b:95, 24754, 1851, -77, b0:e4:d5:01:26:f5, 2722, 147, -51, f8:1a:2b:06:3c:0b, 17877, 118, -79]",8151018607810,-0.23629123,-0.2847459,9.3511505,-0.05955761,-0.10384403,-0.029931515,3.2125,-11.462501,30.5625,-2.7799332,0.030431246,0.025263306,0,
7,8151331814352,"[b0:e4:d5:39:26:89, 23385, 145, -76, 14:22:3b:16:5a:bd, 8191, 148, -61, b0:e4:d5:91:ba:5d, 37244, 122, -71, cc:f4:11:8b:29:4d, 11638, 137, -57, b0:e4:d5:96:3b:95, 24424, 207, -77, b0:e4:d5:01:26:f5, 4285, 193, -48, f8:1a:2b:06:3c:0b, 16471, 297, -71]",8151329414820,0.0011964113,0.80578303,9.909277,0.027029991,0.13652436,-0.08261709,3.175,-11.725,30.2,-2.9208724,-0.08113751,-1.2073649E-4,0,
8,8151331814352,"[b0:e4:d5:39:26:89, 23385, 145, -76, 14:22:3b:16:5a:bd, 8191, 148, -61, b0:e4:d5:91:ba:5d, 37244, 122, -71, cc:f4:11:8b:29:4d, 11638, 137, -57, b0:e4:d5:96:3b:95, 24424, 207, -77, b0:e4:d5:01:26:f5, 4285, 193, -48, f8:1a:2b:06:3c:0b, 16471, 297, -71]",8151329414820,0.083748795,-1.1443675,8.380861,0.027488127,0.025655584,-0.031764057,3.9375,-10.6125,31.050001,-2.619853,0.13569939,-0.00999253,0,
9,8151638617090,"[b0:e4:d5:39:26:89, 23150, 87, -79, 14:22:3b:16:5a:bd, 9754, 146, -56, b0:e4:d5:91:ba:5d, 34988, 284, -70, cc:f4:11:8b:29:4d, 11550, 95, -57, b0:e4:d5:96:3b:95, 22175, 110, -83, b0:e4:d5:01:26:f5, 3465, 95, -48, f8:1a:2b:06:3c:0b, 16334, 1341, -80]",8151636028757,-1.1820544,0.07597212,9.202796,-0.018325418,0.18569757,0.042301174,3.8500001,-11.400001,31.025,-2.553226,-0.00818788,0.12774569,0,
