Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
253259,13.562,0.105,-59
254288,13.55,0.075,-60
255336,13.742,0.045,-61
255861,13.882,0.03,-61
256910,14.062,0.075,-59
257962,14.253,0.09,-58
259017,14.16,0.105,-59
260066,14.464,0.06,-57
260602,14.414,0.03,-65
261647,14.492,0.045,-59
262686,14.953,0.06,-58
263727,14.937,0.075,-59
264783,15.015,0.03,-58
265823,15.32,0.06,-58
266874,15.296,0.03,-60
267922,15.429,0.045,-59
268968,15.558,0.105,-59
269495,15.804,0.03,-58
270546,15.859,0.03,-60
271596,15.902,0.09,-60
272641,15.984,0.06,-60
273166,15.8,0.09,-62
273687,16.015,0.06,-61
274744,16.289,0.09,-60
275795,16.5,0.105,-59
276845,16.585,0.045,-60
277904,16.687,0.06,-61
278951,16.609,0.06,-62
281571,17.394,0.09,-59
282621,17.316,0.03,-61
283670,17.566,0.12,-61
335560,25.062,0.15,-70
336609,24.718,0.24,-70
337127,25.597,0.33,-70
338176,25.511,0.24,-70
339231,24.664,0.06,-68
340284,24.742,0.09,-67
341322,25.273,0.315,-69
342371,25.75,0.315,-69
343420,26.144,0.315,-70
344469,25.191,0.09,-67
345527,26.871,0.345,-69
346570,25.55,0.105,-68
347089,26.082,0.18,-69
347614,26.929,0.21,-70
348664,25.695,0.075,-67
349186,26.179,0.045,-67
349711,26.273,0.105,-67
350238,26.265,0.105,-67
351288,27.492,0.225,-69
352332,27.683,0.3,-68
353381,25.773,0.09,-68
354431,26.902,0.09,-67
355478,26.613,0.09,-67
356002,27.195,0.15,-68
356534,27.316,0.06,-65
357591,26.734,0.09,-67
358635,27.015,0.075,-67
359678,27.101,0.09,-67
360725,27.617,0.09,-66
361775,27.718,0.06,-64
362830,27.691,0.075,-67
363870,28.179,0.09,-66
364918,28.078,0.045,-67
365966,27.968,0.06,-67
367014,28.066,0.03,-67
368070,28.269,0.105,-67
369124,28.082,0.135,-66
370161,28.152,0.105,-65
371211,28.371,0.075,-64
372258,28.644,0.09,-67
373308,28.746,0.06,-64
374365,28.683,0.135,-66
375402,31.406,0.21,-69
376451,32.144,0.18,-70
377500,29.367,0.18,-67
378023,31.015,0.105,-67
378554,29.949,0.09,-65
