Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
315633,9.209,0.229,-83
316678,8.73,0.277,-76
317729,10.526,0.829,-77
318907,10.877,2.107,-81
319824,10.208,1.284,-87
320876,9.35,0.799,-78
321924,9.496,0.164,-80
322969,11.154,0.333,-80
324035,9.478,0.524,-85
325068,8.738,1.273,-80
326640,9.802,1.107,-84
328739,9.761,0.439,-78
329787,10.386,0.449,-80
331884,11.246,0.298,-84
332934,11.407,0.614,-82
333980,11.758,1.324,-86
335025,11.239,0.316,-80
336079,9.427,2.198,-80
337257,11.07,1.588,-78
339746,12.08,0.839,-81
340804,10.949,0.131,-81
341855,12.626,1.193,-81
343023,17.417,0.315,-87
343945,14.136,0.639,-84
344990,14.999,0.739,-87
346037,13.957,0.605,-85
347095,13.861,0.824,-88
350362,14.168,1.457,-82
351281,20.286,0.268,-80
352854,13.189,1.225,-90
353906,13.802,0.199,-90
354956,13.796,1.092,-89
356010,15.343,1.192,-84
359146,14.258,0.657,-86
360194,14.093,1.56,-86
361243,12.375,0.568,-83
362289,14.546,0.841,-86
363471,13.199,0.487,-85
364394,14.355,0.925,-89
365961,14.146,0.551,-84
367010,15.149,0.801,-90
368065,13.805,1.388,-87
369111,14.415,0.837,-89
370156,14.427,0.266,-84
371204,14.958,0.89,-89
373304,14.227,1.069,-81
374350,14.989,1.914,-87
375404,14.625,0.847,-84
377495,16.416,0.538,-91
378547,15.052,1.056,-82
