Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
243276,5.39,0.135,-58
244337,4.382,0.135,-56
245373,5.316,0.075,-57
246430,5.363,0.15,-56
247495,6.148,0.12,-60
248518,8.343,0.225,-61
249571,6.304,0.075,-61
250637,5.652,0.06,-59
251680,5.734,0.045,-63
252714,4.445,0.075,-59
253762,4.707,0.06,-57
254810,9.109,0.105,-60
255869,5.785,0.225,-59
256907,6.761,0.165,-59
257955,4.371,0.075,-60
259030,5.234,0.06,-59
260058,3.765,0.15,-60
261099,4.621,0.105,-61
262159,4.769,0.09,-60
263199,5.023,0.12,-58
264258,5.324,0.075,-59
265295,5.312,0.045,-56
270016,6.023,0.15,-59
271069,5.015,0.225,-62
272126,6.175,0.045,-60
273173,5.781,0.105,-56
274732,5.25,0.09,-55
275800,4.734,0.135,-57
276856,4.566,0.09,-59
277882,5.285,0.105,-56
278939,5.351,0.06,-55
280503,5.195,0.03,-61
281553,4.945,0.075,-64
282599,5.906,0.12,-59
283664,5.73,0.045,-62
284701,7.746,0.255,-66
285770,6.273,0.15,-62
286791,6.734,0.12,-61
287861,5.656,0.135,-64
288890,6.429,0.075,-60
289936,5.351,0.15,-63
291002,6.179,0.105,-61
292557,6.468,0.165,-60
293611,6.21,0.09,-60
294657,5.972,0.09,-64
295703,9.128,0.15,-64
296762,7.027,0.06,-58
297805,6.796,0.06,-62
298851,7.796,0.105,-65
299914,6.167,0.09,-66
300949,6.753,0.12,-62
302010,6.808,0.09,-62
303044,7.453,0.24,-64
304095,8.617,0.06,-64
305157,7.328,0.105,-63
306193,6.171,0.075,-67
307239,7.398,0.06,-62
308292,6.988,0.06,-67
309336,2.054,0.3,-69
310387,8.007,0.09,-61
311437,7.683,0.075,-65
312480,7.226,0.06,-62
314084,7.128,0,-67
315640,7.433,0.135,-64
316681,8.156,0.135,-63
317728,7.289,0.195,-67
318776,8.625,0.06,-64
320871,8.449,0.27,-71
321921,8.847,0.15,-69
322978,9.796,0.06,-67
324018,9.378,0.12,-68
325072,10.644,0.135,-69
326122,10.464,0.105,-64
327161,11.542,0.21,-67
328232,10.304,0.105,-69
329261,8.746,0.21,-68
330320,7.269,0.33,-68
331375,9.394,0.285,-68
332405,9.015,0.075,-64
333463,9.421,0.075,-66
334506,9.238,0.21,-68
335562,9.621,0.12,-65
336607,9.316,0.09,-64
337674,9.167,0.12,-64
338696,8.921,0.135,-66
339747,9.3,0.06,-67
340798,9.437,0.105,-66
341845,9.632,0.06,-62
342918,10.031,0.09,-62
343940,9.277,0.135,-69
345514,10.441,0.045,-63
346560,-44.05,0.33,-70
347620,-170.789,0.63,-70
348685,10.511,0.075,-68
349733,-33.027,0.87,-70
350756,11.625,0.06,-66
351814,-107.14,0.225,-69
352858,10.109,0.24,-70
353916,11.054,0.225,-71
354957,-241.917,0.705,-70
355998,-47.578,0.195,-68
357074,13.324,0.15,-71
358097,11.816,0.21,-73
359147,13.199,0.225,-70
360200,12.886,0.09,-69
361768,14.062,0.12,-73
362820,15.941,0.24,-73
363868,16.406,0.27,-70
364909,13.902,0.24,-74
365967,-96.257,0.48,-69
367012,10.117,0.135,-70
