Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll
3031,1.38E+13,"[b0:e4:d5:39:26:89, 11158, 115, -64, 14:22:3b:16:5a:bd, 2908, 52, -52, cc:f4:11:8b:29:4d, 13279, 111, -59, b0:e4:d5:96:3b:95, 9060, 67, -57, 14:22:3b:2a:86:f5, 25027, 197, -75, f8:1a:2b:06:3c:0b, 7135, 89, -58]",1.39E+13,-0.4121637,0.42831525,9.7196455,0.024128467,-0.017561859,0.013744064,-3.5625,17.2125,35.375,0.13103954,-0.043998975,0.04237983
3032,1.38E+13,"[b0:e4:d5:39:26:89, 11295, 77, -66, 14:22:3b:16:5a:bd, 2468, 133, -55, cc:f4:11:8b:29:4d, 13718, 58, -64, b0:e4:d5:96:3b:95, 9324, 43, -62, 14:22:3b:2a:86:f5, 24715, 54, -72, f8:1a:2b:06:3c:0b, 7105, 97, -56]",1.39E+13,-0.22911277,-0.6334998,9.778868,0.012369657,-0.008704574,0.050089475,-3.375,17.362501,35.537502,0.12877959,0.06467444,0.023425091
3033,1.38E+13,"[b0:e4:d5:39:26:89, 11080, 55, -67, 14:22:3b:16:5a:bd, 2966, 52, -52, cc:f4:11:8b:29:4d, 14509, 387, -68, b0:e4:d5:96:3b:95, 7947, 156, -64, 14:22:3b:2a:86:f5, 25261, 286, -71, f8:1a:2b:06:3c:0b, 7076, 135, -55]",1.39E+13,-0.18364914,0.42652065,10.191031,9.16E-04,-0.003665084,0.07681404,-2.7125,17.675001,35.350002,0.12755825,-0.041821357,0.018018713
3034,1.38E+13,"[b0:e4:d5:39:26:89, 11090, 175, -64, 14:22:3b:16:5a:bd, 3347, 18, -52, cc:f4:11:8b:29:4d, 13855, 116, -66, b0:e4:d5:96:3b:95, 7332, 185, -63, 14:22:3b:2a:86:f5, 24832, 245, -71, f8:1a:2b:06:3c:0b, 7017, 91, -54]",1.39E+13,0.071186475,0.17467605,9.925428,0.011147963,0.05390727,-0.021685077,-3.5625,17.2125,36.2125,0.22665887,-0.017596575,-0.007172009
3035,1.38E+13,"[b0:e4:d5:39:26:89, 11207, 105, -65, 14:22:3b:16:5a:bd, 3035, 57, -54, cc:f4:11:8b:29:4d, 13689, 467, -64, b0:e4:d5:96:3b:95, 9089, 100, -62, 14:22:3b:2a:86:f5, 25027, 139, -75, f8:1a:2b:06:3c:0b, 7076, 196, -55]",1.39E+13,-0.10887343,-0.3278167,9.812367,-0.03420745,0.0555871,0.026266431,-3.8375,17.45,36.0625,0.18229425,0.033394046,0.011095076
3036,1.38E+13,"[b0:e4:d5:39:26:89, 11178, 137, -63, 14:22:3b:16:5a:bd, 2957, 55, -55, cc:f4:11:8b:29:4d, 14089, 76, -62, b0:e4:d5:96:3b:95, 8123, 269, -60, 14:22:3b:2a:86:f5, 25467, 152, -77, f8:1a:2b:06:3c:0b, 7135, 145, -54]",1.39E+13,-0.7639086,0.8787641,9.809975,-0.01175881,-0.006413896,-0.06383354,-2.8500001,17.7875,36.025,0.003073733,-0.08907196,0.07771378
3037,1.38E+13,"[b0:e4:d5:39:26:89, 11236, 96, -63, 14:22:3b:16:5a:bd, 3035, 60, -54, cc:f4:11:8b:29:4d, 13191, 82, -72, b0:e4:d5:96:3b:95, 8562, 244, -61, 14:22:3b:2a:86:f5, 25339, 211, -72, f8:1a:2b:06:3c:0b, 7164, 102, -54]",1.39E+13,-0.098703936,0.15433706,9.84168,0.007177455,-0.009468133,-0.01099525,-3.2,17.5125,36.537502,0.16575666,-0.01567991,0.010028839
3038,1.38E+13,"[b0:e4:d5:39:26:89, 11324, 50, -62, 14:22:3b:16:5a:bd, 2839, 57, -51, cc:f4:11:8b:29:4d, 13738, 116, -69, b0:e4:d5:96:3b:95, 8679, 68, -61, 14:22:3b:2a:86:f5, 25173, 169, -70, f8:1a:2b:06:3c:0b, 7017, 250, -53]",1.39E+13,-1.6283158,0.2015953,9.780663,0.007788302,-0.017103724,-0.050089475,-3.9750001,17.7,35.412502,-0.11115899,-0.020328982,0.16497014
3039,1.38E+13,"[b0:e4:d5:39:26:89, 10944, 579, -63, 14:22:3b:16:5a:bd, 2556, 99, -51, cc:f4:11:8b:29:4d, 12263, 115, -67, b0:e4:d5:96:3b:95, 9441, 100, -61, 14:22:3b:2a:86:f5, 25050, 305, -69, f8:1a:2b:06:3c:0b, 7105, 99, -53]",1.39E+13,-0.86201435,0.26799613,9.732208,-0.006566608,0.017103724,0.001068983,-4.6875,16.987501,36.425,0.09086178,-0.02742277,0.088342816
3040,1.38E+13,"[b0:e4:d5:39:26:89, 10944, 579, -63, 14:22:3b:16:5a:bd, 2556, 99, -51, cc:f4:11:8b:29:4d, 12263, 115, -67, b0:e4:d5:96:3b:95, 9441, 100, -61, 14:22:3b:2a:86:f5, 25050, 305, -69, f8:1a:2b:06:3c:0b, 7105, 99, -53]",1.39E+13,-0.48993045,-0.096311115,9.779466,-0.003054236,0.011147963,0.012064233,-3.8375,17.45,35.9,0.1138876,0.009835647,0.050056025
3041,1.38E+13,"[b0:e4:d5:39:26:89, 10520, 564, -59, 14:22:3b:16:5a:bd, 2918, 146, -50, cc:f4:11:8b:29:4d, 12468, 864, -64, b0:e4:d5:96:3b:95, 8494, 1423, -59, 14:22:3b:2a:86:f5, 25349, 183, -71, f8:1a:2b:06:3c:0b, 7252, 89, -53]",1.39E+13,-0.9870393,0.2961118,9.801002,0.001985254,-0.002748813,0.16355436,-3.675,17.6,35.9,0.00359117,-0.030051297,0.1003696
3042,1.38E+13,"[b0:e4:d5:39:26:89, 11197, 153, -63, 14:22:3b:16:5a:bd, 2488, 221, -51, cc:f4:11:8b:29:4d, 13276, 58, -67, b0:e4:d5:96:3b:95, 9324, 82, -61, 14:22:3b:2a:86:f5, 25339, 74, -69, f8:1a:2b:06:3c:0b, 6959, 256, -53]",1.39E+13,-0.104087785,-0.37507495,9.836296,-0.007482879,0.001221695,-0.018478129,-2.775,17.15,36.0125,0.12860484,0.038111128,0.010581615
3043,1.38E+13,"[b0:e4:d5:39:26:89, 11158, 55, -70, 14:22:3b:16:5a:bd, 2146, 325, -52, cc:f4:11:8b:29:4d, 13191, 94, -61, b0:e4:d5:96:3b:95, 9246, 118, -60, 14:22:3b:2a:86:f5, 24715, 74, -73, f8:1a:2b:06:3c:0b, 7193, 70, -53]",1.39E+13,-0.5282156,0.43489552,10.337592,0.008857286,0.037108973,-0.029167956,-3.8,17.7125,35.75,0.12112895,-0.04198982,0.05105218
3044,1.38E+13,"[b0:e4:d5:39:26:89, 11275, 146, -61, 14:22:3b:16:5a:bd, 2402, 231, -49, cc:f4:11:8b:29:4d, 13103, 74, -65, b0:e4:d5:96:3b:95, 9363, 118, -62, 14:22:3b:2a:86:f5, 25144, 506, -75, f8:1a:2b:06:3c:0b, 7340, 50, -52]",1.39E+13,-0.8321041,0.09930214,9.214162,0.004581355,0.004275931,-0.07314896,-3.9750001,17.5625,36.7375,0.038121995,-0.010733031,0.09006278
3045,1.38E+13,"[b0:e4:d5:39:26:89, 11236, 82, -63, 14:22:3b:16:5a:bd, 2410, 118, -51, cc:f4:11:8b:29:4d, 13338, 59, -66, b0:e4:d5:96:3b:95, 8113, 55, -60, 14:22:3b:2a:86:f5, 25759, 233, -73, f8:1a:2b:06:3c:0b, 7164, 129, -52]",1.39E+13,-0.5557331,0.044865426,9.429516,0.003054236,-0.022906773,-0.1368298,-4.2375,18.050001,36.4375,0.116191454,-0.0047497,0.05886739
3046,1.38E+13,"[b0:e4:d5:39:26:89, 11353, 106, -61, 14:22:3b:16:5a:bd, 2175, 84, -50, cc:f4:11:8b:29:4d, 13543, 88, -64, b0:e4:d5:96:3b:95, 8191, 68, -62, 14:22:3b:2a:86:f5, 25994, 213, -75, f8:1a:2b:06:3c:0b, 7311, 194, -51]",1.39E+13,-0.5599205,0.08853444,9.629316,-0.020310672,0.031458635,0.005650337,-4.5875,17.775,36.275,0.14092334,-0.009178498,0.058082078
3047,1.38E+13,"[b0:e4:d5:39:26:89, 11353, 106, -61, 14:22:3b:16:5a:bd, 2175, 84, -50, cc:f4:11:8b:29:4d, 13543, 88, -64, b0:e4:d5:96:3b:95, 8191, 68, -62, 14:22:3b:2a:86:f5, 25994, 213, -75, f8:1a:2b:06:3c:0b, 7311, 194, -51]",1.39E+13,-0.2883351,0.1052842,9.833903,0.006872032,0.005192202,0.012216945,-4.0875,18.075,36.275,0.16928063,-0.010701239,0.029312117
3048,1.38E+13,"[b0:e4:d5:39:26:89, 11295, 109, -62, 14:22:3b:16:5a:bd, 2761, 98, -51, cc:f4:11:8b:29:4d, 13367, 58, -64, b0:e4:d5:96:3b:95, 8660, 276, -62, 14:22:3b:2a:86:f5, 26609, 151, -78, f8:1a:2b:06:3c:0b, 7164, 174, -52]",1.39E+13,-0.9661021,0.6239285,9.546165,0.015882028,-0.024128467,0.0659715,-4.875,18,35.8,0.07957853,-0.06493549,0.100859754
3049,1.38E+13,"[b0:e4:d5:39:26:89, 11412, 113, -63, 14:22:3b:16:5a:bd, 2556, 100, -52, cc:f4:11:8b:29:4d, 13601, 58, -64, b0:e4:d5:96:3b:95, 8152, 103, -65, 14:22:3b:2a:86:f5, 25652, 336, -75, f8:1a:2b:06:3c:0b, 7223, 97, -52]",1.39E+13,-0.43489552,-1.0689936,9.530613,0.00671932,0.012064233,0.09758285,-3.825,17.5875,36.575,0.09953978,0.111582205,0.045599803
3050,1.38E+13,"[b0:e4:d5:39:26:89, 11266, 152, -67, 14:22:3b:16:5a:bd, 2761, 98, -51, cc:f4:11:8b:29:4d, 13543, 0, -64, b0:e4:d5:96:3b:95, 7791, 267, -57, 14:22:3b:2a:86:f5, 25691, 131, -70, f8:1a:2b:06:3c:0b, 7135, 85, -52]",1.39E+13,-0.9206385,0.73399836,9.608379,-0.001374406,0.006108473,-0.018478129,-4.0625,18.2,35.9375,0.039982192,-0.07589715,0.095524594
