M1 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AP7 True Distance (m),AP7 RTT Distance (m),AP7 RTT std (m),AP7 RSS (dBm),AP8 True Distance (m),AP8 RTT Distance (m),AP8 RTT std (m),AP8 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M1 Ground Truth_x,M1 Ground Truth_y,user,circle
0,21.66647853,23.69172448,0.088,-73,22.30032549,29.09070341,0.7,-85,0,0,0,0,0,0,0,0,6.640605168,9.349640047,0.146,-63,4.856123248,7.430195758,0.117,-55,3.833882888,5.698104948,0.097,-62,13.50384749,15.90814433,0.078,-70,0.081954174,1.1264212,9.4839525,-0.06139015,0.096208446,0.088114716,-25.75,-2.1625001,37.275,1.8157518,-0.1182131,-0.008641138,22.161,15.326,1,3
252.216796,21.64274694,23.4966807,0.292,-69,22.27726913,29.60977872,0.377,-78,0,0,0,0,0,0,0,0,6.626243973,9.505859298,0.118,-64,4.832656923,7.273835371,0.061,-58,3.838367259,4.550613585,0.132,-64,13.48305134,16.54244541,0.297,-74,0.3152544,-1.3794622,9.488738,-0.16401249,0.11942064,-0.08567133,-24.325,-2.1375,37.725002,1.4466541,0.14428897,-0.03321184,22.13726788,15.326,1,3
505.910363,21.63088114,24.66893342,0.054,-73,22.26574149,30.14585378,0.166,-76,0,0,0,0,0,0,0,0,6.619083599,10.32690278,0.153,-60,4.820924736,7.000165998,0,-60,3.840662473,5.286407097,0.054,-62,13.47265691,15.56597173,0.146,-73,0.8350951,-0.23988047,9.9038925,0.036956258,-0.030542362,-0.005650337,-25.112501,-2.1000001,37.7375,1.6148539,0.024130495,-0.08412091,22.12540182,15.326,1,3
765.362836,21.61901533,23.85776119,0.157,-71,22.25421418,28.22057095,0.063,-84,0,0,0,0,0,0,0,0,6.61193676,9.310584085,0,-65,4.809193196,7.312926911,0.055,-63,3.842992958,5.609761492,0.105,-63,13.4622649,15.40989046,0.343,-71,0.15014961,1.0025927,9.4432745,-0.021226943,0.017256435,-0.01511847,-25.45,-2.3875,37.25,1.8068435,-0.105760515,-0.015898826,22.11353575,15.326,1,3
1019.77307,21.60714954,23.88776777,0.048,-71,22.24268725,29.79380479,0.148,-80,0,0,0,0,0,0,0,0,6.604803512,10.83546995,1.16,-65,4.797462328,6.686331206,0.066,-64,3.845358645,5.845655566,0.132,-67,13.45187533,14.90161401,0.117,-67,0.56530434,0.485743,10.561321,0.018019995,-0.005497625,0.084449634,-25.175001,-2.6125,37.575,1.7267876,-0.045894645,-0.05347488,22.10166969,15.326,1,3
1275.638408,21.58341794,24.00479327,0.234,-71,22.21963445,31.01597008,0.287,-75,0,0,0,0,0,0,0,0,6.590577947,9.505859298,0.11,-65,4.774002596,6.920962433,0.055,-61,3.850195371,6.462687057,0.738,-64,13.43110355,15.25280699,0.055,-68,-0.37328035,0.047856454,9.856635,-0.018783553,0.024128467,0.065513365,-25.475,-2.5125,37.7625,1.6827067,-0.004851737,0.037852883,22.07793757,15.326,1,3
1536.313486,21.57155215,23.73073315,0.073,-69,22.20810859,30.29587431,0.125,-82,0,0,0,0,0,0,0,0,6.583485719,9.310584085,0.168,-61,4.762273743,7.792976389,0.065,-64,3.852666277,5.698104948,0.097,-58,13.42072134,15.09672233,0.123,-68,0.12801601,-2.1038892,9.61496,-0.03787253,-0.046424393,-0.13866232,-25.475,-2.5125,36.912502,1.3671439,0.2154004,-0.013313467,22.06607151,15.326,1,3
1792.097157,21.55968635,23.73073315,0.199,-70,22.19658308,30.14585378,0.24,-81,0,0,0,0,0,0,0,0,6.576407253,11.33397657,0.065,-58,4.750545571,8.643550428,0.122,-65,3.855172124,6.668280813,0.07,-57,13.41034159,15.6049918,0.151,-65,-0.52223355,0.5455636,9.497113,0.009162709,0.029626092,0.023364907,-25.75,-3.45,37.4,1.8057784,-0.057295773,0.05493334,22.05420545,15.326,1,3
2043.265255,21.54782056,23.76974179,0.11,-70,22.18505794,28.77265593,0.088,-83,0,0,0,0,0,0,0,0,6.569342593,9.154355466,0.149,-57,4.738818085,6.803652254,0.11,-64,3.857712842,5.139736958,0.106,-66,13.39996431,14.76453619,0.111,-67,-0.22253251,-0.4109673,9.366704,0.035123717,0.025808297,0.10430217,-24.95,-3.3625,36.8625,1.6420753,0.04383486,0.023753356,22.04233939,15.326,1,3
2283.429654,21.53595476,23.37965408,0.398,-70,22.17353315,29.19471872,0.139,-79,0,0,0,0,0,0,0,0,6.562291784,8.997117372,0.149,-64,4.727091291,6.60811085,0.066,-62,3.860288363,4.992022536,0.153,-66,13.3895895,15.64401176,0.101,-64,-0.14057833,0.19322042,10.068997,-0.031458635,-0.013744064,-0.001832542,-25.5625,-3.3,37.55,1.7302619,-0.019185416,0.013960595,22.03047333,15.326,1,3
