Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm),real_distance,rtt_kalman
0,6.312,0.045,-55,4.833,4.812
524,6.304,0.06,-53,4.83302,4.811828122
1049,6.191,0.06,-53,4.83302,4.809232152
2098,6.468,0.075,-48,4.83302,4.812643247
3147,6.285,0.03,-53,4.83307,4.812049337
4196,6.41,0.06,-52,4.83308,4.814153789
5247,6.093,0.03,-56,4.83316,4.809402343
5775,5.906,0.105,-56,4.83313,4.800735318
6818,6.23,0.075,-49,4.83321,4.799215572
7341,6.632,0.075,-48,4.83327,4.80636537
7867,6.773,0.075,-53,4.83333,4.816390922
8391,6.523,0.045,-50,4.83328,4.820829883
8915,5.773,0.12,-53,4.83331,4.80905987
9963,5.816,0.105,-54,4.83334,4.798466569
10490,6.312,0.105,-46,4.83341,4.798757319
11010,6.726,0.09,-49,4.83351,4.807936534
11536,5.226,0.075,-51,4.83353,4.784691328
12060,7.148,0.09,-52,4.83355,4.803239326
12589,5.046,0.09,-53,4.83361,4.776227767
13110,6.949,0.12,-53,4.83364,4.790682117
13642,5.386,0.225,-53,4.83364,4.771245172
14161,5.636,0.165,-53,4.83377,4.75759701
15208,6.359,0.075,-51,4.83384,4.759775581
15732,6.226,0.135,-52,4.83378,4.759049869
16255,6.531,0.06,-47,4.83393,4.764892615
16793,6.417,0.075,-53,4.83381,4.768160568
17303,7.589,0.135,-53,4.83404,4.796538511
17827,6.257,0.255,-57,4.83423,4.795689019
18350,9.386,0.21,-61,4.8341,4.862083751
19939,7.433,0.18,-56,4.8344,4.885092233
20974,6.375,0.03,-54,4.83449,4.884875474
22025,5.664,0.105,-51,4.83459,4.869387671
22546,5.308,0.105,-54,4.83477,4.846584013
23085,6.078,0.165,-58,4.83482,4.84081357
23592,5.578,0.15,-57,4.83472,4.824424692
24118,6.058,0.12,-53,4.83489,4.81870062
25174,6.113,0.09,-55,4.83498,4.814281187
25699,6.355,0.225,-61,4.83515,4.815156026
26224,4.933,0.105,-61,4.83518,4.785460667
26738,6.109,0.09,-57,4.83536,4.781669417
27791,6.574,0.105,-60,4.83533,4.787950055
28313,7.382,0.285,-61,4.83554,4.811455489
28838,6.355,0.075,-61,4.8358,4.812391034
29368,6.546,0.165,-62,4.83574,4.817410079
29888,7.195,0.195,-61,4.83577,4.836264938
30410,7.195,0.195,-61,4.83573,4.854714722
31461,9.082,0.165,-62,4.83601,4.913309973
32006,11.07,0.27,-59,4.83599,5.013358178
32509,8.937,0.12,-60,4.83643,5.06542986
33053,6.582,0.315,-68,4.83668,5.065786112
33559,6.671,0.255,-65,4.83659,5.068046858
34610,10.039,0.06,-62,4.83684,5.142619879
35153,6.714,0.105,-62,4.83697,5.144153788
36177,10.281,0.135,-65,4.837,5.222291064
37223,7.632,0.135,-65,4.83707,5.241836387
38280,8.042,0.165,-66,4.83752,5.269770573
39321,7.097,0.165,-67,4.83772,5.276801479
40368,7.742,0.09,-64,4.83797,5.297539037
40892,9.925,0.255,-65,4.83809,5.364732416
41417,8.535,0.21,-63,4.83822,5.400618336
42471,11.574,0.165,-66,4.8384,5.501025629
43520,9.328,0.21,-63,4.839,5.551020902
44567,12.808,0.18,-69,4.83884,5.674709227
45087,7.882,0.15,-61,4.83898,5.689906072
46136,7.609,0.135,-68,4.83917,5.698911076
46659,17.503,0.27,-68,4.83946,5.920293342
47185,7.425,0.075,-62,4.83957,5.920395537
47711,9.992,0.36,-67,4.83969,5.975647048
