Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
131101,13.726,0.06,-64
131595,18.082,0.285,-64
132122,17.21,0.21,-67
132647,21.792,0.135,-65
133181,11.07,0.075,-66
133704,17.816,0.12,-63
134741,14.648,0.3,-62
135265,12.894,0.15,-64
135821,18.824,0.105,-64
136313,15.355,0.27,-63
137362,19.289,0.24,-66
137893,19.925,0.18,-68
138412,4.656,0.18,-69
138951,14.39,0.09,-64
139473,14.757,0.06,-67
139986,15.929,0.15,-67
140518,18.578,0.12,-63
141063,17.425,0.09,-65
141558,16.042,0.195,-64
142086,17.046,0.075,-62
142635,16.332,0.06,-63
143129,15.929,0.03,-60
144181,19.019,0.135,-61
144716,15.687,0.09,-61
145232,14.773,0.075,-61
145763,18.824,0.18,-59
146304,17.82,0.09,-61
146820,16.082,0.09,-61
147851,16.492,0.12,-63
148402,16.558,0.24,-64
148896,17.144,0.105,-62
149423,17.48,0.225,-63
149977,16.855,0.225,-64
150995,16.835,0.015,-59
151523,19.312,0.105,-62
152073,15.933,0.15,-63
152597,16.472,0.03,-62
153094,16.777,0.105,-64
153617,19.578,0.21,-65
154169,15.707,0.135,-63
155188,19.695,0.075,-62
156241,18.828,0.09,-60
156793,17.781,0.225,-62
157808,13.824,0.075,-64
158365,14.917,0.12,-64
158890,16.191,0.15,-66
159907,14.875,0.21,-64
160965,14.761,0.27,-68
161510,13.648,0.09,-63
162527,14.058,0.09,-63
163051,13.98,0.03,-63
163591,13.445,0.06,-65
164107,14.031,0.09,-64
164629,14.226,0.045,-65
165181,13.484,0.075,-63
165705,13.582,0.03,-66
166198,14.699,0.195,-63
166726,14.648,0.09,-65
167277,16.332,0,-66
168296,14.875,0.06,-61
168824,13.601,0.09,-62
169358,14.769,0.165,-65
169875,13.742,0.12,-63
170424,13.535,0.105,-66
170932,12.972,0.09,-63
171446,14.164,0.045,-62
172502,20.453,0.195,-65
173045,16.882,0.225,-65
173541,17.378,0.135,-64
174094,16.433,0.15,-66
174617,15.875,0.18,-63
175119,13.601,0.09,-66
175641,14.242,0.09,-64
176191,14.636,0.21,-68
176699,19.503,0.18,-65
177215,17.582,0.255,-64
177738,16.371,0.135,-67
178277,16.179,0.18,-63
178811,18.132,0.075,-64
179829,14.464,0.33,-65
180370,13.054,0.075,-66
180889,12.046,0.27,-69
181434,87.718,0,-64
181925,11.269,0.315,-68
182454,14.199,0.135,-65
182976,-38.453,0.345,-69
184054,12.828,0.03,-64
185602,13.257,0.12,-64
186143,20.671,0.255,-62
186661,18.261,0.18,-63
187203,14.804,0.15,-64
187701,16.593,0.06,-63
188227,18.39,0.195,-61
188755,15.351,0.165,-62
189285,13.972,0.255,-62
190321,17.265,0.285,-62
190854,12.921,0.075,-61
191376,13.242,0.15,-58
191919,13.078,0.315,-64
192418,18.644,0.045,-62
192944,12.117,0.36,-64
193462,14.328,0.255,-64
193996,13.835,0.015,-60
194516,12.085,0.105,-64
195034,11.996,0.075,-62
195587,12.179,0,-59
196614,11.667,0.09,-57
197142,11.843,0.09,-56
197661,11.75,0.06,-56
198212,11.886,0.06,-58
198724,11.652,0.075,-56
199242,11.589,0.075,-56
199785,12.093,0.12,-60
200822,10.988,0.18,-60
201332,11.152,0.015,-60
201851,11.429,0.105,-56
202380,11.027,0.06,-59
202930,11.527,0.015,-58
203437,11.554,0.075,-54
203950,10.769,0.105,-56
204485,9.839,0.06,-59
205001,9.82,0.06,-58
205536,9.691,0.075,-58
206049,9.964,0.045,-55
206575,10.234,0.09,-53
207110,10.378,0.03,-53
207622,10.097,0.075,-54
208175,10.234,0.09,-51
208671,9.996,0.09,-50
209206,10.089,0.09,-50
209745,10.429,0.075,-50
210262,10.585,0.06,-52
211288,10.675,0.105,-56
211825,9.234,0.12,-64
212342,14.355,0.15,-61
212889,10.281,0.06,-59
213390,10.378,0.03,-58
213939,9.863,0.12,-60
214456,16.875,0.105,-57
214961,13.179,0.165,-59
215514,15.207,0.39,-59
216037,14.191,0.3,-62
216533,17.906,0.12,-62
217085,15.246,0.045,-65
217595,10.957,0.105,-63
218134,12.054,0.135,-63
218662,10.644,0.06,-64
219155,11.55,0.21,-64
219710,12.917,0.12,-62
220208,12.003,0.135,-62
220729,15.152,0.135,-64
221259,10.07,0.12,-63
221776,13.335,0.12,-63
222311,9.675,0.075,-60
222837,9.183,0.03,-61
223356,11.433,0.165,-61
223884,9.054,0.045,-58
224411,9.257,0.09,-57
224935,9.664,0.075,-53
226032,9.707,0.075,-52
227019,9.628,0.09,-55
227563,9.16,0.06,-56
228078,9.328,0.045,-56
228595,9.359,0.105,-59
229133,9.578,0.09,-58
229669,19.835,0.135,-60
230687,8.726,0.105,-61
231245,8.984,0.075,-59
231738,8.832,0.135,-58
232275,9.335,0.135,-56
233319,9.781,0.18,-56
233833,9.558,0.075,-54
234372,9.871,0.075,-54
234886,11.507,0.225,-56
235438,16.375,0.15,-55
235960,11.359,0.225,-54
236454,16.507,0.21,-55
236982,10.066,0.06,-54
237517,16.597,0.105,-56
238034,11.785,0.12,-56
238551,14.32,0.15,-55
239088,16.433,0.24,-56
239631,8.929,0.09,-57
240141,8.714,0.03,-56
240651,13.175,0.225,-59
241195,8.468,0.075,-58
241702,8.027,0.075,-57
242237,8.156,0.075,-59
242777,8.98,0.09,-57
243274,9.636,0.09,-58
243827,7.886,0.075,-61
244336,7.89,0.045,-59
245399,7.953,0.075,-59
245907,8.203,0.12,-60
246433,8.351,0.09,-60
246969,8.66,0.075,-59
247991,9.226,0.06,-57
248544,9.882,0.045,-59
249056,10.628,0.195,-61
249569,8.003,0.195,-59
250088,7.753,0.045,-58
250615,7.406,0.15,-56
251665,8.523,0.09,-59
252184,8.425,0.135,-56
252716,7.98,0.075,-57
253244,7.886,0.105,-60
253763,8.324,0.105,-55
254809,9.937,0.09,-63
255361,7.89,0.255,-63
255859,9.179,0.135,-63
256379,10.39,0.09,-60
256910,13.203,0.195,-59
257447,8.046,0.12,-59
257951,14.894,0.105,-58
258485,8.394,0.075,-56
259006,8.714,0.09,-55
259556,9.027,0,-57
260580,7.808,0.06,-56
261102,8.148,0.09,-55
261651,7.433,0.045,-56
262675,8.179,0.135,-60
263202,12.343,0.135,-60
264243,7.64,0.15,-61
264768,7.218,0.09,-57
265296,7.355,0.045,-56
266356,7.265,0.075,-59
266865,10.269,0.225,-57
267390,8.25,0.09,-56
267946,8.906,0.03,-53
268451,7.738,0.09,-54
268968,10.109,0.21,-54
269485,7.57,0.27,-60
270536,7.761,0.15,-58
271062,8.062,0.12,-59
271583,9.64,0.15,-58
272138,7.828,0.33,-61
272637,8.996,0.255,-60
273162,8.214,0.24,-59
273692,8.558,0.165,-59
274208,7.812,0.135,-56
274728,7.253,0.12,-56
275267,7.25,0.12,-55
275781,8.281,0.075,-53
276302,7.281,0.15,-56
277350,8.007,0.15,-54
277888,7.917,0.075,-53
278431,7.074,0.015,-55
278957,7.175,0.12,-52
279465,7.382,0.03,-53
280005,7.507,0.06,-54
280516,7.91,0.075,-52
281051,7.699,0.3,-53
282078,6.761,0.09,-60
282606,7.363,0.015,-57
283130,7.648,0.165,-55
283673,7.312,0.075,-55
284190,7.066,0.09,-54
284702,7.48,0.105,-53
285242,7.097,0.06,-54
285769,7.316,0.045,-51
286296,7.156,0.075,-51
286805,7.757,0.105,-54
287839,7.339,0.075,-53
288903,8.328,0.075,-52
289416,7.66,0.12,-54
289945,6.824,0.075,-57
290480,3.55,0.255,-56
291507,8.992,0.18,-54
292038,11.906,0.06,-57
293084,7.8,0.075,-54
293609,7.152,0.075,-54
294654,7.945,0.09,-52
295208,7.238,0.06,-54
295715,7.644,0.105,-52
296237,7.332,0.09,-53
296762,7.421,0.165,-55
297291,8.371,0.075,-52
297803,8.269,0.06,-53
