M1 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AP7 True Distance (m),AP7 RTT Distance (m),AP7 RTT std (m),AP7 RSS (dBm),AP8 True Distance (m),AP8 RTT Distance (m),AP8 RTT std (m),AP8 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M1 Ground Truth_x,M1 Ground Truth_y,user,circle
6096.526004,0,0,0,0,21.35527727,23.18160842,0.075,-58,0,0,0,0,0,0,0,0,3.737524589,6.926978057,0.105,-55,7.14132442,9.540907504,0.075,-57,1.481218638,3.739723118,0.105,-45,11.64070153,14.20520313,0.18,-55,-1.7892331,-0.7375876,9.666406,-0.070249505,-0.086437434,0.024892759,-173.10579,-72.3948,143.716,1.9610696,0.07488942,0.1830266,21.84557759,20.159,2,4
6637.082564,0,0,0,0,21.33275206,22.88053749,0.165,-62,0,0,0,0,0,0,0,0,3.71515783,6.770562827,0.105,-53,7.127191262,13.81095218,0.12,-57,1.496949347,2.715349149,0.06,-44,11.61840429,14.57642703,0.09,-52,-0.51565325,-0.34097722,9.958928,-0.027794369,-0.12339478,0.015118915,-173.0448,-72.7486,144.72859,1.958215,0.03417922,0.05173179,21.82304741,20.159,2,4
7187.500411,0,0,0,0,21.29896427,22.76350942,0.105,-60,0,0,0,0,0,0,0,0,3.681611447,6.633182042,0.075,-52,7.106072769,11.68430678,0.03,-61,1.52086616,4.530492688,0.12,-46,11.58496015,15.0697075,0.135,-53,-1.5337993,0.4229314,9.48455,0.07452556,-0.040317107,0.019242255,-173.0204,-73.5172,144.0454,2.071669,-0.043991327,0.16032754,21.78925216,20.159,2,4
7747.186934,0,0,0,0,21.2651765,22.6614847,0.12,-62,0,0,0,0,0,0,0,0,3.648069649,6.87985494,0.06,-51,7.085052524,13.84197244,0.12,-58,1.545151988,1.972618818,0.045,-50,11.55151804,14.93663366,0.255,-55,0.35114673,1.5337993,9.65145,0.07238753,0.21288654,0.016035212,-173.2278,-73.139,144.326,2.0552483,-0.15749864,-0.036366753,21.7554569,20.159,2,4
8308.281702,0,0,0,0,21.23138875,23.06458107,0.105,-58,0,0,0,0,0,0,0,0,3.614532573,6.276114722,0.165,-52,7.064131411,12.85327853,0.135,-60,1.569789698,2.775319801,0.18,-50,11.51807799,15.77307709,0.21,-58,0.9702896,0.50069815,9.582657,-0.02977968,-0.059253927,-0.014049901,-173.0204,-73.236595,143.9356,1.9742324,-0.051937886,-0.100910835,21.72166164,20.159,2,4
8861.233891,0,0,0,0,21.2088636,22.94355249,0.045,-58,0,0,0,0,0,0,0,0,3.592177214,5.923936613,0.045,-53,7.050239512,15.71404735,0.345,-65,1.586402239,2.068425488,0.165,-52,11.49578578,16.2813243,0.345,-54,0.4229314,0.84047896,9.601799,-0.03573562,-0.064446285,0.020158553,-173.3132,-71.821396,143.98439,2.0058541,-0.0872268,-0.04401865,21.69913147,20.159,2,4
9415.342127,0,0,0,0,21.1750759,23.11559303,0.075,-57,0,0,0,0,0,0,0,0,3.558648305,5.935979195,0.03,-52,7.029485582,11.14879366,0.18,-63,1.611590568,2.877888288,0.045,-49,11.46234921,17.18372722,0.045,-55,0.34037903,0.31345975,9.595817,-0.17440203,0.03023783,-0.016646078,-173.3254,-71.821396,144.2894,1.9750242,-0.03263417,-0.03545674,21.66533621,20.159,2,4
9930.962407,0,0,0,0,21.14128821,23.3456463,0.045,-55,0,0,0,0,0,0,0,0,3.525124482,6.507820603,0.075,-50,7.008833153,12.56405492,0.195,-66,1.63708903,3.471174009,0.15,-45,0,0,0,0,1.0516455,0.43728834,10.034302,-0.14874569,0.036193766,-0.129198,-172.4592,-72.3704,144.6432,1.9656088,-0.043314856,-0.10442383,21.63154095,20.159,2,4
10500.93038,0,0,0,0,21.11876311,23.22061748,0.06,-55,0,0,0,0,0,0,0,0,3.502778169,6.45666911,0.09,-50,6.995121702,12.13370249,0.12,-61,1.654253223,3.127281407,0.06,-41,11.40662629,13.94403848,0.18,-57,0.567099,-0.74416786,10.249058,-0.0786489,-0.031306844,-0.082619525,-173.545,-72.651,145.0092,1.9036965,0.07237092,-0.05527545,21.60901078,20.159,2,4
10972.35979,0,0,0,0,21.096238,23.05657919,0.03,-55,0,0,0,0,0,0,0,0,3.480434216,6.304203042,0.105,-50,6.981456025,10.25281547,0.06,-57,1.671544856,2.596292742,0.03,-40,11.38433877,12.70416451,0.24,-56,-0.20997019,0.4229314,9.932607,0.086437434,0.001374447,-0.02107485,-173.1546,-72.8462,144.9238,2.006169,-0.0425449,0.021136338,21.5864806,20.159,2,4
11518.55506,0,0,0,0,21.06245038,23.38865614,0.045,-53,0,0,0,0,0,0,0,0,3.446922843,6.394481683,0.075,-50,6.96104394,9.791241801,0.075,-58,1.697712706,2.520892699,0.045,-43,11.35090931,12.9073192,0.195,-55,1.1066805,1.5206388,9.647861,0.077121735,-0.093004234,-0.031154128,-173.0326,-72.6632,144.2284,2.0204759,-0.15532598,-0.11420819,21.55268534,20.159,2,4
