Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll,Points,,
12,4432629747961,"[b0:e4:d5:39:26:89, 23541, 117, -75, 14:22:3b:16:5a:bd, 15505, 127, -71, b0:e4:d5:96:3b:95, 8738, 165, -62, 14:22:3b:2a:86:f5, 4548, 152, -62, f8:1a:2b:06:3c:0b, 7428, 67, -57]",4.43263E+12,0.6053841,1.3471591,9.110672,7.64E-04,0.08857285,-0.04871507,-24.875,-5.2875,36.787502,1.9336005,-0.14648388,-0.06635026,0,22.00260606,15.326
13,4432896659550,"[b0:e4:d5:39:26:89, 23932, 111, -77, 14:22:3b:16:5a:bd, 15066, 89, -66, b0:e4:d5:96:3b:95, 9050, 118, -63, 14:22:3b:2a:86:f5, 6082, 150, -62, f8:1a:2b:06:3c:0b, 7682, 292, -69]",4.4329E+12,0.1698904,-0.5629115,10.057034,-0.006566608,0.039094225,0.018019995,-25.487501,-5.1,36.4875,1.6881688,0.05590562,-0.016891088,0,21.98940657,15.326
14,4433182700724,"[b0:e4:d5:39:26:89, 22955, 257, -71, 14:22:3b:16:5a:bd, 15652, 59, -70, cc:f4:11:8b:29:4d, 29765, 137, -82, b0:e4:d5:96:3b:95, 8543, 55, -60, 14:22:3b:2a:86:f5, 6423, 210, -60, f8:1a:2b:06:3c:0b, 7330, 146, -64]",4.43318E+12,0.63948184,1.6642082,9.680762,-0.008857286,0.092848785,0.008399149,-25.25,-4.425,36.8375,1.927523,-0.16988163,-0.065961145,0,21.97620707,15.326
15,4433182700724,"[b0:e4:d5:39:26:89, 22955, 257, -71, 14:22:3b:16:5a:bd, 15652, 59, -70, cc:f4:11:8b:29:4d, 29765, 137, -82, b0:e4:d5:96:3b:95, 8543, 55, -60, 14:22:3b:2a:86:f5, 6423, 210, -60, f8:1a:2b:06:3c:0b, 7330, 146, -64]",4.43318E+12,0.7118647,0.04007978,9.790234,-0.011911522,-0.002596101,0.042301174,-24.7625,-4.2625003,36.4875,1.7304777,-0.004083051,-0.07258398,0,21.96300758,15.326
16,4433464525596,"[b0:e4:d5:39:26:89, 23775, 82, -72, 14:22:3b:16:5a:bd, 14890, 143, -72, b0:e4:d5:96:3b:95, 8425, 151, -68, 14:22:3b:2a:86:f5, 3640, 177, -60, f8:1a:2b:06:3c:0b, 6607, 271, -64]",4.43346E+12,-0.573081,0.8327023,9.799207,-0.014507622,0.07207998,-0.030847786,-24.800001,-4.65,36.6375,1.9047434,-0.08462894,0.05841585,0,21.94980808,15.326
17,4433717297705,"[b0:e4:d5:39:26:89, 24579, 272, -70, 14:22:3b:16:5a:bd, 15613, 117, -64, cc:f4:11:8b:29:4d, 28050, 1242, -82, b0:e4:d5:96:3b:95, 8855, 42, -62, 14:22:3b:2a:86:f5, 6365, 104, -55, f8:1a:2b:06:3c:0b, 7105, 50, -60]",4.43372E+12,0.5617151,0.63529444,9.934999,-0.03939965,0.011453386,0.12843063,-25.225,-4.3,35.5125,1.8040482,-0.0637566,-0.05647889,0,21.93660859,15.326
18,4433971349553,"[b0:e4:d5:39:26:89, 23190, 234, -69, 14:22:3b:16:5a:bd, 14890, 67, -68, cc:f4:11:8b:29:4d, 27321, 188, -85, b0:e4:d5:96:3b:95, 8855, 29, -62, 14:22:3b:2a:86:f5, 6316, 146, -57, f8:1a:2b:06:3c:0b, 6939, 61, -61]",4.43397E+12,-0.18364914,-0.37088752,9.777073,0.001527118,-0.028862532,0.053449135,-24.65,-4.6375003,36.125,1.7054824,0.03790955,0.018781444,0,21.92340909,15.326
19,4433971349553,"[b0:e4:d5:39:26:89, 23190, 234, -69, 14:22:3b:16:5a:bd, 14890, 67, -68, cc:f4:11:8b:29:4d, 27321, 188, -85, b0:e4:d5:96:3b:95, 8855, 29, -62, 14:22:3b:2a:86:f5, 6316, 146, -57, f8:1a:2b:06:3c:0b, 6939, 61, -61]",4.43397E+12,1.2382857,-0.71665037,10.4159565,0.007177455,-0.056961507,-0.21623993,-24.325,-4.6,36.125,1.6529441,0.068216,-0.118328154,0,21.9102096,15.326
20,4434244554267,"[b0:e4:d5:39:26:89, 23687, 78, -73, 14:22:3b:16:5a:bd, 15066, 0, -63, cc:f4:11:8b:29:4d, 29988, 240, -83, b0:e4:d5:96:3b:95, 8660, 62, -63, 14:22:3b:2a:86:f5, 5281, 194, -64, f8:1a:2b:06:3c:0b, 7096, 55, -60]",4.43424E+12,0.07298109,0.16510476,9.8632145,0.021685077,-0.024281178,0.03420745,-24.612501,-4.375,35.325,1.7677243,-0.016737428,-0.007399186,0,21.8970101,15.326
21,4434513999919,"[b0:e4:d5:39:26:89, 23814, 73, -65, 14:22:3b:16:5a:bd, 15066, 0, -74, cc:f4:11:8b:29:4d, 27488, 0, -86, b0:e4:d5:96:3b:95, 8855, 100, -61, 14:22:3b:2a:86:f5, 4871, 84, -58, f8:1a:2b:06:3c:0b, 6900, 82, -59]",4.43451E+12,1.0115658,-1.2460624,9.5048895,-0.003970507,0.003206948,-0.29427567,-24.925001,-4.3875003,36.825,1.5693368,0.12962979,-0.10602674,0,21.88381061,15.326
22,4434765143226,"[b0:e4:d5:39:26:89, 24160, 109, -70, 14:22:3b:16:5a:bd, 15457, 55, -63, cc:f4:11:8b:29:4d, 26634, 413, -85, b0:e4:d5:96:3b:95, 9129, 146, -62, 14:22:3b:2a:86:f5, 5486, 132, -52, f8:1a:2b:06:3c:0b, 6588, 60, -55]",4.43476E+12,-0.42711884,0.29910284,9.572487,0.02351762,-0.04382829,-0.002290677,-24.925001,-4.3875003,35.662502,1.8037864,-0.031204905,0.044589847,0,21.87061111,15.326
23,4435020783616,"[b0:e4:d5:39:26:89, 23043, 243, -76, 14:22:3b:16:5a:bd, 15066, 195, -70, cc:f4:11:8b:29:4d, 29714, 279, -77, b0:e4:d5:96:3b:95, 7533, 1621, -59, 14:22:3b:2a:86:f5, 5369, 175, -52, f8:1a:2b:06:3c:0b, 7057, 61, -55]",4.43502E+12,-0.4833502,0.32422748,10.024133,-0.00503949,0.094528615,0.1524064,-24.2,-4.8375,35.45,1.8324553,-0.03229592,0.048181336,0,21.85741162,15.326
24,4435020783616,"[b0:e4:d5:39:26:89, 23043, 243, -76, 14:22:3b:16:5a:bd, 15066, 195, -70, cc:f4:11:8b:29:4d, 29714, 279, -77, b0:e4:d5:96:3b:95, 7533, 1621, -59, 14:22:3b:2a:86:f5, 5369, 175, -52, f8:1a:2b:06:3c:0b, 7057, 61, -55]",4.43502E+12,1.134198,0.25543383,9.467203,0.006261184,-0.055128966,0.06566608,-24.8375,-4.9,35.975002,1.7677796,-0.026782947,-0.11923458,0,21.84421212,15.326
25,4435299138070,"[b0:e4:d5:39:26:89, 23805, 127, -64, 14:22:3b:16:5a:bd, 15379, 107, -70, cc:f4:11:8b:29:4d, 27253, 0, -88, b0:e4:d5:96:3b:95, 8035, 103, -68, 14:22:3b:2a:86:f5, 5379, 112, -65, f8:1a:2b:06:3c:0b, 6861, 66, -59]",4.4353E+12,0.23808585,0.61794645,9.7196455,-0.0581832,0.09743014,-0.010842538,-23.8375,-4.5625,35.9375,1.8391535,-0.06347261,-0.024490425,0,21.83101263,15.326
26,4435556102471,"[b0:e4:d5:39:26:89, 23463, 110, -66, 14:22:3b:16:5a:bd, 14920, 102, -66, cc:f4:11:8b:29:4d, 26048, 523, -81, b0:e4:d5:96:3b:95, 8230, 110, -62, 14:22:3b:2a:86:f5, 5896, 58, -55, f8:1a:2b:06:3c:0b, 6783, 0, -55]",4.43555E+12,1.3328022,1.3764713,9.333204,-0.054059982,0.04703524,0.19531842,-24.025,-4.8250003,36.2625,1.8873451,-0.14497565,-0.14184323,0,21.81781313,15.326
27,4435789289630,"[b0:e4:d5:39:26:89, 23463, 73, -69, 14:22:3b:16:5a:bd, 14832, 195, -68, cc:f4:11:8b:29:4d, 29539, 58, -80, b0:e4:d5:96:3b:95, 8347, 55, -61, 14:22:3b:2a:86:f5, 5427, 101, -52, f8:1a:2b:06:3c:0b, 6637, 63, -55]",4.43579E+12,-0.28953153,-1.2281163,9.972687,-0.008704574,-0.0387888,-0.08460235,-24.0125,-4.5625,35.9375,1.573166,0.12247997,0.029024297,0,21.80461364,15.326
28,4436054621427,"[b0:e4:d5:39:26:89, 23395, 266, -66, 14:22:3b:16:5a:bd, 14636, 77, -74, cc:f4:11:8b:29:4d, 29179, 259, -80, b0:e4:d5:96:3b:95, 8533, 100, -65, 14:22:3b:2a:86:f5, 4783, 127, -55, f8:1a:2b:06:3c:0b, 6871, 64, -55]",4.43605E+12,1.0827522,-0.8889336,10.386046,0.001374406,-0.009773556,-0.17103723,-23.75,-3.775,36.4625,1.603415,0.08492313,-0.10387543,0,21.79141414,15.326
29,4436054621427,"[b0:e4:d5:39:26:89, 23395, 266, -66, 14:22:3b:16:5a:bd, 14636, 77, -74, cc:f4:11:8b:29:4d, 29179, 259, -80, b0:e4:d5:96:3b:95, 8533, 100, -65, 14:22:3b:2a:86:f5, 4783, 127, -55, f8:1a:2b:06:3c:0b, 6871, 64, -55]",4.43605E+12,0.09032906,-0.503091,9.702297,0.011606098,-0.06215371,-0.033138465,-23.4625,-4,36.1125,1.6603167,0.05180413,-0.009309799,0,21.77821465,15.326
30,4436310720150,"[b0:e4:d5:39:26:89, 23072, 107, -66, 14:22:3b:16:5a:bd, 15105, 67, -63, cc:f4:11:8b:29:4d, 27923, 1778, -88, b0:e4:d5:96:3b:95, 8660, 148, -62, 14:22:3b:2a:86:f5, 5632, 65, -54, f8:1a:2b:06:3c:0b, 6695, 59, -55]",4.43631E+12,1.6241283,-0.26141587,9.422338,0.018172706,0.011606098,0.025808297,-23.6375,-4.15,36.45,1.681463,0.027334262,-0.17069268,0,21.76501515,15.326
31,4436572659083,"[b0:e4:d5:39:26:89, 23814, 120, -69, 14:22:3b:16:5a:bd, 15183, 38, -69, cc:f4:11:8b:29:4d, 28693, 194, -83, b0:e4:d5:96:3b:95, 8699, 118, -65, 14:22:3b:2a:86:f5, 5310, 129, -51, f8:1a:2b:06:3c:0b, 7135, 95, -55]",4.43657E+12,0.97866446,-0.22552353,9.839885,-0.026724568,-0.04382829,0.105371155,-23.6,-3.8875,36.275,1.6854086,0.022802848,-0.09913292,0,21.75181566,15.326
32,4436832833900,"[b0:e4:d5:39:26:89, 23688, 50, -69, 14:22:3b:16:5a:bd, 14832, 288, -64, cc:f4:11:8b:29:4d, 27789, 696, -84, b0:e4:d5:96:3b:95, 8666, 764, -56, 14:22:3b:2a:86:f5, 5222, 85, -54, f8:1a:2b:06:3c:0b, 6871, 64, -55]",4.43683E+12,1.038485,0.66161543,9.829117,0.017103724,0.1021642,0.08933641,-23.575,-3.75,36.3,1.7870094,-0.066839494,-0.105263434,0,21.73861616,15.326
33,4437098417208,"[b0:e4:d5:39:26:89, 23658, 95, -63, 14:22:3b:16:5a:bd, 14519, 55, -65, cc:f4:11:8b:29:4d, 29162, 777, -85, b0:e4:d5:96:3b:95, 8738, 0, -65, 14:22:3b:2a:86:f5, 5720, 153, -53, f8:1a:2b:06:3c:0b, 6344, 131, -58]",4.4371E+12,0.20817557,-0.33439696,9.927223,-0.048562355,0.011300675,0.007482879,-24.237501,-3.9375,36.3125,1.6796101,0.03366472,-0.020967098,0,21.72541667,15.326
34,4437334642752,"[b0:e4:d5:39:26:89, 23502, 55, -70, 14:22:3b:16:5a:bd, 14920, 69, -70, cc:f4:11:8b:29:4d, 29447, 595, -90, b0:e4:d5:96:3b:95, 8738, 100, -65, 14:22:3b:2a:86:f5, 5544, 153, -50, f8:1a:2b:06:3c:0b, 6978, 61, -53]",4.43733E+12,-0.3379862,-0.21774685,10.106685,0.026419144,-0.04703524,-0.18050537,-23.75,-3.775,35.787502,1.702547,0.021529472,0.033429388,0,21.71221717,15.326
35,4437334642752,"[b0:e4:d5:39:26:89, 23502, 55, -70, 14:22:3b:16:5a:bd, 14920, 69, -70, cc:f4:11:8b:29:4d, 29447, 595, -90, b0:e4:d5:96:3b:95, 8738, 100, -65, 14:22:3b:2a:86:f5, 5544, 153, -50, f8:1a:2b:06:3c:0b, 6978, 61, -53]",4.43733E+12,0.7082755,-0.9637093,10.126426,-0.004275931,-0.020463383,-0.051616594,-23.275,-3.8500001,36.425,1.592225,0.09465215,-0.06982957,0,21.69901768,15.326
36,4437600793404,"[b0:e4:d5:39:26:89, 23150, 110, -65, 14:22:3b:16:5a:bd, 14626, 112, -67, b0:e4:d5:96:3b:95, 8347, 117, -62, 14:22:3b:2a:86:f5, 5544, 101, -52, f8:1a:2b:06:3c:0b, 6695, 226, -55]",4.4376E+12,0.09272188,-0.13280165,9.189037,0.002137966,-0.017561859,0.092543356,-23.4625,-4,35.9375,1.7159957,0.014450441,-0.010090147,0,21.68581818,15.326
37,4437866999785,"[b0:e4:d5:39:26:89, 23834, 72, -65, 14:22:3b:16:5a:bd, 15447, 50, -66, cc:f4:11:8b:29:4d, 32527, 0, -87, b0:e4:d5:96:3b:95, 8503, 99, -68, 14:22:3b:2a:86:f5, 5339, 120, -57, f8:1a:2b:06:3c:0b, 6939, 110, -55]",4.43787E+12,0.7902297,0.212363,9.847063,0.030847786,0.042453885,0.002901525,-22.975,-3.9625,35.925,1.7508498,-0.021493705,-0.08007868,0,21.67261869,15.326
38,4438132205801,"[b0:e4:d5:39:26:89, 23892, 110, -68, 14:22:3b:16:5a:bd, 14978, 136, -65, cc:f4:11:8b:29:4d, 29621, 419, -83, b0:e4:d5:96:3b:95, 8777, 114, -66, 14:22:3b:2a:86:f5, 5662, 54, -52, f8:1a:2b:06:3c:0b, 6783, 0, -55]",4.43813E+12,0.7531409,0.293719,9.993624,-0.007941014,-0.027946262,0.023975754,-23.4125,-3.6000001,35.625,1.7452902,-0.029299144,-0.07521996,0,21.65941919,15.326
39,4438132205801,"[b0:e4:d5:39:26:89, 23892, 110, -68, 14:22:3b:16:5a:bd, 14978, 136, -65, cc:f4:11:8b:29:4d, 29621, 419, -83, b0:e4:d5:96:3b:95, 8777, 114, -66, 14:22:3b:2a:86:f5, 5662, 54, -52, f8:1a:2b:06:3c:0b, 6783, 0, -55]",4.43813E+12,-1.1210374,-0.021535404,9.190832,0.008399149,0.038177952,-0.065818794,-23.862501,-4.6875,35.600002,1.8038112,0.002325898,0.12137389,0,21.6462197,15.326
40,4438385435982,"[b0:e4:d5:39:26:89, 23792, 120, -65, 14:22:3b:16:5a:bd, 14363, 109, -68, cc:f4:11:8b:29:4d, 31003, 140, -85, b0:e4:d5:96:3b:95, 12224, 97, -60, 14:22:3b:2a:86:f5, 5457, 143, -51, f8:1a:2b:06:3c:0b, 6744, 66, -55]",4.43838E+12,0.08315059,0.5192425,10.189836,-0.02260135,0.03268033,0.08857285,-23.1625,-4.0875,35.412502,1.8162552,-0.050911184,-0.008159969,0,21.6330202,15.326
