Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
162527,12.98,0.015,-63
163579,14.66,0.345,-65
164622,12.8,0.03,-64
165668,18.011,0.165,-65
166728,14.152,0.075,-64
167764,13.601,0.075,-60
168290,12.125,0.105,-61
168812,11.695,0.12,-60
169876,11.554,0.045,-58
170388,11.925,0.06,-59
171438,12.289,0.105,-59
171985,15.55,0.165,-61
173011,11.972,0.09,-57
173537,10.359,0.105,-59
174578,11.191,0.06,-55
175636,12.316,0.165,-61
176678,10.742,0.12,-59
177729,11.21,0.045,-57
178778,11.16,0.255,-63
179834,12.472,0.06,-61
180879,9.378,0.03,-56
181924,9.523,0.03,-56
182445,9.921,0.075,-53
183500,9.949,0.045,-51
184018,9.98,0.075,-50
185066,9.671,0.075,-50
186111,9.378,0.06,-52
187169,9.781,0.09,-56
188213,8.964,0.15,-63
188762,9.964,0,-61
189783,9.742,0.045,-56
190333,9.117,0.03,-57
191385,8.699,0.21,-64
192406,19.503,0.12,-62
192941,10.464,0.075,-64
193979,12.082,0.135,-59
195029,11.757,0.24,-62
196077,10.093,0.045,-66
197126,10.972,0.105,-64
197648,14.597,0.135,-62
198703,15.898,0.255,-64
199221,14.316,0.255,-60
199746,14.23,0.03,-61
200300,10.324,0,-64
201321,12.152,0.105,-60
202894,10.085,0.015,-59
203414,9.902,0.12,-57
203945,9.699,0.165,-61
204470,9.71,0.12,-61
205517,8.273,0.12,-60
206561,8.238,0.075,-63
207616,8.136,0.075,-59
208135,8.21,0.09,-59
209184,8.226,0.09,-59
210240,9.636,0.225,-59
210757,9.16,0.105,-57
211279,8.187,0.075,-56
212331,8.398,0.075,-56
212854,8.535,0.09,-53
213401,8.183,0.06,-55
214431,8.558,0.09,-52
214951,7.753,0.09,-56
216008,7.472,0.06,-57
216535,7.585,0.195,-56
217054,7.496,0.075,-57
218112,7.687,0.075,-55
219149,7.488,0.12,-55
220198,7.406,0.045,-55
220718,7.984,0.06,-53
221772,7.816,0.12,-53
222817,7.238,0.075,-55
223866,7.359,0.135,-58
224417,7.214,0.18,-58
225450,7.773,0.075,-53
225968,7.628,0.105,-51
227012,7.406,0.045,-51
227563,6.847,0.015,-54
228585,7.308,0.105,-57
229637,7.492,0.12,-57
230155,7.226,0.105,-57
231208,7,0.09,-58
231739,7.5,0.09,-57
232253,7.988,0.09,-53
233310,7.062,0.15,-57
233839,7.722,0.075,-57
234357,7.781,0.06,-56
235402,10.035,0.105,-59
235928,11.429,0.12,-58
236971,7.46,0.12,-61
237524,7.609,0.12,-55
238018,7.433,0.135,-55
238544,7.863,0.09,-57
239598,7.539,0.135,-57
240644,6.976,0.09,-53
241696,7.175,0.075,-55
242214,7.332,0.06,-54
243266,7.292,0.105,-57
243785,7.214,0.12,-56
244838,7.136,0.06,-53
245364,6.777,0.09,-54
246411,7.25,0.105,-53
247461,7.511,0.06,-53
248510,6.644,0.09,-54
249555,7.968,0.075,-59
250091,8.902,0.225,-58
251132,7.699,0.075,-60
251652,8.074,0.27,-59
