Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
122728,18.675,0.195,-65
123210,16.921,0.165,-68
123750,13.812,0.135,-66
124262,13.144,0.165,-57
124838,12.535,0.21,-60
125308,14.261,0.165,-59
125847,13.246,0.135,-68
126367,11.703,0.18,-59
126915,13.093,0.18,-57
127394,12.367,0.195,-55
127925,16.781,0.18,-61
128507,10.777,0.18,-64
128993,9.917,0.06,-61
129494,10.5,0.09,-60
130038,11.121,0.135,-70
131100,14.984,0.105,-60
131654,15.972,0.075,-64
132701,9.714,0.15,-69
133175,13.32,0.165,-60
133688,15.132,0.18,-64
134737,11.937,0.12,-63
135262,13.906,0.15,-64
135804,22.406,0.12,-64
136840,12.363,0.18,-58
137359,9.277,0.15,-64
138471,15.335,0.18,-56
138935,16.007,0.18,-59
139458,8.371,0.165,-71
140569,12.597,0.135,-63
141025,13.054,0.165,-64
141554,11.91,0.195,-63
142613,18.734,0.09,-66
143712,18.89,0.015,-62
144695,11.507,0.165,-58
145222,13.675,0.045,-64
146268,13.21,0.045,-61
146794,12.21,0.21,-56
147332,14.273,0.12,-64
148379,11.664,0.165,-60
148910,10.511,0.09,-62
149479,22.996,0.195,-61
150004,21.871,0.21,-69
150504,14.554,0.18,-61
151532,15.753,0.12,-59
152058,14.511,0.195,-61
152564,14.792,0.12,-63
153088,14.566,0.075,-62
154138,11.3,0.15,-62
154722,9.523,0.12,-64
155204,9.003,0.18,-61
156238,16.66,0.165,-58
156756,20.445,0.135,-63
157293,10.777,0.12,-66
157804,11.015,0.12,-58
158328,13.109,0.06,-69
158852,16.238,0.15,-66
159911,10.218,0.09,-68
160446,10.812,0.18,-57
160979,14.652,0.135,-62
161524,11.535,0.075,-67
161998,11.781,0.135,-58
162523,13.242,0.18,-68
163057,10.433,0.06,-59
163636,10.628,0.06,-60
164096,11.781,0.03,-52
164623,10.96,0.195,-54
165674,16.796,0.105,-65
166202,13.109,0.195,-60
166719,16.3,0.165,-62
167763,11.742,0.18,-53
168304,8.574,0.12,-55
168820,8.398,0.15,-58
169402,10.824,0.195,-55
169872,10.539,0.15,-54
170400,15.031,0.195,-61
171442,10.988,0.075,-56
171965,16.417,0.18,-55
172483,11.136,0.18,-61
173059,10.066,0.105,-60
173534,9.199,0.165,-57
174066,10.82,0.15,-56
174588,14.164,0.06,-60
175141,11.41,0.195,-55
175637,24.265,0.12,-66
176157,12.527,0.195,-59
176734,9.488,0.165,-64
177267,14.457,0.255,-63
177792,13.093,0.075,-59
178261,12.031,0.12,-61
178840,10.656,0.165,-60
179302,16.429,0.105,-65
179825,9.945,0.135,-66
180358,15.082,0.15,-59
180920,14.105,0.135,-62
181408,14.214,0.135,-59
181930,13.765,0.12,-63
182496,17.292,0.12,-60
182984,21.57,0.06,-60
183502,11.64,0.135,-58
184039,15.011,0.135,-57
185065,10.796,0.195,-54
185613,7.714,0.15,-59
186129,8.542,0.15,-63
186704,11.164,0.075,-58
187172,14.625,0.105,-61
187692,8.109,0.195,-53
188747,14.41,0.075,-62
189286,8.671,0.135,-48
189793,9.382,0.18,-49
190839,8.273,0.18,-60
191888,12.55,0.18,-65
192473,19.25,0.255,-60
192939,10.925,0.21,-56
193456,17.859,0.15,-58
194044,13.07,0.09,-55
194515,11.203,0.165,-59
195038,10.863,0.21,-61
195574,9.109,0.105,-58
196605,11.406,0.015,-58
197126,8.234,0.195,-61
198697,8.812,0.165,-61
199225,29.984,0.18,-66
200284,8.195,0.015,-59
200808,13.371,0.03,-59
201327,11.757,0.15,-57
202371,12.101,0.165,-60
202906,16.414,0.165,-69
203429,10.242,0.15,-69
204007,13.062,0.135,-58
204469,8.425,0.135,-57
204996,10.96,0.03,-56
206045,8.535,0.09,-68
207089,13.183,0.15,-57
208142,8.3,0.18,-61
208666,11.125,0.195,-55
209203,5.976,0.105,-60
209773,7.535,0.06,-60
210235,10.66,0.135,-63
210762,9.925,0.105,-66
211870,13.55,0.075,-58
212341,8.707,0.195,-59
212863,13.589,0.18,-62
213906,12.082,0.15,-57
214428,11.89,0.135,-61
214954,12.402,0.165,-66
215537,12.097,0.09,-58
216003,10.531,0.165,-64
216528,6.753,0.195,-63
217625,10.804,0.135,-56
218162,13.281,0.15,-60
218624,11.378,0.045,-64
219206,9.207,0.09,-65
219671,11.113,0.075,-60
220197,10.203,0.165,-59
220730,14.507,0.15,-63
221291,16.609,0.15,-67
221784,12.246,0.195,-60
222308,14.292,0.18,-64
223405,15.078,0.24,-64
223881,15.531,0.165,-65
224386,11.945,0.165,-59
224957,10.656,0.09,-56
225451,8.058,0.165,-60
225978,9.199,0.075,-64
226522,12.179,0.195,-62
227056,7.648,0.12,-62
227539,7.742,0.165,-64
228103,16.667,0.15,-62
228595,8.71,0.18,-69
229152,9.019,0.165,-66
229663,6.816,0.15,-66
230180,11.039,0.18,-61
230729,9.199,0.075,-67
231210,9.14,0.135,-65
231730,11.281,0.165,-58
232262,12.683,0.18,-61
232825,12.148,0.18,-63
233302,18.871,0.105,-67
233828,14.875,0.18,-64
234395,24.453,0.09,-68
235466,9.179,0.045,-67
235934,15.886,0.195,-63
236973,15.82,0.06,-65
237511,18.363,0.15,-65
238030,11.8,0.15,-69
238610,18.472,0.195,-66
239088,22.949,0.165,-64
239601,15.187,0.165,-67
240133,14.507,0.105,-65
240707,15.019,0.225,-63
241175,16.769,0.075,-64
241692,16.023,0.045,-69
242743,14.585,0.12,-60
243270,14.214,0.12,-63
243798,14.425,0.015,-64
244840,16.363,0.15,-68
245375,11.769,0.075,-69
245950,20.21,0.195,-67
246945,13.472,0.09,-66
247470,12.394,0.12,-68
248047,16.308,0.27,-70
248522,20.183,0.15,-67
249041,17.058,0.06,-67
249560,19.085,0.075,-68
250144,16.164,0.18,-74
251142,15.292,0.12,-66
251718,16.246,0.15,-65
252766,17.261,0.225,-71
253787,22.468,0.165,-68
254277,28.601,0.015,-69
254806,22.835,0.18,-70
255911,26.089,0.12,-67
256384,25.085,0.09,-69
257425,22.179,0.18,-64
258488,14.757,0.135,-71
259054,17.761,0.15,-66
259582,16.5,0,-72
260048,24.375,0.15,-71
260632,18.714,0.075,-68
262153,15.789,0.165,-71
262682,16.707,0.195,-73
263768,15.789,0.135,-68
264243,24.019,0.135,-68
264772,17.347,0.09,-71
265322,24.578,0.045,-71
