Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
0,15.128,0.06,-57
523,15.144,0.075,-59
1042,15.5,0.06,-59
2088,15.957,0.06,-60
2622,16.128,0.285,-60
3667,15.402,0.06,-55
4711,14.691,0.255,-58
5235,15.773,0.06,-59
6299,15.421,0.075,-58
7332,15.207,0.09,-58
7858,15.593,0.06,-59
8905,14.699,0.195,-59
9429,15.601,0.06,-58
10477,16.257,0.075,-59
11554,20.46,0.405,-63
12578,16.32,0.06,-58
13104,16.988,0.06,-58
14149,19.187,0.195,-58
15199,18.023,0.12,-60
16247,14.992,0.045,-59
17299,14.324,0.12,-59
17822,15.382,0.09,-59
18896,15.007,0.09,-59
19917,14.832,0.09,-60
20441,14.738,0.075,-61
20992,14.882,0.015,-59
22014,14.546,0.06,-58
22537,14.964,0.045,-60
23587,20.218,0.105,-64
24639,15.167,0.105,-59
25689,14.617,0.045,-59
26733,14.312,0.12,-62
27805,15.753,0.09,-58
28831,18.378,0.06,-61
29360,16.05,0.075,-63
30403,18.285,0.195,-63
31453,17.914,0.09,-61
32499,15.046,0.09,-62
33035,15.183,0.165,-62
33550,15.035,0.075,-61
34600,14.75,0.09,-65
35656,15.82,0.18,-66
36700,20.828,0.135,-64
37757,15.011,0.09,-65
38807,14.929,0.075,-61
39337,14.308,0,-61
39867,15.707,0.27,-63
40889,14.05,0.075,-64
41418,14.679,0.165,-64
41964,15.296,0,-64
42466,14.746,0.09,-60
43536,15.718,0.045,-61
44559,13.875,0.165,-66
45084,18.234,0.285,-63
46129,14.082,0.09,-63
46663,19.054,0.105,-63
47206,15.164,0.06,-66
48237,14.523,0.18,-65
48756,18.019,0.09,-63
49805,14.886,0.12,-62
50327,18.027,0.27,-66
51377,16.046,0.135,-62
52438,15.644,0.195,-63
52975,13.003,0.075,-64
53998,16.488,0.09,-63
55570,13.421,0.09,-62
56122,13.992,0.21,-65
57142,15.324,0.12,-62
57667,16.863,0.105,-61
58715,15.492,0.105,-64
59241,14.359,0.105,-63
59767,15.449,0.12,-65
60813,14.972,0.135,-64
61858,13.449,0.09,-65
62913,14.144,0.06,-66
63435,15.011,0.255,-63
63962,15.242,0.09,-63
65007,16.996,0.15,-62
66060,15.675,0.09,-61
66606,16.55,0.09,-64
67630,16.656,0.09,-61
68153,15.468,0.045,-61
68680,18.445,0.135,-63
69728,14.472,0.105,-64
70778,20.351,0.24,-63
71298,15.851,0.135,-62
72348,15.39,0.075,-61
72872,17.046,0.135,-60
73918,14.546,0.15,-65
74450,20.187,0.045,-62
75491,16.207,0.105,-62
76544,13.464,0.075,-63
77065,13.828,0.105,-62
78119,14.105,0.06,-59
79162,15.238,0.12,-64
79689,13.742,0.045,-61
80735,13.128,0.09,-61
81259,12.292,0.045,-62
82312,15.781,0.15,-62
82832,15.167,0.15,-63
83384,15.492,0.045,-62
83880,13.316,0.075,-61
84930,13.597,0.075,-63
85981,17.156,0.105,-63
87027,14.5,0.165,-61
87557,20.164,0.21,-62
88598,21.035,0.075,-61
89651,23.25,0.195,-64
90703,14.171,0.12,-62
91744,12.371,0.135,-62
92269,14.355,0.045,-62
93320,13.089,0.165,-60
93847,12.449,0.045,-59
94890,13.14,0.03,-63
95942,13.332,0.06,-62
96461,15.238,0.24,-65
97513,12.445,0.135,-63
98559,15.203,0.285,-62
99090,13.308,0.045,-61
100133,13.976,0.075,-59
101186,15.695,0.21,-61
102228,15.195,0.18,-62
102780,15.078,0.285,-63
103280,16.64,0.135,-62
104328,19.281,0.12,-62
104865,16.707,0.12,-63
105381,19.136,0.3,-63
106438,19.718,0.225,-63
106952,13.718,0.105,-61
107474,13.468,0.105,-62
107998,13.417,0.135,-63
109052,12.945,0.075,-61
109570,20.367,0.105,-61
110095,17.722,0.21,-60
111151,14.867,0.12,-60
112196,15.332,0.165,-62
112745,16.14,0.21,-64
113241,12.101,0.09,-63
113764,18.179,0.105,-60
114316,14.785,0.24,-61
114842,12.027,0.03,-61
115365,12.304,0.075,-60
116388,11.941,0.06,-61
117435,13.05,0.06,-60
117965,12.089,0.06,-60
118512,14.644,0.015,-63
119530,18.8,0.195,-63
120057,12.988,0.09,-63
120608,13.238,0.12,-62
121104,12.8,0.045,-61
121654,11.906,0.06,-67
122678,17.089,0.27,-63
123202,22.546,0.165,-64
123737,16.859,0.105,-66
124778,13.734,0.075,-60
125298,13.128,0.06,-60
126349,13.562,0.075,-60
126871,12.539,0.075,-63
127926,12.5,0.075,-64
128452,12.199,0.06,-63
128997,12.035,0,-62
129499,12.902,0.105,-59
130048,12.941,0.075,-62
131068,17.808,0.105,-60
132117,13.378,0.135,-64
133175,18.671,0.285,-63
133719,17.152,0.21,-64
134216,12.824,0.105,-63
134766,13.894,0.15,-59
135265,12.941,0.015,-62
135815,12.496,0.045,-62
136313,14.066,0.045,-60
137361,12.339,0.075,-63
138408,12.058,0.12,-65
139458,14.23,0.015,-62
139987,13.328,0.06,-65
141029,15.417,0.255,-64
142083,16.562,0.135,-66
143129,14.296,0.33,-67
