Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
0,15.64,0.075,-60
538,15.449,0.075,-60
1077,15.765,0.03,-62
1572,15.164,0.03,-62
2098,15.23,0.09,-55
2652,15.25,0.015,-57
3150,15.39,0.075,-55
3671,14.652,0.15,-60
4717,15.757,0.03,-55
5766,15.523,0.075,-58
6300,16.183,0.105,-57
7339,15.507,0.105,-59
7864,16.136,0.075,-58
8402,14.906,0.225,-60
8916,15.542,0.105,-58
9447,14.437,0.06,-61
9991,16.351,0.045,-60
10505,14.628,0.135,-61
11008,19.332,0.075,-61
11539,16.921,0.285,-65
12058,16.421,0.075,-58
12591,17.39,0.12,-57
13105,15.906,0.09,-61
13634,18.152,0.195,-58
14187,21.406,0.15,-61
14684,18,0.09,-59
15203,15.687,0.075,-59
15729,15.496,0.075,-59
16282,15.074,0,-60
17321,15.054,0.015,-59
17855,15.117,0.045,-59
18359,15.484,0.075,-56
18874,15.453,0.075,-57
19396,14.906,0.09,-60
20453,14.914,0.06,-58
21001,14.691,0.06,-59
22033,14.972,0.075,-59
22573,14.757,0.18,-62
23068,14.937,0.105,-67
23592,16.656,0.105,-62
24120,15.195,0.075,-59
24670,14.503,0.165,-62
25199,15.886,0.195,-60
25720,14.621,0.09,-60
26223,-106.558,0.135,-60
26771,14.582,0.09,-64
27792,15.132,0.075,-60
28313,15.656,0.135,-63
28841,16.808,0.06,-63
29891,14.511,0.09,-64
30933,16.332,0.135,-63
31468,14.964,0.12,-66
31991,14.609,0.105,-61
32504,14.816,0.09,-62
33028,14.476,0.09,-63
33585,15.039,0.09,-61
34083,14.527,0.06,-61
34600,15.562,0.105,-61
35126,14.07,0.165,-63
35683,24.242,0.135,-65
36195,18.191,0.225,-64
36698,16.714,0.18,-63
37749,15.242,0.06,-61
38281,14.453,0.15,-63
38800,14.714,0.09,-59
39337,14.597,0.075,-59
40367,13.593,0.165,-63
40892,13.894,0.15,-59
41434,13.148,0.21,-63
41951,15.339,0.18,-61
42497,14.128,0.18,-64
42992,14.07,0.165,-64
43522,14.984,0.09,-65
44072,14.023,0.165,-64
45107,13.921,0.21,-65
45629,14.292,0.18,-63
46137,14.14,0.12,-61
46670,16.921,0.165,-63
47199,18.695,0.135,-62
47717,19.929,0.15,-62
48234,16.996,0.15,-66
48764,14.214,0.21,-67
49291,15.187,0.09,-65
49807,14.316,0.075,-62
50337,13.593,0.225,-66
50886,14.273,0.045,-62
51904,13.609,0.105,-64
52427,13.414,0.045,-61
53480,13.324,0.12,-65
54000,14.085,0.105,-61
54538,14.05,0.045,-61
55573,13.957,0.09,-63
56098,14.792,0.075,-65
57151,15.312,0.225,-63
57676,20.39,0.21,-67
58196,17.589,0.12,-64
58748,14.964,0.15,-64
59251,16.64,0.15,-65
59780,16.195,0.225,-64
60306,19.953,0.21,-65
60823,17.914,0.15,-67
61344,14.335,0.165,-65
61867,14.421,0.3,-67
62919,14.812,0.225,-65
63439,14.683,0.12,-62
63964,14.417,0.03,-61
64494,16.082,0.15,-61
65012,18.367,0.15,-61
65534,14.222,0.21,-62
66080,17,0.18,-61
66607,20.886,0.225,-64
67108,19.281,0.255,-60
67632,14.593,0.315,-63
68161,14.179,0.18,-64
68686,16.894,0.285,-62
69210,17.324,0.21,-61
69730,15.582,0.06,-60
70285,14.875,0.12,-63
70792,15.773,0.24,-66
71302,15.007,0.165,-61
71828,15.664,0.12,-61
72875,17.515,0.27,-64
73403,13.628,0.105,-62
73926,15.183,0.06,-60
74479,14.703,0,-65
75498,15.054,0.075,-62
76035,16.296,0.135,-64
76554,24.179,0.18,-68
77089,13.597,0.075,-64
77626,13.375,0.075,-61
78127,13.527,0.12,-61
78664,15.253,0.21,-64
79198,15.914,0.345,-62
79707,14.23,0.09,-60
80227,12.859,0.06,-60
80746,13.582,0.075,-60
81293,23.855,0.105,-63
82322,13.238,0.15,-62
82841,12.792,0.255,-63
83886,16.183,0.195,-64
84411,12.695,0.15,-62
85456,17.25,0.21,-62
86014,13.429,0.105,-61
86508,13.011,0.075,-61
87031,13.105,0.09,-60
87569,13.578,0.045,-60
88100,13.292,0.165,-63
88604,13.871,0.27,-66
89160,13.285,0.09,-61
89684,13.906,0.06,-63
90210,16.289,0.18,-61
91230,13.605,0.15,-62
91769,12.414,0.225,-61
92274,12.98,0.105,-60
92832,12.683,0.045,-60
93847,13.125,0.105,-59
94375,13.214,0.195,-62
94897,12.175,0.03,-61
95943,12.539,0.06,-60
96501,12.191,0.165,-62
97027,12.968,0.09,-65
98043,14.015,0.12,-63
98571,14.757,0.165,-63
99095,13.214,0.06,-61
99621,14.667,0.165,-63
100144,12.664,0.105,-66
100667,17.152,0.165,-65
101203,11.667,0.06,-67
101726,13.824,0.075,-61
102236,13.078,0.12,-64
102786,15.785,0.06,-61
103303,17.5,0.285,-61
103817,14.515,0.165,-67
104365,15.246,0.165,-64
105383,15.484,0.195,-63
105924,12.765,0.21,-62
106430,13.171,0.105,-59
106975,11.695,0.075,-62
107492,12.265,0.06,-59
108545,12.234,0.135,-59
109059,11.945,0.06,-62
109581,12.644,0.045,-59
110132,13.406,0.12,-58
111149,12.484,0.105,-60
112197,11.796,0.105,-60
112736,11.871,0.045,-60
113259,13.335,0.135,-60
113773,16.472,0.135,-62
114825,13.828,0.03,-62
115355,15.089,0.12,-63
115872,15.585,0.18,-62
116404,15.597,0.3,-65
116923,14.246,0.12,-60
117444,12.687,0.09,-63
117997,12.867,0.045,-61
118511,12.562,0.165,-62
119028,12.351,0.105,-60
119542,12.609,0.09,-62
120597,12.21,0.105,-60
121126,12.226,0.105,-62
121645,12.253,0.105,-63
122195,11.789,0.015,-64
122701,11.601,0.015,-65
123239,13.082,0.045,-61
124264,12.566,0.075,-64
124793,12.343,0.135,-63
125832,12.152,0.255,-66
126361,12.406,0.09,-65
126908,12.48,0.135,-65
127414,12.859,0.09,-63
127927,12.929,0.135,-65
128454,16.593,0.165,-63
128976,18.019,0.195,-66
129512,13.187,0.225,-61
130055,11.644,0,-65
130550,11.589,0.075,-63
131076,12.968,0.075,-60
131603,11.542,0.12,-61
132131,11.507,0.09,-62
132645,12.609,0.135,-61
133173,12.25,0.075,-62
133705,18.582,0.15,-59
134743,14.921,0.06,-61
135267,14.687,0.075,-61
136323,17.761,0.3,-62
136839,16.851,0.105,-64
137376,14.269,0.255,-64
137921,14.339,0.255,-65
138444,16.261,0.315,-64
138937,12.257,0.09,-65
139465,12.125,0.27,-67
139994,11.82,0.15,-66
140544,12.964,0.015,-62
141035,12.058,0.135,-64
141590,13.648,0.135,-62
142083,13.453,0.075,-63
142612,17,0.24,-64
143146,14.992,0.105,-63
143672,17.324,0.18,-62
144185,18.285,0.06,-59
144736,13.582,0.165,-63
145258,17.812,0.18,-61
145754,18.566,0.165,-60
146290,13.722,0.135,-64
146809,16.464,0.105,-61
147852,12,0.135,-65
148377,12.472,0.12,-62
148898,13.757,0.21,-63
149436,12.41,0.12,-65
149960,12.714,0.165,-63
150474,12.398,0.15,-66
151013,12.589,0.195,-61
151550,13.023,0.3,-63
153097,12.843,0.12,-65
