Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll,Points,
0,2787259640950,"[b0:e4:d5:39:26:89, 16539, 271, -75, 14:22:3b:16:5a:bd, 3035, 110, -48, cc:f4:11:8b:29:4d, 9499, 138, -55, b0:e4:d5:96:3b:95, 36980, 112, -68, b0:e4:d5:01:26:f5, 30384, 135, -82, 14:22:3b:2a:86:f5, 8152, 168, -66, f8:1a:2b:06:3c:0b, 20025, 123, -79]",2787255491001,-0.39182472,-1.3058829,10.016953,-0.11743539,0.024739314,0.105982,5.5875,-11.2375,30.7875,-2.3855755,0.12953821,0.039096225,0,
1,2787572212231,"[b0:e4:d5:39:26:89, 16715, 279, -75, 14:22:3b:16:5a:bd, 3269, 58, -48, cc:f4:11:8b:29:4d, 9675, 105, -54, b0:e4:d5:96:3b:95, 37136, 140, -72, b0:e4:d5:01:26:f5, 29982, 231, -82, 14:22:3b:2a:86:f5, 7918, 0, -59, f8:1a:2b:06:3c:0b, 19820, 228, -78]",2787570342074,0.25722843,-1.5002998,9.471989,-0.074676074,-0.11270132,0.14049487,5.5375,-11.7625,30.9375,-2.5343387,0.15703137,-0.027150078,0,
2,2787572212231,"[b0:e4:d5:39:26:89, 16715, 279, -75, 14:22:3b:16:5a:bd, 3269, 58, -48, cc:f4:11:8b:29:4d, 9675, 105, -54, b0:e4:d5:96:3b:95, 37136, 140, -72, b0:e4:d5:01:26:f5, 29982, 231, -82, 14:22:3b:2a:86:f5, 7918, 0, -59, f8:1a:2b:06:3c:0b, 19820, 228, -78]",2787570342074,0.61794645,-0.04426722,10.421341,0.057266932,0.1835596,0.04734066,5.35,-12.0375,30.7625,-2.8541503,0.004240273,-0.0592269,0,
3,2787889884606,"[b0:e4:d5:39:26:89, 17057, 364, -84, 14:22:3b:16:5a:bd, 3376, 154, -50, b0:e4:d5:91:ba:5d, 36160, 0, -81, cc:f4:11:8b:29:4d, 10027, 95, -55, b0:e4:d5:96:3b:95, 37175, 158, -67, b0:e4:d5:01:26:f5, 32234, 188, -84, 14:22:3b:2a:86:f5, 7879, 55, -61, f8:1a:2b:06:3c:0b, 20201, 218, -76]",2787887564137,0.014955142,-0.21415763,9.677173,0.023823043,-0.06490252,0.11804623,5.8,-12.25,30.725,-2.6800914,0.022126548,-0.0015454028,0,
4,2787889884606,"[b0:e4:d5:39:26:89, 17057, 364, -84, 14:22:3b:16:5a:bd, 3376, 154, -50, b0:e4:d5:91:ba:5d, 36160, 0, -81, cc:f4:11:8b:29:4d, 10027, 95, -55, b0:e4:d5:96:3b:95, 37175, 158, -67, b0:e4:d5:01:26:f5, 32234, 188, -84, 14:22:3b:2a:86:f5, 7879, 55, -61, f8:1a:2b:06:3c:0b, 20201, 218, -76]",2787887564137,-0.8063812,0.1591227,10.002597,-0.007482879,0.031764057,-0.02015796,5.6875,-11.875,30.75,-2.558919,-0.015855368,0.08044322,0,
5,2788229801151,"[b0:e4:d5:39:26:89, 17096, 86, -82, 14:22:3b:16:5a:bd, 3347, 193, -50, cc:f4:11:8b:29:4d, 9675, 87, -54, b0:e4:d5:96:3b:95, 37097, 342, -75, b0:e4:d5:01:26:f5, 27752, 68, -81, 14:22:3b:2a:86:f5, 8386, 43, -57, f8:1a:2b:06:3c:0b, 19635, 638, -76]",2788228125630,-1.2927225,0.631107,11.907284,0.016340164,0.07849387,-0.025655584,5.475,-10.9875,31.2875,-2.5300455,-0.052643456,0.108142145,0,
6,2788540285036,"[b0:e4:d5:39:26:89, 18463, 225, -80, 14:22:3b:16:5a:bd, 2908, 957, -46, cc:f4:11:8b:29:4d, 9558, 91, -54, b0:e4:d5:96:3b:95, 37533, 953, -73, b0:e4:d5:01:26:f5, 29011, 0, -83, 14:22:3b:2a:86:f5, 7566, 185, -61, f8:1a:2b:06:3c:0b, 20767, 159, -73]",2788538288473,-0.03708875,-1.0426725,9.735199,0.009009997,0.060321167,-0.03436016,5.5125003,-11.8875,30.9375,-2.558043,0.10669585,0.0038097396,0,
7,2788540285036,"[b0:e4:d5:39:26:89, 18463, 225, -80, 14:22:3b:16:5a:bd, 2908, 957, -46, cc:f4:11:8b:29:4d, 9558, 91, -54, b0:e4:d5:96:3b:95, 37533, 953, -73, b0:e4:d5:01:26:f5, 29011, 0, -83, 14:22:3b:2a:86:f5, 7566, 185, -61, f8:1a:2b:06:3c:0b, 20767, 159, -73]",2788538288473,-0.18065812,0.41934216,8.700901,0.036803547,-0.058488626,0.1524064,4.75,-11.7,31.1375,-2.7530441,-0.048147634,0.020760167,0,
8,2788832776054,"[14:22:3b:16:5a:bd, 2996, 95, -51, cc:f4:11:8b:29:4d, 9382, 138, -49, b0:e4:d5:96:3b:95, 37176, 240, -72, b0:e4:d5:01:26:f5, 26785, 0, -82, 14:22:3b:2a:86:f5, 7215, 117, -58, f8:1a:2b:06:3c:0b, 19586, 256, -77]",2788830141106,-0.48095736,-0.3792624,9.588638,-0.018630842,0.012216945,0.05650337,5.5,-12.025001,30.6,-2.5656762,0.03948312,0.050117087,0,
9,2789140203481,"[b0:e4:d5:39:26:89, 17740, 145, -77, 14:22:3b:16:5a:bd, 3494, 130, -50, cc:f4:11:8b:29:4d, 9519, 55, -54, b0:e4:d5:96:3b:95, 37058, 126, -77, b0:e4:d5:01:26:f5, 30719, 264, -79, 14:22:3b:2a:86:f5, 7761, 113, -57, f8:1a:2b:06:3c:0b, 20924, 110, -78]",2789137118741,-0.7615158,-0.98584294,9.616755,-0.037414394,0.17531316,-0.15332267,5.7625003,-11.212501,30.9375,-2.3487215,0.101839624,0.07902146,0,
10,2789140203481,"[b0:e4:d5:39:26:89, 17740, 145, -77, 14:22:3b:16:5a:bd, 3494, 130, -50, cc:f4:11:8b:29:4d, 9519, 55, -54, b0:e4:d5:96:3b:95, 37058, 126, -77, b0:e4:d5:01:26:f5, 30719, 264, -79, 14:22:3b:2a:86:f5, 7761, 113, -57, f8:1a:2b:06:3c:0b, 20924, 110, -78]",2789137118741,-0.9385847,-0.36191443,10.92503,-0.008704574,0.09651387,-0.016340164,5.625,-12.2625,30.575,-2.511207,0.032993536,0.085700974,0,
11,2789461039763,"[b0:e4:d5:39:26:89, 17096, 356, -79, 14:22:3b:16:5a:bd, 3171, 177, -46, b0:e4:d5:91:ba:5d, 43426, 0, -87, cc:f4:11:8b:29:4d, 9168, 114, -55, b0:e4:d5:96:3b:95, 36980, 85, -76, 14:22:3b:2a:86:f5, 7918, 99, -54, f8:1a:2b:06:3c:0b, 19244, 705, -73]",2789460288929,-0.93679005,-0.802792,9.25484,0.05971032,0.04688253,0.048256934,5.6625,-12.0,31.425001,-2.3847766,0.086088635,0.10087805,0,
12,2789777041044,"[b0:e4:d5:39:26:89, 18033, 202, -76, 14:22:3b:16:5a:bd, 3845, 56, -47, cc:f4:11:8b:29:4d, 10144, 1077, -56, b0:e4:d5:96:3b:95, 37215, 95, -72, b0:e4:d5:01:26:f5, 26500, 318, -82, 14:22:3b:2a:86:f5, 8005, 105, -56, f8:1a:2b:06:3c:0b, 22888, 1815, -75]",2789774050523,0.2961118,0.15672988,10.012766,-0.017867282,0.08842014,0.0151184695,5.1625,-12.1875,31.1,-2.818706,-0.01564489,-0.029564809,0,
13,2789777041044,"[b0:e4:d5:39:26:89, 18033, 202, -76, 14:22:3b:16:5a:bd, 3845, 56, -47, cc:f4:11:8b:29:4d, 10144, 1077, -56, b0:e4:d5:96:3b:95, 37215, 95, -72, b0:e4:d5:01:26:f5, 26500, 318, -82, 14:22:3b:2a:86:f5, 8005, 105, -56, f8:1a:2b:06:3c:0b, 22888, 1815, -75]",2789774050523,1.052842,0.573081,10.533804,-0.019088976,0.03451287,0.008857286,4.9375,-11.55,30.6375,-3.0012374,-0.05408149,-0.09961805,0,
14,2790079535554,"[b0:e4:d5:39:26:89, 18766, 248, -75, 14:22:3b:16:5a:bd, 3545, 338, -42, b0:e4:d5:91:ba:5d, 40847, 1555, -81, cc:f4:11:8b:29:4d, 7996, 68, -55, b0:e4:d5:96:3b:95, 36892, 177, -76, b0:e4:d5:01:26:f5, 29196, 283, -84, 14:22:3b:2a:86:f5, 7830, 97, -62, f8:1a:2b:06:3c:0b, 21197, 202, -79]",2790076871907,-0.45224348,-0.18185452,11.012966,0.0018325418,-0.04963134,0.09941539,4.2000003,-12.2625,30.975,-2.7061832,0.016497364,0.04104158,0,
