Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll,Points,
0,3741265353122,"[b0:e4:d5:39:26:89, 19000, 50, -76, 14:22:3b:16:5a:bd, 3699, 99, -48, cc:f4:11:8b:29:4d, 9675, 82, -55, b0:e4:d5:96:3b:95, 38230, 485, -74, b0:e4:d5:01:26:f5, 22586, 0, -77, 14:22:3b:2a:86:f5, 8191, 117, -58, f8:1a:2b:06:3c:0b, 20113, 97, -68]",3741262757861,-0.061016977,0.61854464,9.565309,-0.04566083,-0.14415996,0.11911522,4.3125,-11.3625,31.175001,-2.8156877,-0.0645742,0.0063789003,0,
1,3741265353122,"[b0:e4:d5:39:26:89, 19000, 50, -76, 14:22:3b:16:5a:bd, 3699, 99, -48, cc:f4:11:8b:29:4d, 9675, 82, -55, b0:e4:d5:96:3b:95, 38230, 485, -74, b0:e4:d5:01:26:f5, 22586, 0, -77, 14:22:3b:2a:86:f5, 8191, 117, -58, f8:1a:2b:06:3c:0b, 20113, 97, -68]",3741262757861,-0.0634098,0.49292147,10.243673,0.009620844,-0.10949437,6.1084726E-4,5.2000003,-11.925,31.275,-2.7592645,-0.048081595,0.0061900634,0,
2,3741573937528,"[b0:e4:d5:39:26:89, 17418, 132, -71, 14:22:3b:16:5a:bd, 3699, 97, -52, cc:f4:11:8b:29:4d, 9353, 100, -56, b0:e4:d5:96:3b:95, 37293, 158, -82, b0:e4:d5:01:26:f5, 26882, 149, -81, 14:22:3b:2a:86:f5, 7722, 61, -59, f8:1a:2b:06:3c:0b, 21002, 392, -72]",3741571829507,-0.2213361,0.20219351,10.409975,0.008857286,0.02275406,0.04734066,5.0125003,-12.1875,31.4375,-2.7237794,-0.019416224,0.021258721,0,
3,3741883346881,"[b0:e4:d5:39:26:89, 17418, 127, -70, 14:22:3b:16:5a:bd, 3308, 55, -55, cc:f4:11:8b:29:4d, 9734, 133, -51, b0:e4:d5:96:3b:95, 38152, 342, -71, b0:e4:d5:01:26:f5, 29304, 88, -80, 14:22:3b:2a:86:f5, 7761, 61, -59, f8:1a:2b:06:3c:0b, 22369, 234, -79]",3741880208496,0.19980069,0.18305093,9.797412,0.052991,-0.17454961,0.07437065,5.3625,-11.9125,31.4375,-2.7805023,-0.018677546,-0.020390386,0,
4,3741883346881,"[b0:e4:d5:39:26:89, 17418, 127, -70, 14:22:3b:16:5a:bd, 3308, 55, -55, cc:f4:11:8b:29:4d, 9734, 133, -51, b0:e4:d5:96:3b:95, 38152, 342, -71, b0:e4:d5:01:26:f5, 29304, 88, -80, 14:22:3b:2a:86:f5, 7761, 61, -59, f8:1a:2b:06:3c:0b, 22369, 234, -79]",3741880208496,-0.30089745,-0.36670008,9.086744,-0.014354911,0.031000499,0.027335415,5.5,-12.025001,31.0875,-2.596842,0.040311538,0.033101793,0,
5,3742199435246,"[b0:e4:d5:39:26:89, 17477, 341, -72, 14:22:3b:16:5a:bd, 3415, 486, -54, cc:f4:11:8b:29:4d, 9324, 143, -51, b0:e4:d5:96:3b:95, 41500, 1942, -75, b0:e4:d5:01:26:f5, 29547, 266, -84, 14:22:3b:2a:86:f5, 8064, 178, -56, f8:1a:2b:06:3c:0b, 23346, 110, -78]",3742196398267,-0.04127619,0.13399807,9.726824,0.008857286,0.07986828,-0.10384403,4.7875,-11.4375,30.975,-2.7485218,-0.013775142,0.0042435173,0,
6,3742506677933,"[b0:e4:d5:39:26:89, 17975, 101, -72, 14:22:3b:16:5a:bd, 3181, 55, -53, cc:f4:11:8b:29:4d, 8826, 103, -50, b0:e4:d5:96:3b:95, 36629, 128, -76, b0:e4:d5:01:26:f5, 27002, 183, -80, 14:22:3b:2a:86:f5, 7644, 110, -55, f8:1a:2b:06:3c:0b, 21939, 153, -78]",3742503861839,0.4229314,0.23808585,9.018549,-0.022906773,-0.065055236,0.016034741,4.5625,-11.9875,30.800001,-2.902897,-0.026364483,-0.04686139,0,
7,3742506677933,"[b0:e4:d5:39:26:89, 17975, 101, -72, 14:22:3b:16:5a:bd, 3181, 55, -53, cc:f4:11:8b:29:4d, 8826, 103, -50, b0:e4:d5:96:3b:95, 36629, 128, -76, b0:e4:d5:01:26:f5, 27002, 183, -80, 14:22:3b:2a:86:f5, 7644, 110, -55, f8:1a:2b:06:3c:0b, 21939, 153, -78]",3742503861839,-0.035294134,-0.6652047,7.949555,0.024281178,-0.14935215,0.083686076,5.6875,-11.875,31.0875,-2.5792472,0.08348293,0.004439733,0,
8,3742811512234,"[b0:e4:d5:39:26:89, 17301, 233, -79, 14:22:3b:16:5a:bd, 4050, 84, -54, cc:f4:11:8b:29:4d, 9177, 100, -54, b0:e4:d5:96:3b:95, 37058, 216, -74, b0:e4:d5:01:26:f5, 27773, 241, -82, 14:22:3b:2a:86:f5, 7761, 55, -54, f8:1a:2b:06:3c:0b, 19059, 156, -82]",3742808897546,-0.0634098,-0.05682954,11.973684,0.08765658,0.16783029,-0.06429167,5.0625,-11.8,30.95,-2.719993,0.0047461013,0.0052957134,0,
9,3743115770129,"[b0:e4:d5:39:26:89, 19732, 772, -74, 14:22:3b:16:5a:bd, 3894, 61, -47, cc:f4:11:8b:29:4d, 9519, 70, -53, b0:e4:d5:96:3b:95, 37293, 158, -73, b0:e4:d5:01:26:f5, 28972, 1410, -81, 14:22:3b:2a:86:f5, 7918, 147, -61, f8:1a:2b:06:3c:0b, 21666, 289, -76]",3743113810858,-0.33499518,-0.4761717,10.188639,-0.027488127,-0.12476555,-0.08551861,4.375,-12.2625,30.800001,-2.6797943,0.046676386,0.032867447,0,
