Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll,Points,
0,727412719549,"[b0:e4:d5:39:26:89, 20059, 152, -79, 14:22:3b:16:5a:bd, 3039, 130, -55, cc:f4:11:8b:29:4d, 9905, 70, -56, b0:e4:d5:96:3b:95, 36995, 136, -76, b0:e4:d5:01:26:f5, 34202, 2008, -78, 14:22:3b:2a:86:f5, 7795, 199, -63, f8:1a:2b:06:3c:0b, 20157, 300, -81]",727411831216,0.081954174,-0.11365908,9.803992,0.023212196,0.010384403,0.0021379655,5.25,-11.5375,32.1125,-2.721902,0.011592218,-0.008359071,0,
1,727697346505,"[b0:e4:d5:39:26:89, 17013, 310, -76, 14:22:3b:16:5a:bd, 2981, 98, -52, cc:f4:11:8b:29:4d, 9592, 114, -55, b0:e4:d5:96:3b:95, 37786, 73, -73, b0:e4:d5:01:26:f5, 29721, 1555, -76, 14:22:3b:2a:86:f5, 8401, 58, -66, f8:1a:2b:06:3c:0b, 20362, 173, -79]",727695277181,-0.071186475,-0.038285162,9.79143,-0.010231691,-3.0542363E-4,-9.162709E-4,4.65,-11.325,31.5,-2.7308273,0.003909945,0.0072701555,0,
2,727697346505,"[b0:e4:d5:39:26:89, 17013, 310, -76, 14:22:3b:16:5a:bd, 2981, 98, -52, cc:f4:11:8b:29:4d, 9592, 114, -55, b0:e4:d5:96:3b:95, 37786, 73, -73, b0:e4:d5:01:26:f5, 29721, 1555, -76, 14:22:3b:2a:86:f5, 8401, 58, -66, f8:1a:2b:06:3c:0b, 20362, 173, -79]",727695277181,-0.63529444,-0.5988039,7.9447694,0.07605048,0.028251685,0.41415444,4.9500003,-11.425,31.3125,-2.4560084,0.07499012,0.07979408,0,
3,728130892589,"[b0:e4:d5:39:26:89, 16856, 157, -80, 14:22:3b:16:5a:bd, 2417, 1008, -52, cc:f4:11:8b:29:4d, 9709, 55, -54, b0:e4:d5:96:3b:95, 38186, 451, -80, b0:e4:d5:01:26:f5, 38108, 0, -80, 14:22:3b:2a:86:f5, 9006, 114, -63, f8:1a:2b:06:3c:0b, 21427, 153, -75]",728129070193,0.14356937,-0.13220344,9.805189,0.006872032,0.054059982,-0.060321167,5.2875,-11.1375,30.975,-2.7179344,0.013480745,-0.014641136,0,
4,728454307674,"[b0:e4:d5:39:26:89, 17198, 1106, -78, 14:22:3b:16:5a:bd, 3362, 316, -47, cc:f4:11:8b:29:4d, 9250, 132, -57, b0:e4:d5:96:3b:95, 37434, 169, -75, 14:22:3b:2a:86:f5, 8811, 95, -68, f8:1a:2b:06:3c:0b, 20997, 204, -76]",728451828559,-1.308874,0.02871387,7.3657064,0.15210097,-0.20371756,-0.07910472,5.05,-11.925,31.125,-2.4282737,-0.003838172,0.17586266,0,
5,728454307674,"[b0:e4:d5:39:26:89, 17198, 1106, -78, 14:22:3b:16:5a:bd, 3362, 316, -47, cc:f4:11:8b:29:4d, 9250, 132, -57, b0:e4:d5:96:3b:95, 37434, 169, -75, 14:22:3b:2a:86:f5, 8811, 95, -68, f8:1a:2b:06:3c:0b, 20997, 204, -76]",728451828559,-1.1276177,2.751746,10.742578,0.044439137,-0.06429167,0.06322269,4.65,-11.325,31.987501,-2.7391384,-0.24944764,0.104584165,0,
6,728759467235,"[b0:e4:d5:39:26:89, 16436, 386, -78, 14:22:3b:16:5a:bd, 3684, 291, -45, cc:f4:11:8b:29:4d, 9661, 152, -55, b0:e4:d5:96:3b:95, 37077, 246, -77, b0:e4:d5:01:26:f5, 32382, 419, -80, 14:22:3b:2a:86:f5, 8889, 55, -62, f8:1a:2b:06:3c:0b, 21212, 81, -74]",728756983173,-1.1754742,1.2071791,9.62812,0.11911522,-0.5245651,-0.27197975,4.65,-11.325,31.5,-2.6302881,-0.12381977,0.12148639,0,
7,729082405132,"[b0:e4:d5:39:26:89, 16788, 337, -82, 14:22:3b:16:5a:bd, 3538, 95, -45, cc:f4:11:8b:29:4d, 9827, 63, -54, b0:e4:d5:96:3b:95, 36780, 236, -78, 14:22:3b:2a:86:f5, 7551, 134, -62, f8:1a:2b:06:3c:0b, 22286, 146, -79]",729078884715,-0.8769695,-0.4971089,8.621938,-0.082006246,0.02260135,-0.08765658,4.75,-11.837501,31.4625,-2.4749787,0.057297546,0.101365134,0,
8,729082405132,"[b0:e4:d5:39:26:89, 16788, 337, -82, 14:22:3b:16:5a:bd, 3538, 95, -45, cc:f4:11:8b:29:4d, 9827, 63, -54, b0:e4:d5:96:3b:95, 36780, 236, -78, 14:22:3b:2a:86:f5, 7551, 134, -62, f8:1a:2b:06:3c:0b, 22286, 146, -79]",729078884715,0.35174492,-1.535594,10.167702,-0.03451287,0.034054734,-0.031764057,4.9,-11.8125,31.4625,-2.6409404,0.14980559,-0.034580547,0,
9,729365139535,"[b0:e4:d5:39:26:89, 15440, 1403, -81, 14:22:3b:16:5a:bd, 2776, 212, -50, cc:f4:11:8b:29:4d, 9553, 55, -52, b0:e4:d5:96:3b:95, 37083, 393, -71, b0:e4:d5:01:26:f5, 27142, 222, -82, 14:22:3b:2a:86:f5, 8108, 95, -61, f8:1a:2b:06:3c:0b, 18653, 1899, -79]",729360810316,-0.02213361,0.613759,10.712069,-0.11957335,0.11942064,0.008399149,4.2375,-12.025001,31.65,-2.8396564,-0.05723333,0.002066228,0,
