Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll,Points,
0,4713551542532,"[b0:e4:d5:39:26:89, 17682, 158, -78, 14:22:3b:16:5a:bd, 3347, 166, -49, cc:f4:11:8b:29:4d, 9880, 108, -54, b0:e4:d5:96:3b:95, 37355, 193, -76, b0:e4:d5:01:26:f5, 34352, 3061, -80, 14:22:3b:2a:86:f5, 8660, 55, -58, f8:1a:2b:06:3c:0b, 23541, 599, -79]",4713549791386,0.76689965,-1.2257234,11.516057,0.14797775,-0.12110047,0.033596598,5.625,-10.975,31.2875,-2.7052307,0.10580422,-0.06649576,0,
1,4713863069490,"[b0:e4:d5:39:26:89, 20221, 127, -78, 14:22:3b:16:5a:bd, 3035, 57, -44, cc:f4:11:8b:29:4d, 9529, 68, -55, b0:e4:d5:96:3b:95, 37722, 2108, -73, b0:e4:d5:01:26:f5, 31975, 510, -80, 14:22:3b:2a:86:f5, 8064, 152, -62, f8:1a:2b:06:3c:0b, 20582, 235, -82]",4713860401260,-0.43489552,-0.6358926,9.7399845,0.110868774,0.01267508,0.10766183,4.9500003,-11.425,30.6375,-2.5514183,0.06512959,0.044620898,0,
2,4713863069490,"[b0:e4:d5:39:26:89, 20221, 127, -78, 14:22:3b:16:5a:bd, 3035, 57, -44, cc:f4:11:8b:29:4d, 9529, 68, -55, b0:e4:d5:96:3b:95, 37722, 2108, -73, b0:e4:d5:01:26:f5, 31975, 510, -80, 14:22:3b:2a:86:f5, 8064, 152, -62, f8:1a:2b:06:3c:0b, 20582, 235, -82]",4713860401260,-0.36490545,0.0035892338,9.793225,0.017561859,-0.048256934,0.119267926,5.025,-12.0625,31.275,-2.6681144,-3.6624752E-4,0.037243776,0,
3,4714173144469,"[b0:e4:d5:39:26:89, 19440, 1553, -84, 14:22:3b:16:5a:bd, 3582, 95, -47, cc:f4:11:8b:29:4d, 9822, 57, -53, b0:e4:d5:96:3b:95, 36947, 162, -78, b0:e4:d5:01:26:f5, 29422, 187, -82, 14:22:3b:2a:86:f5, 8269, 40, -55, f8:1a:2b:06:3c:0b, 21197, 3164, -75]",4714169640041,0.20458634,-1.4249259,9.452248,-0.07941014,0.024128467,0.05787778,5.2375,-11.6625,31.2875,-2.5545857,0.1495888,-0.021640822,0,
4,4714514495909,"[b0:e4:d5:39:26:89, 21582, 363, -85, 14:22:3b:16:5a:bd, 3523, 133, -52, b0:e4:d5:91:ba:5d, 41082, 0, -82, cc:f4:11:8b:29:4d, 9705, 135, -49, b0:e4:d5:96:3b:95, 37683, 711, -80, b0:e4:d5:01:26:f5, 27761, 122, -85, 14:22:3b:2a:86:f5, 8035, 193, -57, f8:1a:2b:06:3c:0b, 20611, 0, -83]",4714510454346,-0.41874397,0.4127619,8.725428,-0.06902574,0.1007898,-0.04535541,5.5,-12.025001,30.9125,-2.6633542,-0.047216132,0.047954433,0,
5,4714514495909,"[b0:e4:d5:39:26:89, 21582, 363, -85, 14:22:3b:16:5a:bd, 3523, 133, -52, b0:e4:d5:91:ba:5d, 41082, 0, -82, cc:f4:11:8b:29:4d, 9705, 135, -49, b0:e4:d5:96:3b:95, 37683, 711, -80, b0:e4:d5:01:26:f5, 27761, 122, -85, 14:22:3b:2a:86:f5, 8035, 193, -57, f8:1a:2b:06:3c:0b, 20611, 0, -83]",4714510454346,0.15314065,-0.8769695,10.429716,0.02535016,-0.04688253,0.026724568,5.2125,-11.8,31.275,-2.661726,0.083877414,-0.014682053,0,
6,4714823230679,"[b0:e4:d5:39:26:89, 20277, 151, -78, 14:22:3b:16:5a:bd, 3386, 58, -51, b0:e4:d5:91:ba:5d, 45997, 1206, -86, cc:f4:11:8b:29:4d, 9880, 108, -47, b0:e4:d5:96:3b:95, 38621, 139, -77, b0:e4:d5:01:26:f5, 30234, 117, -81, 14:22:3b:2a:86:f5, 7918, 89, -57, f8:1a:2b:06:3c:0b, 20494, 95, -73]",4714820587033,0.6652047,-0.61914283,9.859626,0.017714571,-0.04123219,-0.1137703,4.9875,-12.325,31.1,-2.8696945,0.06257155,-0.06736545,0,
7,4715153349983,"[b0:e4:d5:39:26:89, 17899, 183, -74, 14:22:3b:16:5a:bd, 3230, 220, -55, cc:f4:11:8b:29:4d, 9558, 148, -54, b0:e4:d5:96:3b:95, 37156, 114, -73, b0:e4:d5:01:26:f5, 27270, 192, -81, 14:22:3b:2a:86:f5, 7644, 67, -58, f8:1a:2b:06:3c:0b, 21695, 97, -77]",4715149720139,0.36670008,-0.40977088,9.232706,0.017714571,0.06704049,0.039094225,5.275,-12.7,31.4,-2.7991035,0.044318527,-0.039696645,0,
8,4715153349983,"[b0:e4:d5:39:26:89, 17899, 183, -74, 14:22:3b:16:5a:bd, 3230, 220, -55, cc:f4:11:8b:29:4d, 9558, 148, -54, b0:e4:d5:96:3b:95, 37156, 114, -73, b0:e4:d5:01:26:f5, 27270, 192, -81, 14:22:3b:2a:86:f5, 7644, 67, -58, f8:1a:2b:06:3c:0b, 21695, 97, -77]",4715149720139,0.1794617,-0.43070808,10.121041,-0.019852536,0.14583978,-0.09315421,5.125,-12.587501,31.25,-2.7555351,0.042523373,-0.017729687,0,
9,4715478674442,"[b0:e4:d5:39:26:89, 17291, 110, -83, 14:22:3b:16:5a:bd, 3699, 0, -49, cc:f4:11:8b:29:4d, 9050, 146, -58, b0:e4:d5:96:3b:95, 36892, 212, -72, 14:22:3b:2a:86:f5, 7127, 50, -55, f8:1a:2b:06:3c:0b, 22691, 77, -76]",4715476119755,0.3397808,-0.44685963,9.433105,-0.03970507,-0.035429142,-0.0219905,4.875,-11.95,30.300001,-2.7958329,0.047305405,-0.036004473,0,
