Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
0,0.169,1.131,-53
1049,0.12,0.961,-52
3151,0.019,0.691,-55
4195,0.521,1.242,-61
5244,3.039,0.699,-72
6295,3.355,0.708,-81
7340,4.156,1.491,-80
8392,6.399,0.507,-81
9567,7.034,0.715,-79
10484,7.896,0.614,-76
11531,10.798,1.443,-88
12582,13.348,0.992,-84
13637,11.963,0.952,-85
15862,14.449,0.733,-87
16779,18.574,1.13,-88
19399,18.705,0.591,-84
20448,21.502,1.547,-88
21501,24.743,1.68,-90
22552,25.524,0.5,-88
24643,25.986,1.127,-88
25690,27.776,0.67,-83
26737,28.611,0.131,-87
28836,28.239,0.77,-84
30934,27.146,0.51,-85
32507,27.471,0.765,-84
33554,27.102,0.438,-89
34610,26.808,0.537,-86
35781,27.819,0.842,-87
36701,27.167,0.352,-86
37748,26.838,0.781,-89
38796,26.011,0,-87
39851,27.964,0.878,-86
42995,28.636,0.652,-95
44040,27.455,0.717,-88
45618,27.196,0.651,-96
46663,27.424,0.411,-92
47720,25.914,1.305,-91
48770,25.927,0.811,-90
50854,29.311,0,-89
52427,26.35,1.208,-88
55577,25.29,0.893,-94
56622,26.382,1.147,-92
57669,31.138,1.271,-89
58725,26.035,0.93,-93
59776,24.727,0.163,-92
60825,22.758,0.196,-87
61866,23.641,1.516,-91
63964,24.598,1.21,-90
65012,24.874,1.415,-92
66064,24.139,0.82,-92
68682,23.568,0.459,-89
69727,22.278,0.558,-91
70780,22.575,0.534,-87
71830,23.126,0.977,-87
72876,22.839,0.181,-86
73932,22.639,0.469,-86
74981,22.543,0.471,-86
77077,22.236,0.927,-81
78119,22.002,0.631,-87
79297,21.729,1.283,-88
80225,22.193,1.082,-84
81266,21.352,0.074,-88
82312,21.472,0.824,-89
83486,22.48,1.186,-95
84074,21.641,0.676,-87
85066,22.864,0.909,-91
87037,23.149,0.734,-92
88079,21.864,0.985,-88
89126,22.233,0.349,-87
90181,21.695,0.558,-85
91359,21.486,0.938,-90
92274,22.549,0.687,-86
94375,21.013,1.136,-84
96469,19.256,1.178,-85
98570,18.318,0.747,-88
99619,19.746,0.774,-87
100795,23.693,2.747,-89
101713,21.633,1.316,-91
103814,19.205,0.318,-85
104860,20.48,0,-90
105906,19.524,0.239,-82
106964,18.927,0.375,-90
108007,18.671,1.729,-84
109052,21.033,0.806,-86
110101,19.746,0.402,-90
111149,19.981,0.77,-89
112198,20.131,0.333,-85
114295,18.855,0.742,-88
115344,19.583,0.397,-94
116391,17.731,0.411,-90
117439,19.006,1.004,-89
118482,19.453,0.088,-83
120059,19.163,1.471,-83
122154,17.222,1.116,-86
123208,16.669,1.296,-89
124257,16.768,0.547,-88
126366,20.305,0.69,-82
127401,18.033,0.989,-79
129628,15.983,0.58,-81
130679,16.421,0.88,-84
131597,16.92,0.926,-81
134752,17.352,0.231,-82
135784,18.043,0,-86
137892,13.443,0.39,-82
138942,15.361,1.654,-80
140116,12.174,0,-83
142084,14.49,0.047,-89
143141,15.961,0.266,-85
144177,14.271,0.246,-84
145232,14.649,1.557,-87
147335,13.852,0.169,-84
148374,13.531,0.641,-82
149555,14.093,0.407,-86
150471,13.727,1.504,-80
151530,13.06,0.953,-85
152574,16.29,1.046,-90
153617,16.198,1.169,-88
154797,13.955,0.585,-87
155725,13.905,0.147,-82
156777,12.989,0.614,-78
157811,13.753,1.441,-83
159911,12.713,0.553,-84
160964,13.978,1.356,-81
162004,12.833,0.329,-84
164103,12.575,0.932,-81
165151,12.122,0.363,-84
167248,13.905,0.86,-84
168296,11.571,0.484,-87
169348,11.774,1.468,-80
170392,13.571,0,-82
171448,12.746,2.022,-83
173541,11.693,0.141,-89
174591,12.479,0.321,-83
175645,12.015,0.565,-85
177742,11.461,0.463,-88
178786,10.829,0.554,-89
179829,10.711,0.787,-87
185075,9.924,0.22,-80
186122,9.849,0.654,-80
187172,10.205,0.987,-84
188229,10.349,0.411,-81
190322,8.621,0.109,-82
191368,8.886,1.866,-80
192424,8.18,1.3,-77
194510,8.286,0.271,-77
195560,8.171,0.394,-72
196610,8.239,0.173,-73
198706,7.451,1.133,-75
199757,7.763,0.409,-73
200805,6.789,0.458,-77
201853,7.786,0.429,-72
202902,7.69,0.756,-69
203948,7.308,0.972,-71
205003,7.146,0.252,-75
206058,7.456,0.426,-71
208272,6.921,0.713,-77
209190,7.828,1.062,-75
212338,7.218,0.642,-85
213385,7.418,0.47,-69
214446,6.778,0.472,-72
215484,6.671,0.276,-73
216535,8.19,0.819,-75
218630,5.814,0.69,-73
219681,6.693,0.395,-73
220727,6.324,1.381,-78
221785,6.468,0.529,-76
222825,6.059,0.369,-73
223885,6.94,0.428,-77
224929,7.874,0.51,-76
225968,6.539,0.891,-71
228060,5.907,1.101,-70
229119,7.137,0.741,-76
230168,6.433,1.007,-74
231212,7.796,0.82,-77
234365,6.434,0.47,-70
