Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
0,24.578,0.105,-59
522,24.39,0.06,-58
1056,23.957,0.075,-61
1569,24.785,0.09,-60
2093,24.996,0.06,-58
2610,26.078,0.135,-63
3138,29.335,0.195,-64
3665,24.238,0.03,-61
4191,24.316,0.09,-62
4713,24.582,0.165,-60
5235,27.304,0.21,-61
5768,24.351,0.255,-64
6292,24.339,0.09,-59
6807,24.691,0.12,-57
7356,24.929,0,-57
7858,24.656,0.15,-57
8389,24.593,0.105,-59
8915,24.878,0.135,-65
9432,25.214,0.15,-62
9955,25.121,0.045,-58
10475,24.585,0.06,-58
11002,23.117,0.135,-65
11544,24.089,0.105,-63
12057,24.695,0.165,-63
12574,26.046,0.045,-61
13124,22.82,0.105,-63
13625,24.941,0.06,-55
14153,24.125,0.075,-57
14673,23.679,0.105,-59
15205,23.914,0.075,-62
15725,23.691,0.075,-57
16245,23.07,0.12,-60
16769,23.679,0.06,-64
17304,22.816,0.09,-62
17843,23.054,0.075,-58
18349,22.156,0.105,-63
18865,23.183,0.105,-58
19393,23.128,0.15,-58
19914,23.3,0.135,-65
20441,23.843,0.075,-58
20962,22.835,0.015,-61
21508,22.55,0.06,-59
22013,22.324,0.075,-60
22538,23.449,0.105,-58
23072,23.64,0.06,-59
24120,22.261,0.105,-66
24639,21.988,0.075,-61
25160,22.031,0.09,-60
25680,26.117,0.045,-60
26207,22.054,0.09,-62
26742,22.062,0.105,-65
27259,22.753,0.135,-61
27804,22.652,0.12,-61
28327,22.828,0.06,-62
28838,22.25,0.105,-62
29363,25.027,0.285,-65
29902,25.519,0.195,-65
30425,24.148,0,-65
30934,22.339,0.075,-61
31453,22.863,0.09,-57
31986,21.992,0.09,-61
32517,21.546,0.06,-60
33024,22.179,0.075,-61
33570,21.429,0.105,-58
34081,21.777,0.075,-56
34609,21.316,0.105,-60
35145,20.605,0.06,-61
35667,21.285,0.075,-59
36193,21.199,0.015,-62
36692,20.773,0.09,-63
37214,21.414,0.06,-58
37744,20.273,0.075,-63
38262,20.929,0.135,-63
38788,21.652,0.15,-62
39317,20.058,0.165,-62
39847,20.32,0.12,-63
40381,20.589,0.285,-59
40900,19.441,0.195,-60
41412,19.613,0.06,-61
41938,19.828,0.105,-59
42461,20.937,0.045,-58
42982,20.972,0.045,-58
43517,20.468,0.075,-59
44036,20.402,0.06,-62
44567,21.113,0.075,-59
45087,21.96,0.105,-61
45607,21.14,0.075,-60
46137,20.289,0.06,-59
46665,20.902,0.075,-58
47202,20.359,0.09,-58
47728,20.253,0,-58
48229,19.601,0.075,-59
48760,20.171,0.06,-57
49278,20.093,0.09,-59
49801,19.554,0.075,-57
50325,19.039,0.06,-57
50850,18.64,0.075,-63
51374,20.367,0.09,-57
51910,21.824,0.135,-61
52439,20.339,0.03,-61
52946,20.722,0.105,-60
53469,19.039,0.225,-60
54002,19.097,0.075,-60
54544,18.296,0.21,-59
55042,18.476,0.225,-59
55566,18.5,0.075,-59
56095,18.472,0.075,-57
56615,18.558,0.06,-54
57143,18.57,0.06,-52
57672,18.792,0.105,-51
58196,18.437,0.06,-51
58715,18.5,0.015,-51
59263,18.652,0.03,-50
59765,18.492,0.15,-52
60297,18.144,0.06,-53
60811,17.98,0.075,-54
61334,18.562,0.075,-53
61860,18.632,0.015,-55
62385,17.593,0.075,-58
62918,17.925,0.165,-61
63445,19.765,0.165,-61
63982,22.667,0.3,-63
64481,18.097,0.075,-61
65008,17.867,0.015,-56
65532,17.882,0.045,-57
66078,17.675,0.03,-56
66576,17.332,0.06,-59
67109,16.75,0.195,-62
67628,17.628,0.195,-57
68152,17.429,0.075,-60
68676,16.636,0.135,-64
69206,22.628,0.09,-60
69736,18.566,0.12,-58
70253,17.433,0.075,-61
70773,18.636,0.09,-59
71298,18.203,0.12,-59
71839,18.062,0.06,-55
72371,17.953,0.03,-56
72872,16.96,0.06,-58
73404,17.035,0.075,-60
73945,16.781,0.105,-59
74445,17.492,0.09,-54
74975,16.964,0.06,-58
75507,16.578,0.15,-59
76022,15.199,0.015,-61
76539,16.628,0.075,-58
77073,15.96,0.06,-59
77587,15.886,0.075,-59
78112,15.636,0.12,-60
78637,15.781,0.09,-58
79170,16.066,0.09,-60
79695,17.156,0.105,-57
80213,16.496,0.12,-57
80741,17.085,0.075,-55
81271,16.148,0.06,-54
81786,16.863,0.06,-54
82312,17.105,0.09,-57
82835,16.945,0.21,-56
83355,16.328,0.075,-57
83879,16.406,0.105,-56
84405,16.582,0.135,-55
84934,15.832,0.105,-62
85466,15.82,0.075,-61
