real_dis,RTT,RTT std,RSS,AP_idx,class_idx,AP_x,AP_y,circle,user,true_x,true_y
9.629230657,12.04200717,0.337,-77,1,23,30.84,6.75,5,1,22.27483316,11.15
6.063312253,7.432866271,0,-70,2,23,16.495,16.15,5,1,22.27483316,11.15
13.26440076,12.7716037,0.141,-61,5,23,15.09,0,5,1,22.27483316,11.15
24.90965058,34.83455388,5.418,-73,6,23,0,0,5,1,22.27483316,11.15
9.657712215,11.77795174,0.331,-79,1,24,30.84,6.75,5,1,22.24282574,11.15
13.24709085,12.94773142,0.143,-61,5,24,15.09,0,5,1,22.24282574,11.15
24.88103288,25.43228006,0.175,-75,6,24,0,0,5,1,22.24282574,11.15
9.700475776,12.40308103,0.146,-75,1,25,30.84,6.75,5,1,22.19481462,11.15
6.018409921,9.428275611,2.109,-65,2,25,16.495,16.15,5,1,22.19481462,11.15
13.22122879,11.83786315,2.193,-64,5,25,15.09,0,5,1,22.19481462,11.15
9.729012017,12.56911427,0.158,-72,1,26,30.84,6.75,5,1,22.1628072,11.15
6.000653684,10.83592677,0,-65,2,26,16.495,16.15,5,1,22.1628072,11.15
13.20405626,13.09383477,0.102,-67,5,26,15.09,0,5,1,22.1628072,11.15
24.80952485,26.42845794,0.822,-77,6,26,0,0,5,1,22.1628072,11.15
9.743288226,12.79415861,0.154,-72,1,27,30.84,6.75,5,1,22.1468035,11.15
13.19549073,12.21417521,0.155,-70,5,27,15.09,0,5,1,22.1468035,11.15
24.79522948,24.67013427,0,-69,6,27,0,0,5,1,22.1468035,11.15
9.886341327,12.45209089,0.769,-78,1,28,30.84,6.75,5,1,21.98676642,11.15
13.11060209,13.41605475,0.354,-65,5,28,15.09,0,5,1,21.98676642,11.15
24.65239132,25.45228377,0.146,-70,6,28,0,0,5,1,21.98676642,11.15
9.915014249,12.15903135,0.078,-79,1,29,30.84,6.75,5,1,21.954759,11.15
5.88817468,7.315608245,0,-72,2,29,16.495,16.15,5,1,21.954759,11.15
13.09379304,11.92093373,0.315,-68,5,29,15.09,0,5,1,21.954759,11.15
10.01552857,12.68613743,0.382,-74,1,30,30.84,6.75,5,1,21.84273305,11.15
13.03540961,12.33126843,0.134,-65,5,30,15.09,0,5,1,21.84273305,11.15
24.52401858,27.99171156,0.155,-71,6,30,0,0,5,1,21.84273305,11.15
10.10187648,12.01200094,1.895,-75,1,31,30.84,6.75,5,1,21.74671081,11.15
5.780996938,7.080064195,0,-64,2,31,16.495,16.15,5,1,21.74671081,11.15
12.98592695,12.65451682,0.178,-63,5,31,15.09,0,5,1,21.74671081,11.15
10.14511565,12.95018888,0.436,-72,1,32,30.84,6.75,5,1,21.69869968,11.15
5.757048018,6.845485301,0,-69,2,32,16.495,16.15,5,1,21.69869968,11.15
12.96138154,14.23757058,1.152,-64,5,32,15.09,0,5,1,21.69869968,11.15
10.21727564,13.21423925,0.589,-74,1,33,30.84,6.75,5,1,21.61868114,11.15
5.717806143,6.962779617,0,-69,2,33,16.495,16.15,5,1,21.61868114,11.15
12.92076536,14.58877339,0.89,-69,5,33,15.09,0,5,1,21.61868114,11.15
10.23172166,13.09621687,0.381,-73,1,34,30.84,6.75,5,1,21.60267744,11.15
12.9126863,12.27322244,0.257,-71,5,34,15.09,0,5,1,21.60267744,11.15
24.31045397,33.7884472,4.847,-73,6,34,0,0,5,1,21.60267744,11.15
10.26062758,12.79415861,0.292,-75,1,35,30.84,6.75,5,1,21.57067002,11.15
5.694670936,6.962779617,0,-69,2,35,16.495,16.15,5,1,21.57067002,11.15
12.89657256,12.21417521,0.196,-64,5,35,15.09,0,5,1,21.57067002,11.15
10.30402083,13.00820004,0.426,-72,1,36,30.84,6.75,5,1,21.5226589,11.15
