Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
29363,16.929,0.15,-62
30408,16.769,0.135,-61
30944,16.851,0.15,-63
32037,19.867,0.105,-68
32528,17.035,0.165,-62
33039,13.925,0.105,-67
34139,15.691,0.21,-65
34611,17.82,0.165,-67
35650,20.289,0.075,-65
36702,14.875,0.06,-64
37285,13.066,0.06,-72
38275,15.335,0.075,-68
38809,30,0.15,-69
39327,11.738,0.09,-65
39907,18.171,0.18,-61
40370,14.007,0.165,-63
41480,12.605,0.225,-60
42483,16.132,0.195,-72
42993,17.105,0.165,-68
43560,13.132,0.09,-63
44038,14.937,0.06,-61
44561,15.566,0.135,-63
45096,12.48,0.135,-59
46139,15.324,0.165,-67
46722,13.824,0.045,-72
47201,14.539,0.18,-65
47771,14.238,0.18,-68
48234,15.855,0.12,-67
48757,18.277,0.06,-65
49811,14.691,0.09,-66
50336,13.433,0.195,-70
50867,16.039,0.12,-64
51442,13.843,0.18,-62
51912,14.378,0.18,-65
52426,15.57,0.195,-68
52958,18.078,0.18,-68
53545,21.718,0.075,-65
54003,17.234,0.12,-61
54530,17.632,0.12,-68
55088,17.917,0.09,-65
55577,25.375,0.12,-67
56100,17.398,0.18,-65
56628,18.187,0.105,-65
57667,12.613,0.195,-59
58193,13.593,0.15,-63
59306,12.867,0.18,-63
59767,12.175,0.105,-73
60295,11.273,0.21,-71
61346,11.261,0.15,-66
61869,16.824,0.165,-62
62404,19.57,0.15,-66
62976,16.011,0.09,-64
63458,17.183,0.105,-63
63966,14.593,0.045,-65
64497,15.761,0.135,-66
65073,17.265,0.015,-63
65532,17.14,0.045,-64
66058,16.183,0.045,-64
66600,13.238,0.15,-66
67124,12.218,0.165,-60
67636,9.148,0.105,-64
68184,12.339,0.06,-64
68741,14.164,0.18,-68
69208,22.457,0.165,-64
69729,14.64,0.15,-70
70257,18.632,0.15,-68
71318,15.222,0.105,-65
71831,12.515,0.12,-66
72882,19.027,0.075,-68
73407,17.882,0.12,-70
73931,16.636,0.075,-61
74512,14.679,0.075,-68
74968,14.496,0.12,-64
75491,13.683,0.195,-62
76021,17.183,0.06,-67
77076,23.582,0.165,-67
77600,12.82,0.105,-64
78640,17.3,0.195,-67
79167,16.394,0.15,-65
79725,13.902,0.165,-69
80742,12.238,0.18,-64
81269,14.492,0.165,-61
81798,12.5,0.135,-62
82838,10.742,0.195,-67
83367,8.234,0.195,-65
84452,12.539,0.195,-60
85473,15.988,0.03,-67
86509,11.753,0.165,-65
87035,18.628,0.105,-68
87567,12.55,0.18,-65
88606,13.164,0.18,-63
89141,26.73,0.06,-63
