Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm),real_distance,rtt_kalman
0,23.906,0.06,-60,21.7118,21.206
523,24.121,0.03,-61,21.65073,21.22149966
1053,24.105,0.075,-62,21.597,21.23472847
1579,24.203,0.09,-60,21.54574,21.25406858
2104,24.14,0.045,-59,21.4891,21.26747268
2630,24.281,0.105,-59,21.43579,21.29007537
3172,24.085,0.06,-63,21.38303,21.2969187
3671,24.21,0.12,-62,21.33407,21.31228012
4191,24.277,0.18,-63,21.27293,21.33136425
4719,24.171,0.09,-63,21.21634,21.34143091
5242,24.515,0.135,-62,21.17132,21.37557131
5793,30.429,0.3,-66,21.11236,21.83359922
6302,25.32,0.165,-64,21.06356,21.89029255
6842,24.734,0.075,-59,21.00258,21.90065326
7343,24.421,0.015,-59,20.95742,21.88770243
7869,24.562,0.09,-59,20.90505,21.88585014
8411,24.878,0.15,-59,20.85693,21.90691226
8914,27.957,0.09,-68,20.79783,22.14842552
9452,23.695,0.09,-62,20.75136,22.06527429
9965,23.933,0.06,-62,20.69369,22.00527524
10492,24.464,0.075,-61,20.64359,21.98788209
11010,23.808,0.06,-60,20.59269,21.92445085
11547,27.425,0.21,-65,20.54106,22.12634711
12060,23.394,0.06,-64,20.48366,22.023088
12589,24.035,0.045,-63,20.43047,21.9734835
13644,22.648,0.12,-64,20.32735,21.82746421
14184,23.48,0.06,-59,20.27815,21.75195159
15206,22.976,0.09,-64,20.16782,21.64554863
15731,23.218,0.06,-58,20.12143,21.56426244
16274,22.531,0.03,-63,20.06692,21.4393094
16798,22.917,0.09,-59,20.01531,21.35119158
17316,23.175,0.075,-61,19.97057,21.28802581
17834,22.613,0.075,-63,19.91665,21.18889831
18353,22.984,0.03,-60,19.86116,21.12366288
18889,23.14,0.12,-62,19.81173,21.07437657
19407,23.503,0.06,-60,19.75469,21.05481253
19946,23.429,0.18,-61,19.69816,21.0313241
20977,22.082,0.24,-64,19.60456,20.91242181
21523,22.203,0.12,-64,19.54833,20.8108143
22027,21.843,0.15,-66,19.49387,20.69057882
22553,23.402,0.12,-63,19.44166,20.69140172
23078,22.972,0.09,-62,19.38595,20.66116598
23597,23.941,0.285,-65,19.33425,20.70296654
24131,22.878,0.21,-62,19.28298,20.66512049
24652,22.312,0.12,-62,19.23364,20.58919903
25194,22.5,0.075,-62,19.17498,20.53230398
25702,22.402,0.12,-66,19.13064,20.47244556
26237,22.664,0.15,-67,19.07674,20.43579032
26758,25.07,0.195,-64,19.02752,20.57522955
27268,23.394,0.225,-65,18.97248,20.5837913
27798,28.167,0.03,-65,18.92552,20.93582823
28324,28.242,0.315,-69,18.86974,21.26789349
28842,23.269,0.135,-64,18.8139,21.21750931
29364,25.347,0.165,-65,18.76476,21.32056335
29889,23.171,0.3,-67,18.70789,21.25931722
30426,23.003,0.06,-64,18.65546,21.19037499
30947,22.156,0.06,-65,18.59899,21.06534141
31478,21.687,0.105,-62,18.54824,20.91551067
32007,22.218,0.03,-59,18.50365,20.81476186
32513,22.054,0.09,-65,18.45348,20.70945309
33043,21.773,0.105,-59,18.40136,20.59147839
33560,20.914,0.165,-61,18.35464,20.42008201
34101,22.042,0.075,-60,18.29178,20.34236082
34610,22.421,0.075,-64,18.2435,20.29756524
35134,21.082,0.06,-61,18.19394,20.15946856
35664,21.902,0.075,-60,18.13809,20.09044233
36189,20.957,0.075,-60,18.08281,19.95826582
36711,21.417,0.03,-58,18.03052,19.86878005
37247,20.656,0.06,-61,17.97675,19.73088377
37772,21.339,0.09,-59,17.92622,19.65216695
38276,20.441,0.075,-64,17.8674,19.51438677
38811,23.902,0.255,-61,17.81175,19.63604767
39330,19.367,0.12,-63,17.7646,19.42200333
39863,20.472,0.03,-61,17.7073,19.30305059
40383,20.105,0.045,-61,17.65892,19.16621567
40895,20.863,0.06,-63,17.60871,19.09389054
41427,20.941,0.075,-59,17.55294,19.0324025
41953,20.539,0.015,-59,17.49855,18.94636641
42494,21.152,0.165,-58,17.45421,18.91072475
43012,20.867,0.075,-58,17.40231,18.85710647
43519,21.457,0.06,-58,17.35244,18.84988749
44043,20.73,0.06,-58,17.30187,18.79077846
44592,20.5,0.045,-59,17.24436,18.71934961
45099,19.832,0.09,-62,17.19677,18.60491302
45624,19.968,0.105,-60,17.15046,18.50853066
46666,20.667,0.045,-58,17.04738,18.46948846
47200,20.246,0.135,-62,17.00165,18.40291035
47719,20.195,0.105,-60,16.94459,18.33745522
48246,22.632,0.105,-60,16.88797,18.45240559
48787,19.746,0.315,-66,16.83587,18.35101327
49814,18.23,0.09,-63,16.73997,18.14763977
50337,17.828,0.09,-62,16.6924,17.92994681
50872,18.179,0.105,-60,16.63937,17.75325154
51392,18.894,0.105,-58,16.58848,17.6408397
51911,18.605,0,-58,16.53116,17.51569726
52435,18.535,0.075,-56,16.47045,17.39453
52957,18.738,0.075,-54,16.42176,17.29673231
53485,18.601,0.075,-54,16.37696,17.19610838
54024,18.488,0.06,-54,16.31873,17.09459215
54540,18.546,0.06,-53,16.26743,17.00457558
55073,18.718,0.045,-52,16.21324,16.93344808
55587,18.246,0.09,-54,16.16453,16.83342104
56103,18.382,0.09,-52,16.11052,16.75040943
56652,18.285,0.09,-52,16.06117,16.66638931
