Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm),real_distance,rtt_kalman
0,6.07,0.03,-54,4.833,3.57
1553,6.082,0.105,-56,4.83303,3.570257818
2081,6.417,0.135,-53,4.83304,3.577707508
2605,6.718,0.255,-58,4.83306,3.591464079
3662,6.046,0.09,-50,4.83308,3.590487313
4196,5.707,0.105,-53,4.83308,3.58224818
4701,4.941,0.09,-52,4.83309,3.55772869
5224,6.847,0.165,-48,4.83315,3.574686023
5754,5.695,0.09,-50,4.83315,3.566528545
6295,5.378,0.225,-57,4.8332,3.551735636
6799,5.832,0.12,-54,4.8332,3.54701464
7335,6.167,0.195,-53,4.83326,3.54959248
7850,5.351,0.06,-50,4.83334,3.534583333
8384,8.085,0.255,-62,4.83334,3.578636114
8900,5.058,0.165,-54,4.83334,3.556707948
9422,6.519,0.15,-55,4.83348,3.566640193
9944,5.714,0.105,-49,4.83348,3.559063781
10482,5.14,0.21,-58,4.83347,3.539317859
10999,4.902,0.045,-55,4.83363,3.514882769
12065,7.472,0.075,-50,4.83365,3.546188605
12587,5.519,0.045,-52,4.83379,3.534862034
13085,6.996,0.21,-53,4.83382,3.555511868
13621,8.039,0.135,-56,4.83398,3.598126722
14141,9.441,0.12,-54,4.83395,3.669947751
14661,5.687,0.15,-57,4.83397,3.659571806
15709,5.66,0.15,-60,4.83407,3.648838687
16758,6.261,0.195,-56,4.83435,3.651248528
17308,9.875,0.045,-59,4.83442,3.731252704
20980,6.179,0.105,-58,4.8351,3.730130221
21476,5.742,0.105,-58,4.83533,3.719642991
23072,6.265,0.03,-56,4.83575,3.720617622
23597,6.406,0,-61,4.83558,3.724600674
24646,6.546,0.105,-56,4.83592,3.731506027
25695,5.937,0.12,-65,4.83632,3.725178777
26201,8.074,0.3,-65,4.83645,3.764900503
27795,7.742,0.15,-67,4.83675,3.796635896
29365,11.398,0.375,-65,4.83708,3.90623796
34084,8.906,0.645,-67,4.83872,3.959945202
126359,9.308,0.03,-62,4.90944,4.021135499
127909,5.937,0.195,-63,4.91106,4.008585895
128433,7.628,0.3,-60,4.91176,4.032636721
129484,7.101,0.21,-64,4.91306,4.044848347
131590,6.765,0.15,-62,4.91616,4.049578724
132632,7.921,0.15,-65,4.91712,4.079043916
134752,8.753,0.09,-62,4.91984,4.125751445
136315,6.847,0.15,-63,4.9224,4.130505467
137348,6.937,0.075,-62,4.92336,4.137090987
137896,6.976,0,-62,4.92278,4.144372933
138399,6.796,0.075,-62,4.92482,4.147631168
139448,7.46,0.075,-64,4.92644,4.165085319
139979,7.246,0.225,-61,4.9276,4.177566738
141017,6.269,0.03,-62,4.92916,4.168789347
144188,6.207,0.045,-62,4.93194,4.15886847
144692,6.363,0.12,-61,4.93246,4.152512363
145213,6.093,0.09,-61,4.93412,4.140491909
145733,6.808,0.12,-61,4.93506,4.144091342
146785,6.339,0.135,-62,4.9369,4.137537068
147331,6.949,0.18,-65,4.9369,4.14422934
148358,6.156,0.075,-56,4.93811,4.133740381
148884,5.875,0.075,-59,4.94049,4.117439534
149954,6.812,0,-62,4.9411,4.121620159
150471,6.73,0.075,-64,4.94031,4.123949214
150991,6.41,0.33,-68,4.9416,4.119353092
152576,7.699,0.12,-65,4.94304,4.142549634
153624,7.222,0.165,-65,4.94595,4.154999571
156246,8.472,0.105,-63,4.9499,4.194038049
186652,18.792,0.255,-75,4.99578,4.453961083
187153,17.765,0.315,-77,4.99608,4.68623507
187684,17.546,0.18,-77,4.99625,4.908813746
188204,17.351,0.315,-74,4.99672,5.122421039
188726,17.007,0.285,-78,4.99805,5.324048451
189252,19.378,0.15,-76,4.99814,5.572284619
189778,15.566,0.255,-73,5.00089,5.733287619
206555,10.71,0.03,-67,5.02749,5.786501413
207102,8.742,0.39,-70,5.02832,5.796289862
207606,9.179,0.195,-68,5.02946,5.815256879
208130,10.726,0.09,-64,5.03049,5.867053416
208674,10.703,0.15,-67,5.03082,5.917243013
209703,9.882,0.225,-72,5.03147,5.948715314
215490,3.328,0.495,-63,5.04336,5.838700016
216014,6.472,0.135,-67,5.04182,5.798596517
217040,6.988,0.06,-63,5.04505,5.770440757
217567,9.835,0.33,-64,5.04773,5.804057149
220717,12.714,0.09,-61,5.05229,5.898806103
221232,6.23,0.075,-58,5.05355,5.85221197
221770,6.48,0.075,-59,5.05648,5.81199006
222278,5.71,0.06,-60,5.05569,5.756088966
222827,9.679,0.12,-63,5.05781,5.786662059
223859,6.335,0.12,-60,5.05851,5.744733116
224380,5.765,0.075,-58,5.05871,5.691458625
224912,6.027,0.165,-61,5.06174,5.644957695
225431,6.39,0.12,-53,5.06111,5.60725477
225957,6.179,0.09,-53,5.06395,5.565828554
226480,6.66,0.09,-52,5.06364,5.535626527
227003,6.187,0.075,-54,5.06679,5.495911039
227548,5.625,0.03,-55,5.06526,5.444974328
228054,6.644,0.165,-59,5.06705,5.417024957
228580,6.292,0.105,-53,5.06768,5.382113392
229102,7.39,0.105,-57,5.06831,5.371542184
229629,5.98,0.105,-52,5.07035,5.330904503
230158,6.593,0.075,-52,5.07166,5.304310064
230673,5.253,0.09,-54,5.07295,5.249497329
231199,5.445,0.075,-52,5.07342,5.199987266
231718,5.605,0.135,-56,5.07597,5.154978439
232253,5.398,0.075,-53,5.07556,5.106489219
232782,6.14,0.105,-51,5.0763,5.074983463
233823,6.289,0.105,-54,5.07887,5.047355809
234349,5.464,0.12,-56,5.07937,5.002596734
235388,5.382,0.09,-56,5.0818,4.957037501
235912,5.691,0.06,-53,5.08395,4.919095862
236441,5.507,0.135,-55,5.08278,4.878016151
236971,11.878,0.165,-55,5.08311,4.974698722
237494,5.132,0.045,-54,5.08651,4.924367643
238024,5.386,0.045,-55,5.08712,4.880575011
239063,5.312,0.105,-56,5.08758,4.836133336
239588,5.957,0.24,-54,5.09035,4.806504144
240133,5.683,0.075,-56,5.08979,4.771624661
240658,5.832,0.105,-60,5.09232,4.740695761
241153,5.148,0.3,-61,5.09305,4.695735722
242209,9.75,0.3,-59,5.09842,4.750614699
242736,5.078,0.075,-57,5.09713,4.703937625
243266,5.562,0.045,-58,5.09909,4.668662004
243781,5.636,0.12,-62,5.09851,4.635734114
244831,4.96,0.075,-65,5.10247,4.58898991
245361,5.839,0.18,-62,5.10492,4.5621351
245901,6.839,0.09,-60,5.10531,4.557342046
246410,9.562,0.075,-64,5.10699,4.611155106
246931,6,0.105,-61,5.1056,4.587283156
247976,6.175,0.06,-59,5.11036,4.56768391
248500,6.535,0.105,-61,5.10999,4.556240264
249026,7.953,0.135,-61,5.11125,4.575507933
249560,7.058,0.09,-59,5.11404,4.575132752
250072,6.843,0.06,-58,5.11385,4.570146398
250607,6.992,0.09,-60,5.1174,4.568468406
251125,7.117,0.09,-62,5.11665,4.569512065
251668,7.863,0,-61,5.11671,4.586560972
252192,6.894,0.06,-63,5.11739,4.582424821
252707,7.445,0.18,-64,5.11992,4.590215661
253238,7.765,0.03,-61,5.1198,4.604714264
253749,9.214,0.105,-64,5.12065,4.650032872
254266,7.933,0.105,-60,5.12333,4.666855819
254791,8.472,0.27,-59,5.12278,4.694897658
255339,6.964,0.105,-61,5.12553,4.689937955
255845,6.41,0.21,-63,5.12566,4.673182221
256889,12.789,0.135,-64,5.12773,4.793838074
258483,8.195,0.105,-67,5.13135,4.813200554
262152,10.117,0.09,-63,5.13878,4.87344086
262659,7.343,0.075,-62,5.14082,4.872788107
263204,8.503,0.09,-62,5.14418,4.897071758
263710,6.82,0.105,-62,5.14384,4.884674766
265801,11.949,0.165,-67,5.14891,4.982739706
267921,6.988,0.03,-64,5.15445,4.972111685
268969,6.113,0.03,-64,5.15636,4.942912786
269473,11.179,0.075,-66,5.15805,5.023183244
270000,7.66,0.09,-65,5.15962,5.026124134
271066,6.644,0.03,-62,5.16199,5.007173275
271568,6.82,0.135,-64,5.16504,4.992410879
273139,6.976,0.045,-66,5.16697,4.981317266
276834,6.089,0.105,-64,5.17637,4.95140496
277335,6.781,0.075,-63,5.17662,4.937002774
277868,7.402,0.12,-62,5.17886,4.936252071
278932,6.976,0.045,-63,5.18168,4.926364965
281028,6.882,0.075,-66,5.18543,4.914670701
282601,6.785,0.27,-66,5.18926,4.901143647
285741,6.851,0.03,-63,5.19755,4.889325204
345494,9.234,0.27,-66,5.34747,4.928958972
