Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll,Points,,
0,3802770717305,"[14:22:3b:16:5a:bd, 14031, 75, -51, cc:f4:11:8b:29:4d, 24398, 60, -54, b0:e4:d5:96:3b:95, 6851, 255, -55, 14:22:3b:2a:86:f5, 3972, 150, -44, f8:1a:2b:06:3c:0b, 10539, 150, -63]",3.80277E+12,-0.15553348,0.28115666,9.794421,0.004428773,-4.58E-04,-0.001221731,21.9844,14.2008,41.3092,-1.0488504,-0.028694298,0.015878469,0,22.161,20.159
1,3802770717305,"[14:22:3b:16:5a:bd, 14031, 75, -51, cc:f4:11:8b:29:4d, 24398, 60, -54, b0:e4:d5:96:3b:95, 6851, 255, -55, 14:22:3b:2a:86:f5, 3972, 150, -44, f8:1a:2b:06:3c:0b, 10539, 150, -63]",3.80277E+12,0.49471608,0.9284152,9.659226,0.028099801,-0.00992656,0,22.862799,14.03,41.3458,-1.1246932,-0.0956979,-0.051172234,0,22.15027245,20.159
2,3803330365498,"[14:22:3b:16:5a:bd, 14007, 90, -50, cc:f4:11:8b:29:4d, 23878, 60, -56, b0:e4:d5:96:3b:95, 7300, 135, -49, 14:22:3b:2a:86:f5, 1457, 300, -50, f8:1a:2b:06:3c:0b, 13847, 390, -64]",3.80333E+12,0.6358926,1.2251252,9.855438,0.10323623,0.07544186,0.022449298,23.2654,14.310599,41.052998,-1.1594951,-0.1234211,-0.064432696,0,22.13954489,20.159
3,3803330365498,"[14:22:3b:16:5a:bd, 14007, 90, -50, cc:f4:11:8b:29:4d, 23878, 60, -56, b0:e4:d5:96:3b:95, 7300, 135, -49, 14:22:3b:2a:86:f5, 1457, 300, -50, f8:1a:2b:06:3c:0b, 13847, 390, -64]",3.80333E+12,0.32422748,0.7256235,9.644272,0.00412334,1.53E-04,-0.069791354,23.3508,14.212999,41.2604,-1.1054603,-0.07505507,-0.033606,0,22.12881734,20.159
4,3803779187194,"[14:22:3b:16:5a:bd, 13871, 120, -50, cc:f4:11:8b:29:4d, 23929, 105, -56, b0:e4:d5:96:3b:95, 6917, 195, -52, 14:22:3b:2a:86:f5, 7292, 345, -49, f8:1a:2b:06:3c:0b, 11417, 315, -61]",3.80378E+12,1.3950156,-1.5032908,10.547563,0.054367006,-0.08384126,-0.099265605,22.8506,14.2252,41.6386,-0.70323586,0.14036533,-0.13149633,0,22.11808979,20.159
5,3803779187194,"[14:22:3b:16:5a:bd, 13871, 120, -50, cc:f4:11:8b:29:4d, 23929, 105, -56, b0:e4:d5:96:3b:95, 6917, 195, -52, 14:22:3b:2a:86:f5, 7292, 345, -49, f8:1a:2b:06:3c:0b, 11417, 315, -61]",3.80378E+12,-0.61794645,-0.6897311,9.967302,-0.02977968,-0.04596761,0.035430185,21.2768,14.396,41.7728,-0.9469728,0.068957254,0.061918113,0,22.10736224,20.159
6,3803779187194,"[14:22:3b:16:5a:bd, 13871, 120, -50, cc:f4:11:8b:29:4d, 23929, 105, -56, b0:e4:d5:96:3b:95, 6917, 195, -52, 14:22:3b:2a:86:f5, 7292, 345, -49, f8:1a:2b:06:3c:0b, 11417, 315, -61]",3.80378E+12,0.11006984,0.5563313,9.7908325,0.06154467,-0.020158553,-0.036651913,22.875,13.920199,40.9432,-1.0945888,-0.056757037,-0.01124166,0,22.09663468,20.159
7,3804326912699,"[14:22:3b:16:5a:bd, 13878, 105, -53, cc:f4:11:8b:29:4d, 23625, 90, -56, b0:e4:d5:96:3b:95, 7355, 165, -53, 14:22:3b:2a:86:f5, 5835, 390, -54, f8:1a:2b:06:3c:0b, 11472, 315, -62]",3.80432E+12,-0.06580263,0.3912265,10.018748,-0.030085113,0.10980303,-0.04260785,22.4846,14.2008,40.9188,-1.065086,-0.03902877,0.006567854,0,22.08590713,20.159
8,3804326912699,"[14:22:3b:16:5a:bd, 13878, 105, -53, cc:f4:11:8b:29:4d, 23625, 90, -56, b0:e4:d5:96:3b:95, 7355, 165, -53, 14:22:3b:2a:86:f5, 5835, 390, -54, f8:1a:2b:06:3c:0b, 11472, 315, -62]",3.80432E+12,-0.36191443,0.36490545,10.013365,-0.034208454,0.023518313,-0.021991149,22.277199,14.4936,41.211597,-1.0695305,-0.036401972,0.03612741,0,22.07517958,20.159
9,3804326912699,"[14:22:3b:16:5a:bd, 13878, 105, -53, cc:f4:11:8b:29:4d, 23625, 90, -56, b0:e4:d5:96:3b:95, 7355, 165, -53, 14:22:3b:2a:86:f5, 5835, 390, -54, f8:1a:2b:06:3c:0b, 11472, 315, -62]",3.80432E+12,-0.24885355,0.6586244,9.695718,6.11E-04,0.004428773,-0.012217305,22.57,14.115399,41.3336,-1.1238394,-0.06780295,0.025660701,0,22.06445203,20.159
10,3804885020488,"[14:22:3b:16:5a:bd, 13910, 75, -52, cc:f4:11:8b:29:4d, 23574, 75, -58, b0:e4:d5:96:3b:95, 7218, 90, -50, 14:22:3b:2a:86:f5, 5062, 375, -51, f8:1a:2b:06:3c:0b, 11914, 345, -61]",3.80488E+12,1.0899308,0.6131608,9.512068,0.019394971,-0.021838432,-0.02687807,22.1796,14.2984,41.211597,-0.98565656,-0.063954964,-0.11408644,0,22.05372447,20.159
11,3804885020488,"[14:22:3b:16:5a:bd, 13910, 75, -52, cc:f4:11:8b:29:4d, 23574, 75, -58, b0:e4:d5:96:3b:95, 7218, 90, -50, 14:22:3b:2a:86:f5, 5062, 375, -51, f8:1a:2b:06:3c:0b, 11914, 345, -61]",3.80488E+12,0.2943172,0.21894327,9.54796,0.005497787,0.07376198,0.094531395,20.862,14.310599,42.455997,-0.97257715,-0.022915997,-0.03081538,0,22.04299692,20.159
12,3805400274720,"[cc:f4:11:8b:29:4d, 23683, 90, -55, b0:e4:d5:96:3b:95, 7867, 255, -52, 14:22:3b:2a:86:f5, 2914, 60, -42, f8:1a:2b:06:3c:0b, 10882, 120, -57]",3.8054E+12,0.22313072,0.7286145,10.0576315,0.04932737,-0.026572637,-0.015882496,21.5818,13.920199,41.3946,-1.0868133,-0.07229988,-0.022181576,0,22.03226937,20.159
13,3805400274720,"[cc:f4:11:8b:29:4d, 23683, 90, -55, b0:e4:d5:96:3b:95, 7867, 255, -52, 14:22:3b:2a:86:f5, 2914, 60, -42, f8:1a:2b:06:3c:0b, 10882, 120, -57]",3.8054E+12,0.60777694,0.36729828,10.295119,-0.036957346,0.038331795,-0.05497787,22.4602,14.212999,41.5288,-1.0051093,-0.03559988,-0.058967005,0,22.02154182,20.159
14,3805400274720,"[cc:f4:11:8b:29:4d, 23683, 90, -55, b0:e4:d5:96:3b:95, 7867, 255, -52, 14:22:3b:2a:86:f5, 2914, 60, -42, f8:1a:2b:06:3c:0b, 10882, 120, -57]",3.8054E+12,-1.783251,-0.019142581,9.744172,-0.044593163,-0.06536258,0.01695151,21.4842,13.6396,41.5044,-1.1238242,0.00193242,0.18100397,0,22.01081426,20.159
