Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
0,36.375,0.375,-71
529,26.519,0.39,-70
1054,26.097,0.42,-69
1585,24.523,0.525,-71
2615,26.898,0.24,-70
3676,19.796,0.48,-72
4205,22.589,0.33,-72
4713,38.964,0.195,-70
5254,40.031,0.15,-69
6302,41.734,0.36,-70
6826,28.398,0.15,-72
7353,31.285,0.15,-70
7879,45.687,0.12,-68
8399,28.003,0.45,-68
8923,40.621,0.285,-71
9450,28.75,0.15,-71
9960,37.347,0.165,-71
10498,44.296,0.405,-69
11023,36.636,0.48,-72
12053,45.558,0.135,-68
12582,45.175,0.12,-66
13099,27.375,0.15,-69
13636,46.054,0.15,-65
14693,43.628,0.54,-68
15208,38.281,0.24,-67
15725,33.468,0.195,-69
16250,28.148,0.33,-69
16775,47.265,0.135,-66
17836,38.23,0.3,-68
18358,39.269,0.42,-68
19397,45.964,0.06,-68
19926,45.656,0.27,-68
20448,37.648,0.33,-71
20977,46.957,0.135,-68
21504,46.207,0.09,-68
22016,39.562,0.165,-69
22549,41.14,0.315,-70
23059,42.238,0.315,-68
23594,39.429,0.21,-69
24127,47.375,0.375,-68
24654,45.015,0.18,-71
25157,45.597,0.21,-69
26210,37.515,0.27,-69
26747,45.914,0.3,-69
27262,36.164,0.3,-73
27781,42.972,0.21,-70
28308,40.691,0.24,-71
28835,38.519,0.15,-72
29360,37.257,0.24,-70
29880,41.937,0.285,-72
30925,44.246,0.12,-69
31471,43.5,0.27,-71
32504,37.406,0.315,-71
33031,46.046,0.33,-69
34072,38.574,0.165,-69
35648,41.23,0.36,-70
36188,38.976,0.375,-71
36699,36.339,0.36,-72
37223,44.851,0.195,-69
38270,39.281,0.24,-72
38795,38.683,0.285,-72
39329,37.933,0.15,-72
39845,37.109,0.21,-71
40385,22.875,0.15,-71
40909,37.828,0.465,-72
41432,25.199,0,-72
42478,36.687,0.15,-69
52951,22.093,0.15,-73
54016,33.496,0.15,-72
54536,21.402,0.15,-72
55063,22.539,0.33,-72
55588,21.449,0.15,-72
56102,20.082,0.21,-71
56621,21.882,0.21,-70
57150,19.468,0.15,-72
57669,19.527,0.195,-73
58194,19.527,0.165,-72
58726,19.914,0.285,-71
59243,19.679,0.285,-72
59768,19.609,0.21,-72
60299,18.312,0.255,-72
60834,19.113,0.165,-72
61350,18.539,0.27,-72
61865,19.242,0.285,-72
62386,20.296,0.15,-70
62923,18.296,0.3,-72
63954,20.144,0.15,-69
64491,19.484,0.3,-69
65026,18.679,0.24,-70
65531,19.511,0.15,-69
66075,18.222,0.18,-69
67102,17.937,0.24,-70
67630,19.199,0.3,-69
68156,18.687,0.3,-68
69209,43.367,0.09,-68
69743,22.832,0.195,-70
70250,18.41,0.135,-68
70775,22.738,0.225,-71
71309,19.367,0.255,-68
71840,19.691,0.285,-71
72866,18.375,0.15,-71
73397,18.554,0.195,-68
74969,25.632,0.3,-69
76025,29.554,0.285,-68
76561,16.949,0,-70
78658,18.867,0.36,-70
79178,18.769,0.36,-69
79690,25.296,0.195,-70
80212,17.703,0.15,-68
80739,43.199,0.195,-69
81272,16.75,0.15,-71
81795,16.648,0.09,-68
82323,17.121,0.3,-70
82836,16.66,0.135,-68
83369,16.46,0.285,-70
83888,16.078,0.195,-70
84429,17.453,0.075,-69
84950,16.464,0.255,-71
85454,16.48,0.315,-70
85982,16.273,0.3,-71
86506,15.859,0.165,-69
87029,15.089,0.21,-72
87555,14.722,0.15,-69
88085,15.941,0.225,-71
88597,15.359,0.15,-69
89126,15.238,0.15,-71
89670,15.222,0.12,-69
90178,14.515,0.21,-71
90701,15.269,0.15,-71
91228,15.875,0.39,-70
91746,15.777,0.24,-70
92273,14.218,0.12,-69
92814,14.007,0.15,-70
93338,14.546,0.375,-72
94386,14.89,0.36,-70
94895,13.832,0.12,-69
95437,13.636,0.06,-70
95958,13.96,0.09,-69
96468,13.851,0.06,-69
96989,15.097,0.27,-68
97515,13.664,0.285,-70
98041,14.062,0.135,-68
98566,14.406,0.195,-68
99096,14.609,0.225,-69
99629,14.296,0.15,-70
100140,13.613,0.18,-68
100659,13.273,0.165,-68
101704,13.222,0.105,-69
102757,13.273,0.15,-69
103297,12.972,0.96,-69
103822,13.949,0.42,-70
104345,13.433,0.075,-69
104854,12.988,0.315,-72
109570,13.859,0.315,-72
111165,14.097,0.24,-71
115863,13.484,0.15,-72
117457,12.75,0.15,-70
118506,12.246,0.12,-68
120601,11.746,0.39,-70
121125,13.273,0.225,-69
121651,12.296,0.63,-71
123224,10.816,0.315,-70
124270,10.113,0.285,-69
124788,11.351,0.285,-70
126354,11.289,0.075,-63
127925,10.238,0.06,-64
128453,10.035,0.12,-66
128973,10.312,0.105,-67
129500,10.394,0.09,-66
130039,9.742,0.105,-67
131069,10.296,0.105,-63
131597,9.816,0.06,-64
132116,10.238,0.105,-62
133167,10.093,0.15,-62
133701,9.406,0.105,-64
134224,9.015,0.045,-65
134740,9.113,0.195,-64
135273,9.375,0.06,-63
135804,9.527,0.09,-61
136333,9.691,0.105,-57
137360,9.316,0.06,-59
137887,9.14,0.09,-59
138405,8.859,0.03,-61
139458,9.195,0.12,-59
139994,9.433,0.165,-57
140507,9.218,0.105,-59
141049,7.96,0.075,-62
141571,8.605,0.075,-60
143123,8.726,0.06,-58
144186,8.792,0.12,-57
144718,8.718,0.09,-58
145762,8.281,0.195,-60
146278,8.816,0.075,-57
146802,8.328,0.075,-58
147340,8.66,0.075,-57
148381,8.414,0.09,-57
