Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm),real_distance,rtt_kalman
0,6.183,0.06,-50,4.833,2.183
1049,5.925,0.12,-50,4.83301,2.166723907
2104,4.558,0.09,-57,4.83305,2.065236531
2619,5.218,0.09,-55,4.83304,2.011787971
3142,9.464,0.21,-59,4.83309,2.229572784
3668,6.492,0.15,-55,4.83311,2.246128213
4213,9.308,0.15,-60,4.83314,2.439288382
4716,9.863,0.18,-61,4.83323,2.655275625
5245,6.394,0.06,-50,4.8332,2.638793325
5768,5.785,0.045,-49,4.83329,2.584931658
6291,6.503,0.105,-52,4.83328,2.579763321
6816,5.855,0.09,-48,4.83335,2.534041538
7341,6.8,0.135,-53,4.83344,2.550820021
8390,6.156,0.09,-50,4.83365,2.525912892
8910,5.839,0.225,-50,4.83373,2.482578878
9436,5.187,0.075,-53,4.83367,2.400846746
9960,6.007,0.045,-50,4.83381,2.376000878
10494,5.253,0.075,-49,4.834,2.305155839
11015,5.835,0.045,-52,4.83393,2.275495875
11553,5.937,0.075,-53,4.83414,2.254141735
12056,5.601,0.135,-53,4.83417,2.212937943
12582,5.113,0.24,-53,4.83436,2.143547693
13106,5.769,0.18,-52,4.83451,2.119919079
13630,5.75,0.195,-58,4.83445,2.096582443
14176,5.195,0.3,-53,4.83474,2.039705466
14682,7.035,0.105,-55,4.83496,2.102494116
15208,5.855,0.15,-55,4.83499,2.086880719
15727,6.167,0.15,-56,4.83519,2.091935005
16249,4.972,0.12,-56,4.83521,2.021283115
16776,6.375,0.075,-52,4.83531,2.043597418
17317,5.992,0.105,-58,4.83569,2.040342233
17825,4.863,0.105,-56,4.83578,1.966068724
18358,5.332,0.12,-54,4.83588,1.926067898
18873,5.664,0.09,-56,4.83596,1.909534941
19404,5.535,0.12,-54,4.83638,1.885906915
19922,5.5,0.165,-53,4.83615,1.861561458
20455,6.242,0.09,-55,4.83655,1.885561365
20972,7.285,0.27,-59,4.83666,1.973845557
21495,6.121,0.15,-54,4.83693,1.983128694
22019,6.003,0.15,-59,4.83687,1.984382102
