Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll,Points,,
0,2169521129639,"[14:22:3b:16:5a:bd, 13593, 150, -58, cc:f4:11:8b:29:4d, 24078, 60, -54, b0:e4:d5:96:3b:95, 12132, 150, -53, 14:22:3b:2a:86:f5, 5066, 270, -50, f8:1a:2b:06:3c:0b, 13371, 120, -61]",2.16952E+12,0.0849452,0.6023931,9.7908325,-0.00412334,0.002596177,-0.004276057,-171.20259,-73.1634,142.2154,2.0131211,-0.061446473,-0.008675776,0,22.161,20.159
1,2169521129639,"[14:22:3b:16:5a:bd, 13593, 150, -58, cc:f4:11:8b:29:4d, 24078, 60, -54, b0:e4:d5:96:3b:95, 12132, 150, -53, 14:22:3b:2a:86:f5, 5066, 270, -50, f8:1a:2b:06:3c:0b, 13371, 120, -61]",2.16952E+12,0.8488538,0.75673014,9.9015,0.014966198,-0.05177083,-0.003054326,-170.75119,-73.4196,143.4476,1.9976602,-0.07599984,-0.08552072,0,22.15014434,20.159
2,2170066230184,"[14:22:3b:16:5a:bd, 13910, 270, -58, cc:f4:11:8b:29:4d, 24566, 135, -55, b0:e4:d5:96:3b:95, 8191, 375, -53, 14:22:3b:2a:86:f5, 2980, 45, -45, f8:1a:2b:06:3c:0b, 13191, 30, -61]",2.17006E+12,0.31944183,-0.093918286,9.646665,-0.020463986,0.045814894,0.015424348,-170.90979,-72.6876,142.2154,1.9569235,0.00973019,-0.03310213,0,22.13928868,20.159
3,2170066230184,"[14:22:3b:16:5a:bd, 13910, 270, -58, cc:f4:11:8b:29:4d, 24566, 135, -55, b0:e4:d5:96:3b:95, 8191, 375, -53, 14:22:3b:2a:86:f5, 2980, 45, -45, f8:1a:2b:06:3c:0b, 13191, 30, -61]",2.17006E+12,-0.3906283,0.22432712,10.088738,0.019700404,-0.027488936,-0.005497787,-171.6174,-73.627,143.00839,2.00487,-0.022215094,0.03869991,0,22.12843302,20.159
4,2170066230184,"[14:22:3b:16:5a:bd, 13910, 270, -58, cc:f4:11:8b:29:4d, 24566, 135, -55, b0:e4:d5:96:3b:95, 8191, 375, -53, 14:22:3b:2a:86:f5, 2980, 45, -45, f8:1a:2b:06:3c:0b, 13191, 30, -61]",2.17006E+12,-0.5599205,-0.096311115,9.726226,-0.04627304,-1.53E-04,-0.01038471,-171.1172,-72.3948,142.6912,1.9818314,0.009885519,0.05750465,0,22.11757736,20.159
5,2170606539104,"[14:22:3b:16:5a:bd, 14546, 120, -54, cc:f4:11:8b:29:4d, 23640, 75, -59, b0:e4:d5:96:3b:95, 8320, 255, -55, 14:22:3b:2a:86:f5, 2089, 105, -45, f8:1a:2b:06:3c:0b, 11164, 105, -62]",2.1706E+12,-0.44207397,0.08075777,9.950553,-0.005345071,0.047800206,0.094989546,-171.33679,-72.760796,143.3988,1.9927416,-0.008107732,0.04439788,0,22.1067217,20.159
6,2170606539104,"[14:22:3b:16:5a:bd, 14546, 120, -54, cc:f4:11:8b:29:4d, 23640, 75, -59, b0:e4:d5:96:3b:95, 8320, 255, -55, 14:22:3b:2a:86:f5, 2089, 105, -45, f8:1a:2b:06:3c:0b, 11164, 105, -62]",2.1706E+12,0.18604197,1.2263216,9.512068,-0.025503624,-0.001832596,-0.06795876,-170.90979,-73.3464,142.2276,2.0511942,-0.12819123,-0.019556027,0,22.09586604,20.159
7,2170606539104,"[14:22:3b:16:5a:bd, 14546, 120, -54, cc:f4:11:8b:29:4d, 23640, 75, -59, b0:e4:d5:96:3b:95, 8320, 255, -55, 14:22:3b:2a:86:f5, 2089, 105, -45, f8:1a:2b:06:3c:0b, 11164, 105, -62]",2.1706E+12,0.27337998,1.0444671,9.8015995,-0.025809057,0.06795876,-0.02855795,-171.1416,-73.139,143.4232,2.0338533,-0.106119305,-0.027884135,0,22.08501038,20.159
8,2171152055299,"[14:22:3b:16:5a:bd, 13566, 270, -61, cc:f4:11:8b:29:4d, 23773, 135, -56, b0:e4:d5:96:3b:95, 10183, 180, -56, 14:22:3b:2a:86:f5, 3183, 135, -46, f8:1a:2b:06:3c:0b, 12042, 150, -64]",2.17115E+12,1.1772687,0.9619147,9.479167,-0.002290745,-0.030695979,0.065515295,-172.386,-73.6392,142.4716,1.9955096,-0.100364685,-0.12356267,0,22.07415472,20.159
9,2171152055299,"[14:22:3b:16:5a:bd, 13566, 270, -61, cc:f4:11:8b:29:4d, 23773, 135, -56, b0:e4:d5:96:3b:95, 10183, 180, -56, 14:22:3b:2a:86:f5, 3183, 135, -46, f8:1a:2b:06:3c:0b, 12042, 150, -64]",2.17115E+12,0.23988047,0.40857446,9.552746,0.013744468,-0.063988134,0.006719518,-171.8248,-73.9076,143.411,1.9977366,-0.042730864,-0.025105877,0,22.06329907,20.159
10,2171694132081,"[b0:e4:d5:39:26:89, 25046, 795, -78, 14:22:3b:16:5a:bd, 13457, 240, -58, cc:f4:11:8b:29:4d, 23757, 30, -54, b0:e4:d5:96:3b:95, 14445, 120, -57, 14:22:3b:2a:86:f5, 3097, 105, -48, f8:1a:2b:06:3c:0b, 12539, 150, -61]",2.17169E+12,0.7148558,0.77587277,9.696914,0.03481932,-0.044593163,0.040927973,-171.898,-73.1634,142.679,1.9999385,-0.07962708,-0.073586814,0,22.05244341,20.159
11,2171694132081,"[b0:e4:d5:39:26:89, 25046, 795, -78, 14:22:3b:16:5a:bd, 13457, 240, -58, cc:f4:11:8b:29:4d, 23757, 30, -54, b0:e4:d5:96:3b:95, 14445, 120, -57, 14:22:3b:2a:86:f5, 3097, 105, -48, f8:1a:2b:06:3c:0b, 12539, 150, -61]",2.17169E+12,1.2197413,0.994816,9.8219385,0.037110064,-0.029626964,-0.01160644,-172.203,-73.541595,142.9718,1.9954597,-0.10017656,-0.12355285,0,22.04158775,20.159
12,2171694132081,"[b0:e4:d5:39:26:89, 25046, 795, -78, 14:22:3b:16:5a:bd, 13457, 240, -58, cc:f4:11:8b:29:4d, 23757, 30, -54, b0:e4:d5:96:3b:95, 14445, 120, -57, 14:22:3b:2a:86:f5, 3097, 105, -48, f8:1a:2b:06:3c:0b, 12539, 150, -61]",2.17169E+12,0.016749758,0.09930214,9.80818,0.005497787,-0.094531395,0.040775254,-171.1172,-73.444,142.618,1.9827703,-0.010124061,-0.001707732,0,22.03073209,20.159
