M1 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AP7 True Distance (m),AP7 RTT Distance (m),AP7 RTT std (m),AP7 RSS (dBm),AP8 True Distance (m),AP8 RTT Distance (m),AP8 RTT std (m),AP8 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M1 Ground Truth_x,M1 Ground Truth_y,user,circle
0,0,0,0,0,21.67063128,24.07280798,0.06,-54,0,0,0,0,0,0,0,0,4.050849294,12.12169229,0.15,-53,7.343591764,13.36164814,0.12,-61,1.282468323,5.041265317,0.27,-50,11.95295445,13.58380098,0.15,-58,0.0849452,0.6023931,9.7908325,-0.00412334,0.002596177,-0.004276057,-171.20259,-73.1634,142.2154,2.0131211,-0.061446473,-0.008675776,22.161,20.159,2,5
545.100545,0,0,0,0,21.6489246,24.56091114,0.135,-55,0,0,0,0,0,0,0,0,4.029271874,8.175725105,0.375,-53,7.329413064,13.18152044,0.03,-61,1.294664715,2.937754244,0.045,-45,11.93145595,13.90101075,0.27,-58,0.31944183,-0.093918286,9.646665,-0.020463986,0.045814894,0.015424348,-170.90979,-72.6876,142.2154,1.9569235,0.00973019,-0.03310213,22.13928868,20.159,2,5
1085.409465,0,0,0,0,21.61636461,23.63471176,0.075,-59,0,0,0,0,0,0,0,0,3.996908463,8.304962372,0.255,-55,7.308214374,11.15279768,0.105,-62,1.313419959,2.028280306,0.105,-45,11.89920965,14.53740403,0.12,-54,-0.44207397,0.08075777,9.950553,-0.005345071,0.047800206,0.094989546,-171.33679,-72.760796,143.3988,1.9927416,-0.008107732,0.04439788,22.1067217,20.159,2,5
1630.92566,0,0,0,0,21.58380463,23.76774135,0.135,-56,0,0,0,0,0,0,0,0,3.964548386,10.17071723,0.18,-56,7.287099562,12.03161519,0.15,-64,1.332707197,3.143483577,0.135,-46,11.8669651,13.55678266,0.27,-61,1.1772687,0.9619147,9.479167,-0.002290745,-0.030695979,0.065515295,-172.386,-73.6392,142.4716,1.9955096,-0.100364685,-0.12356267,22.07415472,20.159,2,5
2173.002442,22.06150692,25.04100869,0.795,-78,21.562098,23.75173781,0.03,-54,0,0,0,0,0,0,0,0,3.942976905,14.43634389,0.12,-57,7.273069987,12.52902714,0.15,-61,1.345849631,3.056371869,0.105,-48,11.84546972,13.44770795,0.24,-58,0.7148558,0.77587277,9.696914,0.03481932,-0.044593163,0.040927973,-171.898,-73.1634,142.679,1.9999385,-0.07962708,-0.073586814,22.05244341,20.159,2,5
2660.120973,22.02968512,28.71764761,0.405,-75,21.52953807,23.80674997,0.105,-55,0,0,0,0,0,0,0,0,3.910622569,8.625520274,0.09,-54,7.2520966,13.96705323,0.375,-65,1.365973306,3.000627268,0.15,-47,11.81322812,13.07544359,0.075,-60,0.17228323,-0.31106696,9.830912,0.039858956,-0.04932737,0.032375857,-171.4344,-73.81,143.21579,1.9501777,0.031626314,-0.017522853,22.01987643,20.159,2,5
3156.5577,22.00847179,29.28473188,0.225,-76,21.50783145,23.02557189,0.12,-59,0,0,0,0,0,0,0,0,3.889054984,9.126313604,0.09,-55,7.238161985,10.90554396,0.12,-59,1.379653128,4.439935135,0.045,-47,11.79173472,13.70888486,0.135,-57,-0.020338992,-0.101694964,9.850653,-0.108123146,0,0.032223143,-171.6906,-73.541595,142.39839,1.9688092,0.010323289,0.002064732,21.99816511,20.159,2,5
3619.026694,21.97665364,29.32773813,0.255,-74,21.47527155,23.56869695,0.045,-57,0,0,0,0,0,0,0,0,3.85670663,10.52713261,0.465,-57,7.217332078,9.521881379,0.09,-61,1.400553447,1.549317269,0.18,-53,11.75949611,13.53276631,0.135,-55,-0.2632105,0.5282156,9.809377,-0.06582073,-0.06429356,-0.046120327,-171.9224,-72.956,143.37439,2.0190659,-0.053776756,0.026826104,21.96559813,20.159,2,5
4083.077638,21.95544275,30.11684979,0.15,-73,21.45356496,23.76774135,0.06,-57,0,0,0,0,0,0,0,0,3.835143117,10.02253586,0.18,-54,7.203493809,9.740174998,0.105,-59,1.41473197,5.951032179,0.06,-49,11.73800472,13.31461513,0.18,-57,1.2783655,2.2839491,9.421141,0.20158553,0.21609358,0.058948494,-172.60559,-73.1512,143.34999,2.05,-0.23575927,-0.13486744,21.94388681,20.159,2,5
4546.397829,21.93423284,30.16285611,0.21,-74,21.43185838,23.08358553,0.06,-63,0,0,0,0,0,0,0,0,3.813581282,8.927008513,0.255,-54,7.189694469,10.15469788,0.03,-55,1.429099681,5.523415248,0.045,-44,11.71651413,13.02140396,0.18,-58,2.4352953,-0.65264237,10.194621,-0.05971208,-0.03894266,-0.030085113,-172.1054,-73.529396,143.0816,1.8940885,0.062186085,-0.2344861,21.92217549,20.159,2,5
5103.476727,0,0,0,0,21.39929853,22.91154488,0.075,-63,0,0,0,0,0,0,0,0,3.781241746,6.672292035,0.09,-55,7.169068947,9.975477131,0.075,-56,1.450993655,5.150788775,0.3,-45,11.68427979,13.37265583,0.27,-58,-0.49232325,-0.19621146,9.783055,-0.17730364,-0.02397646,0.055436023,-172.3006,-73.8222,142.87419,1.9762208,0.020028228,0.05028166,21.88960852,20.159,2,5
5564.948204,21.88121239,28.04154268,0.84,-69,21.37759198,23.28663273,0.045,-58,0,0,0,0,0,0,0,0,3.75968423,6.358371175,0.03,-54,7.155367912,9.517875866,0.075,-58,1.465809962,3.163733396,0.075,-42,11.66279125,12.94734911,0.15,-59,-0.08255238,2.0961127,9.324232,-0.04016439,-0.038179077,-0.086437434,-172.42259,-73.6148,143.5696,2.115317,-0.22111827,0.008853301,21.8678972,20.159,2,5
6109.720014,0,0,0,0,21.34503216,23.30263642,0.075,-58,0,0,0,0,0,0,0,0,3.727351303,6.606105131,0.075,-54,7.134890906,8.974081791,0.06,-60,1.488351743,3.52269272,0.12,-39,11.63055999,13.75991864,0.315,-57,0.951147,1.3208381,8.985647,-0.000611,-0.02443461,-0.10094548,-172.5202,-73.2488,143.4598,2.0221777,-0.14514953,-0.10545911,21.83533022,20.159,2,5
6711.569461,0,0,0,0,21.31247236,22.74750556,0.135,-60,0,0,0,0,0,0,0,0,3.695022488,6.633182042,0.06,-51,7.11450404,12.06364273,0.06,-59,1.511259143,1.903424283,0.165,-46,11.59833061,14.37330595,0.345,-54,0.45583272,1.692922,9.452248,-0.044898596,0.020005837,-0.23441954,-172.0932,-73.3586,142.679,2.0629587,-0.1770221,-0.048187464,21.80276324,20.159,2,5
7262.741987,0,0,0,0,21.27991259,22.74750556,0.105,-60,0,0,0,0,0,0,0,0,3.662697892,6.598082221,0.06,-51,7.094208091,13.40067536,0.12,-57,1.534515786,2.18143164,0.195,-40,11.56610312,15.53395519,0.06,-53,0.79800636,1.274178,9.594023,0.080634214,0.07437284,-0.0786489,-172.6178,-73.81,143.66719,2.026206,-0.13158771,-0.08298642,21.77019626,20.159,2,5
7727.898644,0,0,0,0,21.25820609,22.654483,0.06,-60,0,0,0,0,0,0,0,0,3.641150562,6.703378551,0.06,-51,7.080728355,13.06043261,0.15,-58,1.550206486,2.667544939,0.075,-39,11.54461919,16.48842066,0.24,-56,1.5086746,-0.046660043,10.023534,0.045356743,0.04505131,0.040011674,-172.4958,-73.1634,143.05719,1.9326688,0.004603168,-0.14939186,21.74848494,20.159,2,5
8193.739139,0,0,0,0,21.2364996,22.83752721,0.045,-59,0,0,0,0,0,0,0,0,3.619605191,6.362383516,0.075,-50,7.067289607,12.33286864,0.135,-61,1.566040985,3.044211721,0.03,-38,11.5231361,15.70204127,0.21,-60,0.4408776,-1.1180464,10.038489,-0.089186326,-0.07086037,-0.020463986,-172.60559,-73.9198,143.0694,1.8871256,0.11081289,-0.043890513,21.72677362,20.159,2,5
8653.537968,0,0,0,0,21.21479312,23.01757001,0.06,-58,0,0,0,0,0,0,0,0,3.598061825,6.006224188,0.06,-51,7.053892089,12.09066586,0.105,-60,1.582014957,2.3575623,0.165,-47,11.50165389,16.43739715,0.375,-58,-0.047258247,0.4552345,9.24826,-0.09605856,0.12370021,-0.1020145,-172.12979,-73.1512,143.5696,2.0082877,-0.04918346,0.005109917,21.70506231,20.159,2,5
9195.488652,0,0,0,0,21.18223342,23.42766504,0.12,-56,0,0,0,0,0,0,0,0,3.565750582,5.763351889,0.12,-52,7.03387361,15.08871794,0.45,-66,1.606228337,3.586313009,0.165,-44,11.46943217,14.36229929,0.225,-58,-0.30329028,1.4644074,10.229915,-0.003512475,0.026725354,-0.13026701,-173.118,-73.3342,143.838,2.0775325,-0.14212199,0.02963871,21.67249533,20.159,2,5
9686.348841,0,0,0,0,21.14967373,23.32964262,0.09,-55,0,0,0,0,0,0,0,0,3.533444034,6.07245,0.06,-53,7.013949211,10.17071723,0.255,-65,1.630732608,2.767190633,0.135,-39,11.4372124,14.39331803,0.18,-57,0.8853444,1.0839486,9.455238,0.05787948,-0.030085113,-0.06780604,-172.2518,-73.224396,144.56999,2.0115466,-0.11364889,-0.093363106,21.63992835,20.159,2,5
10166.3525,21.63739861,27.76449821,0.195,-73,21.12796729,23.50568274,0.03,-54,0,0,0,0,0,0,0,0,3.511909008,6.727444983,0.045,-52,7.000718942,11.18382873,0.12,-62,1.647223988,2.779384104,0.06,-39,11.41573366,13.18552331,0.21,-57,0.5724828,0.62153566,9.605987,0.005345071,-0.08827003,0.007788532,-172.0322,-73.6148,143.6916,1.9979,-0.06449876,-0.059526056,21.61821703,20.159,2,5
10621.0553,21.61620374,28.4956137,0.48,-72,21.10626085,23.31463918,0.075,-55,0,0,0,0,0,0,0,0,3.490376166,6.437612057,0.06,-51,6.987531083,11.20284767,0.135,-59,1.663835227,3.080688397,0.03,-38,11.39425579,12.52902714,0.03,-56,-0.651446,-0.05383851,9.735797,-0.061086524,-0.006414085,-0.004428773,-173.0326,-73.236595,144.2406,1.9886408,0.00551756,0.06681285,21.59650571,20.159,2,5
11092.01567,21.58441336,28.4166015,0.15,-75,21.07370122,23.38865614,0.06,-54,0,0,0,0,0,0,0,0,3.458081088,6.464693032,0.09,-50,6.967829341,9.96746708,0.165,-58,1.688969073,2.873828283,0.03,-39,11.36204065,12.74719769,0.21,-54,0.8285148,0.9487542,9.763913,-0.08781188,0.04810564,-0.05085453,-172.92279,-73.6148,143.9478,2.0056314,-0.096520655,-0.08465201,21.56393873,20.159,2,5
11554.23987,21.56322106,29.11670725,0.165,-71,21.05199481,23.44366868,0.075,-54,0,0,0,0,0,0,0,0,3.436553888,6.355361909,0.075,-51,6.954748562,9.697118129,0.12,-60,1.705864658,2.806813318,0.03,-40,11.34056501,12.55204541,0.18,-54,1.2777673,1.6366907,9.699904,0.03604105,0.07238753,-0.046883907,-172.6178,-74.0906,143.6794,2.0255868,-0.16575262,-0.13097575,21.54222741,20.159,2,5
12019.68873,21.54202981,27.0533799,0.285,-75,21.03028843,23.23662118,0.03,-55,0,0,0,0,0,0,0,0,3.415029028,6.578024704,0.045,-52,6.941711046,9.075236691,0.105,-64,1.722868152,1.520921102,0.105,-48,11.31909028,12.7121707,0.105,-52,2.1308086,0.5808577,9.873982,0.012217305,-0.036957346,-0.031306844,-173.2034,-73.7246,143.5452,1.9501203,-0.057440113,-0.212541,21.5205161,20.159,2,5
