Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll
2645,6.43501E+14,"['[b0:e4:d5:39:26:89, 10880, 309, -80, 14:22:3b:16:5a:bd, 18948, 108, -61, b0:e4:d5:91:ba:5d, 25502, 312, -80, cc:f4:11:8b:29:4d, 23694, 853, -78, b0:e4:d5:96:3b:95, 22600, 55, -60, b0:e4:d5:01:26:f5, 15491, 101, -69, 14:22:3b:2a:86:f5, 7131, 66, -55, f8:1a:2b:06:3c:0b, 5763, 110, -59]']",6.43501E+14,0.15074782,0.012562319,9.502497,-0.004123219,0.002748813,0.000305424,-18.375,1.9625,41.725002,1.4709048,-0.001321835,-0.015862692
2646,6.43501E+14,"['[b0:e4:d5:39:26:89, 10880, 309, -80, 14:22:3b:16:5a:bd, 18948, 108, -61, b0:e4:d5:91:ba:5d, 25502, 312, -80, cc:f4:11:8b:29:4d, 23694, 853, -78, b0:e4:d5:96:3b:95, 22600, 55, -60, b0:e4:d5:01:26:f5, 15491, 101, -69, 14:22:3b:2a:86:f5, 7131, 66, -55, f8:1a:2b:06:3c:0b, 5763, 110, -59]']",6.43501E+14,0.57607204,0.025124637,9.628718,-0.007482879,-0.004581355,-0.022906773,-18.862501,1.9,41.7625,1.4868433,-0.002604681,-0.059757292
2647,6.43501E+14,"['[b0:e4:d5:39:26:89, 9903, 171, -76, 14:22:3b:16:5a:bd, 18889, 117, -62, b0:e4:d5:91:ba:5d, 21877, 134, -82, cc:f4:11:8b:29:4d, 21526, 1372, -82, b0:e4:d5:96:3b:95, 22141, 105, -65, b0:e4:d5:01:26:f5, 15809, 1110, -71, 14:22:3b:2a:86:f5, 6907, 104, -56, f8:1a:2b:06:3c:0b, 5919, 82, -60]']",6.43501E+14,0.40498522,-0.51864433,9.84467,-0.021379653,-0.003206948,0,-18.825,2.1625001,41.925,1.3633847,0.052589692,-0.041114327
2648,6.43501E+14,"['[b0:e4:d5:39:26:89, 9757, 337, -79, 14:22:3b:16:5a:bd, 19123, 91, -60, b0:e4:d5:91:ba:5d, 25959, 74, -91, cc:f4:11:8b:29:4d, 22639, 1411, -78, b0:e4:d5:96:3b:95, 22200, 308, -62, b0:e4:d5:01:26:f5, 13000, 1640, -72, 14:22:3b:2a:86:f5, 7170, 99, -54, f8:1a:2b:06:3c:0b, 5606, 60, -57]']",6.43501E+14,0.27158538,0.14356937,9.851251,0.009009997,0.001985254,0.038330667,-18.362501,2.2250001,41.4,1.4874207,-0.014567154,-0.027561639
2649,6.43502E+14,"['[b0:e4:d5:39:26:89, 11309, 1169, -75, 14:22:3b:16:5a:bd, 19094, 63, -60, b0:e4:d5:91:ba:5d, 24732, 131, -76, cc:f4:11:8b:29:4d, 20706, 80, -84, b0:e4:d5:96:3b:95, 22229, 143, -63, b0:e4:d5:01:26:f5, 12034, 271, -79, 14:22:3b:2a:86:f5, 6379, 267, -55, f8:1a:2b:06:3c:0b, 6124, 62, -60]']",6.43502E+14,0.26799613,-0.18604197,9.69153,-0.004123219,0.012522369,0.005192202,-18.1875,2.2250001,41.7375,1.4160815,0.019186657,-0.027645566
2650,6.43502E+14,"['[b0:e4:d5:39:26:89, 11856, 977, -77, 14:22:3b:16:5a:bd, 19211, 104, -60, b0:e4:d5:91:ba:5d, 25820, 616, -91, cc:f4:11:8b:29:4d, 23091, 176, -82, b0:e4:d5:96:3b:95, 22405, 106, -61, b0:e4:d5:01:26:f5, 12708, 110, -78, 14:22:3b:2a:86:f5, 6379, 97, -53, f8:1a:2b:06:3c:0b, 6329, 130, -62]']",6.43502E+14,0.3260221,0.000598206,9.796216,-0.000916271,0.003206948,0.03451287,-18.4375,2.7250001,42.100002,1.4343427,-6.10E-05,-0.03326813
2651,6.43502E+14,"['[b0:e4:d5:39:26:89, 11856, 977, -77, 14:22:3b:16:5a:bd, 19211, 104, -60, b0:e4:d5:91:ba:5d, 25820, 616, -91, cc:f4:11:8b:29:4d, 23091, 176, -82, b0:e4:d5:96:3b:95, 22405, 106, -61, b0:e4:d5:01:26:f5, 12708, 110, -78, 14:22:3b:2a:86:f5, 6379, 97, -53, f8:1a:2b:06:3c:0b, 6329, 130, -62]']",6.43502E+14,0.23928227,0.109471634,9.8321085,0.012216945,0.003970507,-0.011606098,-18.737501,1.6625,41.2375,1.5096306,-0.01113034,-0.024332019
2652,6.43502E+14,"['[b0:e4:d5:39:26:89, 9942, 240, -83, 14:22:3b:16:5a:bd, 18889, 228, -62, b0:e4:d5:91:ba:5d, 22689, 1561, -79, cc:f4:11:8b:29:4d, 22036, 757, -84, b0:e4:d5:96:3b:95, 21702, 399, -65, b0:e4:d5:01:26:f5, 11829, 97, -75, 14:22:3b:2a:86:f5, 6496, 59, -53, f8:1a:2b:06:3c:0b, 6270, 123, -56]']",6.43502E+14,0.37986058,0.28594232,9.608977,0.003970507,-0.005192202,0.035887275,-18.6625,2.3125,41.25,1.5161918,-0.029725844,-0.039511267
2653,6.43503E+14,"['[b0:e4:d5:39:26:89, 11602, 316, -79, 14:22:3b:16:5a:bd, 19202, 82, -58, b0:e4:d5:91:ba:5d, 25083, 433, -86, cc:f4:11:8b:29:4d, 23392, 191, -78, b0:e4:d5:96:3b:95, 22216, 195, -60, b0:e4:d5:01:26:f5, 11155, 345, -75, 14:22:3b:2a:86:f5, 6877, 66, -55, f8:1a:2b:06:3c:0b, 6075, 200, -57]']",6.43503E+14,0.23988047,-0.3487539,9.716056,-0.004734066,-0.001527118,0.036956258,-18.85,2.0375001,41.425,1.396188,0.03586827,-0.024684066
2654,6.43503E+14,"['[b0:e4:d5:39:26:89, 10196, 1070, -81, 14:22:3b:16:5a:bd, 19123, 91, -64, b0:e4:d5:91:ba:5d, 24330, 259, -80, cc:f4:11:8b:29:4d, 23208, 158, -81, b0:e4:d5:96:3b:95, 22346, 175, -61, b0:e4:d5:01:26:f5, 11477, 226, -71, 14:22:3b:2a:86:f5, 6848, 55, -55, f8:1a:2b:06:3c:0b, 6153, 98, -59]']",6.43503E+14,0.31226337,0.31405798,9.650253,0.001985254,0.004123219,0.004123219,-18.4375,1.5625,41.55,1.5591142,-0.032515526,-0.032346763
2655,6.43503E+14,"['[b0:e4:d5:39:26:89, 10196, 1070, -81, 14:22:3b:16:5a:bd, 19123, 91, -64, b0:e4:d5:91:ba:5d, 24330, 259, -80, cc:f4:11:8b:29:4d, 23208, 158, -81, b0:e4:d5:96:3b:95, 22346, 175, -61, b0:e4:d5:01:26:f5, 11477, 226, -71, 14:22:3b:2a:86:f5, 6848, 55, -55, f8:1a:2b:06:3c:0b, 6153, 98, -59]']",6.43503E+14,0.106480606,0.45702913,9.936196,0.002290677,0.000305424,-0.008093726,-18.6625,2.1875,41.7625,1.5563694,-0.045961354,-0.010716026
2656,6.43503E+14,"['[b0:e4:d5:39:26:89, 11661, 1969, -75, 14:22:3b:16:5a:bd, 19211, 63, -60, b0:e4:d5:91:ba:5d, 21869, 126, -85, cc:f4:11:8b:29:4d, 20491, 170, -78, b0:e4:d5:96:3b:95, 22131, 210, -62, b0:e4:d5:01:26:f5, 11360, 134, -72, 14:22:3b:2a:86:f5, 7112, 130, -54, f8:1a:2b:06:3c:0b, 5714, 101, -61]']",6.43503E+14,0.66161543,-0.9320044,9.76152,0.022448637,-0.013133216,-0.029778805,-19.075,1.5125,42.075,1.3303382,0.09497226,-0.067674406
2657,6.43503E+14,"['[b0:e4:d5:39:26:89, 12393, 2022, -74, 14:22:3b:16:5a:bd, 19241, 105, -59, b0:e4:d5:91:ba:5d, 24313, 1914, -86, cc:f4:11:8b:29:4d, 23489, 140, -85, b0:e4:d5:96:3b:95, 22288, 172, -62, b0:e4:d5:01:26:f5, 11038, 123, -76, 14:22:3b:2a:86:f5, 6877, 66, -54, f8:1a:2b:06:3c:0b, 6348, 65, -60]']",6.43503E+14,0.096909314,0.212363,9.52822,0.007788302,0,-0.043370154,-19.35,1.7375001,41.925,1.5299921,-0.02228295,-0.010170418
2658,6.43504E+14,"['[b0:e4:d5:39:26:89, 11427, 255, -74, 14:22:3b:16:5a:bd, 19270, 111, -61, b0:e4:d5:91:ba:5d, 25535, 407, -87, cc:f4:11:8b:29:4d, 23284, 644, -80, b0:e4:d5:96:3b:95, 22327, 129, -63, b0:e4:d5:01:26:f5, 11184, 65, -78, 14:22:3b:2a:86:f5, 6965, 102, -54, f8:1a:2b:06:3c:0b, 5362, 97, -63]']",6.43504E+14,0.7645068,-0.21774685,9.567103,-0.026266431,-0.006872032,-0.00503949,-18.8125,1,41.2125,1.4848948,0.022683743,-0.07974052
2659,6.43504E+14,"['[b0:e4:d5:39:26:89, 11427, 255, -74, 14:22:3b:16:5a:bd, 19270, 111, -61, b0:e4:d5:91:ba:5d, 25535, 407, -87, cc:f4:11:8b:29:4d, 23284, 644, -80, b0:e4:d5:96:3b:95, 22327, 129, -63, b0:e4:d5:01:26:f5, 11184, 65, -78, 14:22:3b:2a:86:f5, 6965, 102, -54, f8:1a:2b:06:3c:0b, 5362, 97, -63]']",6.43504E+14,0.18723837,-0.41994038,9.782457,-0.012522369,-0.005803049,-0.014507622,-18.9375,1.25,41.8875,1.4184989,0.042893715,-0.019137882
2660,6.43504E+14,"['[b0:e4:d5:39:26:89, 11349, 153, -76, 14:22:3b:16:5a:bd, 19358, 143, -60, b0:e4:d5:91:ba:5d, 21400, 109, -84, cc:f4:11:8b:29:4d, 21852, 1230, -79, b0:e4:d5:96:3b:95, 22327, 55, -59, b0:e4:d5:01:26:f5, 11467, 73, -72, 14:22:3b:2a:86:f5, 7082, 105, -55, f8:1a:2b:06:3c:0b, 6192, 150, -63]']",6.43504E+14,0.56769717,-0.2745764,9.931411,-0.011606098,0.000458135,0.001374406,-18.6625,0.8875,42.525,1.4747347,0.027595205,-0.057099648
2661,6.43504E+14,"['[b0:e4:d5:39:26:89, 10665, 259, -78, 14:22:3b:16:5a:bd, 19504, 152, -60, b0:e4:d5:91:ba:5d, 24210, 130, -81, cc:f4:11:8b:29:4d, 23319, 656, -80, b0:e4:d5:96:3b:95, 22287, 116, -62, b0:e4:d5:01:26:f5, 11887, 131, -72, 14:22:3b:2a:86:f5, 7170, 91, -54, f8:1a:2b:06:3c:0b, 5421, 99, -64]']",6.43504E+14,0.20817557,0.30029923,9.8727865,0.002443389,-0.000916271,-0.016645588,-18.475,1.1750001,41.875,1.5752531,-0.030400736,-0.021082671
2662,6.43505E+14,"['[b0:e4:d5:39:26:89, 10401, 50, -79, 14:22:3b:16:5a:bd, 19299, 114, -60, b0:e4:d5:91:ba:5d, 24608, 1654, -87, cc:f4:11:8b:29:4d, 20948, 154, -82, b0:e4:d5:96:3b:95, 21936, 106, -62, b0:e4:d5:01:26:f5, 11702, 309, -66, 14:22:3b:2a:86:f5, 7288, 82, -55, f8:1a:2b:06:3c:0b, 5489, 199, -61]']",6.43505E+14,0.45702913,-0.13280165,9.694521,0.002748813,0.000916271,0.041843038,-18.362501,0.8,41.5125,1.5041146,0.01368258,-0.04710816
