M1 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M1 Ground Truth
3800,8.387480543,10.05157182,0.091,-67,8.745549145,9.975477131,0.063,-71,16.39414026,17.93002981,0.058,-65,22.83369034,26.77833245,0.132,-77,5.625494218,7.373065848,0.104,-58,17.57488134,19.00442372,0.126,-63,-0.8709874,-0.18604197,9.5557375,-0.001527118,-0.022143213,0.007177455,-17.675001,8.775001,69.125,0.8407081,0.019386334,0.09089694,"[-7.961170131, 2.64]"
4100,8.368616333,9.729160498,0.133,-68,8.727458927,10.24881071,0.105,-66,16.3748497,17.87200719,0.104,-62,22.81400739,26.81733924,0.165,-71,5.643939037,10.36694945,0.1,-65,17.55595978,18.80935554,0.113,-57,0.6723832,-0.5820541,9.519845,-0.000305,0.028098974,0.01099525,-16.0125,9.575,68.575005,0.99003744,0.060913745,-0.07051254,"[-7.941293303, 2.64]"
4400,8.34975682,9.89537589,0.07,-66,8.709376496,10.44503944,0.071,-70,16.35556055,17.45383972,0.793,-60,22.79432477,26.58329822,0.095,-75,5.662393549,7.490330367,0.137,-61,17.53704034,18.80935554,0.095,-62,-0.047856454,-0.09930214,9.717253,-0.004123219,0.03771982,0.014660334,-16.9625,9.4875,69.125,1.0206543,0.010218678,0.004924856,"[-7.921416474, 2.64]"
4800,8.330902039,9.963462049,0.104,-66,8.691301903,10.00451343,0.52,-66,16.3362728,17.71494522,0.055,-62,22.77464249,26.29024581,0.194,-76,5.680857656,8.401134209,0.229,-57,17.51812302,18.69231396,0.061,-63,-0.3361916,-0.63529444,9.616156,0.012216945,0.02443389,0.003817795,-17.2625,9.6,67.475,0.8141539,0.06592929,0.03494689,"[-7.901539646, 2.64]"
5100,8.321476432,10.24780952,0.149,-64,8.682267561,9.809265212,0.069,-69,16.32662946,17.66592565,0.227,-62,22.76480147,27.13039301,0.091,-73,5.690093279,7.284861289,0.177,-59,17.50866516,18.84836929,0.118,-60,-0.45762733,0.49172506,9.28116,-0.007788302,-0.031764057,0.007024744,-16.5,9.5375,67.4375,1.1479117,-0.05286739,0.049267225,"[-7.891601232, 2.64]"
5400,8.31205202,9.62201772,0.152,-64,8.673235197,9.70112344,0.063,-69,16.31698647,17.8710068,0.169,-62,22.75496054,27.05237973,0.181,-77,5.699331267,7.343998979,0.099,-64,17.49920783,18.49724347,0.158,-59,-0.74177504,0.33020952,9.802198,0.006261184,0.003970507,-0.009773556,-16.925001,9.75,67.637505,1.007369,-0.033578623,0.075530395,"[-7.881662818, 2.64]"
5700,8.293206795,9.425747769,0.152,-68,8.655176424,9.740174998,0.118,-71,16.29770156,17.84199543,0.103,-61,22.73527894,27.19840453,0.277,-74,5.717814291,7.196651721,0.148,-59,17.48029477,18.18412717,0.055,-57,-0.36370903,-0.47318068,9.729217,-0.007788302,-0.001374406,-0.06123744,-17.25,9.8625,66.9875,0.8428859,0.048562862,0.03736578,"[-7.861785989, 2.64]"
6000,8.283785991,9.504857916,0.063,-71,8.64615003,10.0145259,0,-67,16.28805964,18.10609756,0.133,-61,22.72543826,26.93435949,0.173,-76,5.727059303,9.368667141,0.074,-61,17.47083904,18.84836929,0.07,-58,-0.631107,0.36251262,10.462019,0.005344913,0.022906773,-0.030389652,-17.4375,10.875,67.1875,1.0034279,-0.034573693,0.060250618,"[-7.851847575, 2.64]"
6400,8.264948021,9.700122113,0.165,-68,8.628103255,9.566943085,1.113,-68,16.26877686,18.01806385,0.11,-61,22.70575717,25.8021559,0.162,-73,5.745556273,10.71834409,0.647,-56,17.4519292,18.69231396,0.104,-59,-0.27337998,0.27218357,9.92483,0.009926268,0.033291176,0.14171657,-16.9625,10.8,66.35,1.0358328,-0.027407244,0.027538091,"[-7.831970747, 2.64]"
6600,8.246114927,9.700122113,0.196,-68,8.61006454,9.097269975,1.249,-65,16.24949552,17.90101852,0.072,-60,22.68607642,26.55429308,0.124,-78,5.764062431,9.623019069,0.309,-52,17.4330215,18.49724347,0.082,-59,-0.03708875,-0.37088752,9.753145,-0.005497625,0.011911522,-0.054976255,-17.475,10.6125,66.200005,0.91969985,0.038008887,0.003802729,"[-7.812093918, 2.64]"
6900,8.23670022,9.23046781,0.03,-68,8.601048222,9.93642798,0.055,-66,16.23985539,17.75396071,0.095,-60,22.67623617,26.85634601,0.121,-75,5.773318926,7.60758674,0.067,-54,17.42356846,18.45722883,0.196,-61,-0.25244278,-0.526421,10.394422,-0.010537115,0.010384403,0.026571855,-16.8125,10.8,66.5,0.8202794,0.05058645,0.024281599,"[-7.802155504, 2.64]"
7300,8.217874506,9.465803769,0.105,-71,8.583021693,9.780227451,0,-66,16.2205762,17.63691402,0.103,-63,22.65655593,25.3720738,0.199,-72,5.791838697,7.9893695,0.178,-60,17.40466401,18.54526096,0.097,-62,-0.75912297,0.5174479,10.157532,0.004428643,0.027335415,-0.057266932,-17.737501,10.9875,65.5625,1.0356768,-0.050756983,0.074596316,"[-7.782278676, 2.64]"
7700,8.199053753,9.425747769,0.223,-62,8.565003354,9.858328509,0.063,-66,16.20129846,17.8319915,0.125,-60,22.63687603,25.99719223,0.119,-78,5.810367436,8.282922431,0.213,-60,17.38576173,18.88738298,0.07,-60,-0.5419743,0.21296121,9.858429,-0.00503949,-0.051158458,-0.008857286,-16.2,12.0375,65.525,0.87034357,-0.021566026,0.054920442,"[-7.762401848, 2.64]"
7900,8.189645248,9.191410392,0.295,-67,8.55599727,9.731163137,0.486,-62,16.19166013,17.48085078,0.118,-64,22.62703621,26.46627743,0.12,-78,5.819635142,7.902197416,0.082,-53,17.3763114,18.57527184,0.113,-64,-0.64606214,0.7088737,10.11506,0.004275931,-0.01511847,0.103691325,-17.5125,11.525001,65.075005,1.0938153,-0.0698248,0.06378467,"[-7.752463433, 2.64]"
8200,8.180237996,9.035175759,0.118,-67,8.546993253,9.819278181,0.063,-64,16.18202217,17.79297614,0.125,-59,22.61719648,26.54429131,0.132,-75,5.828905057,11.65728202,0.544,-56,17.36686162,18.57527184,0.098,-61,-0.13878371,-0.23330021,9.788439,-0.001527118,0.02687728,0.003665084,-17.5125,11.6625,64.7375,0.89852405,0.023827353,0.014177379,"[-7.742525019, 2.64]"
8600,8.16142727,9.386692708,0.146,-65,8.528991446,9.544912991,0.095,-66,16.16274733,17.59789831,0.081,-61,22.59751728,26.49928331,0.255,-76,5.847451476,9.780227451,0.082,-55,17.34796369,18.4082108,0.487,-61,-0.45702913,-0.09332009,9.500702,-0.001068983,0.014660334,-0.018325418,-16.6625,12.125,64.375,0.81529766,0.009810781,0.04806772,"[-7.722648191, 2.64]"
8900,8.142621609,11.26390807,0.869,-67,8.510997983,10.0145259,0.105,-63,16.14347396,17.44183479,0.08,-59,22.57783842,25.67513194,0.184,-74,5.866006609,9.046192569,1.17,-66,17.32906796,18.61428594,0.07,-64,-1.0474582,-0.17168503,9.838689,0.020005248,0.026266431,0.058946762,-17.1,12.462501,63.912502,0.64546776,0.017350188,0.106063664,"[-7.702771363, 2.64]"
9200,8.133220688,11.77238672,0.11,-68,8.502004397,9.583966246,0.07,-63,16.13383781,17.78397259,0.062,-60,22.56799912,27.05237973,0.478,-76,5.875287419,7.373065848,0.133,-63,17.31962092,18.49724347,0.11,-64,-0.47138608,0.066400826,8.916854,0.008246438,-0.029015245,-0.060932014,-17.300001,12.075,63.575,0.876226,-0.007436144,0.052815452,"[-7.692832948, 2.64]"
9700,8.114422692,9.152352484,0.11,-69,8.484023551,9.70112344,0.07,-61,16.11456664,17.48085078,0.157,-59,22.54832078,27.05237973,0.478,-75,5.89385547,8.175725105,0.146,-66,17.30072848,18.34018563,0.095,-67,-0.5946164,0.109471634,9.148359,-0.004275931,0.045049984,0.020768806,-17.75,12.150001,63.925,0.87309194,-0.011940495,0.064905755,"[-7.67295612, 2.64]"
10000,8.095629849,9.074235174,0.24,-66,8.466051184,9.780227451,0.087,-62,16.09529693,17.63691402,0.042,-58,22.52864279,24.59091735,0.351,-77,5.91243203,7.744877081,0.11,-55,17.28183825,18.4082108,0.489,-63,-0.8362915,0.3822534,9.766306,0.003206948,0.046271678,0.02687728,-17.550001,12.6875,63.275,0.8716848,-0.038977556,0.0854219,"[-7.653079292, 2.64]"
