M2 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M2 Ground Truth
5470,15.39647645,16.55445088,0.075,-53,9.959489145,12.60708884,0.27,-58,2.989695707,7.913219383,0.36,-51,5.288869557,5.633856228,0.03,-43,14.08095263,17.50386017,0.105,-60,11.61998223,14.53340167,0.21,-55,1.198206,-0.3684947,9.772886,-0.010537425,0.006108652,-0.061850104,-31.536999,-22.5578,52.2038,2.0743968,0.03740812,-0.12199627,"[-2.854151436, -0.89]"
5950,15.37785924,16.51543306,0.015,-57,9.95761639,14.26423952,0.165,-56,3.013334491,5.570605802,0.345,-51,5.266012269,5.500320809,0.09,-44,14.09484413,16.06622158,0.06,-55,11.59530313,15.37387147,0.135,-54,-1.4644074,0.2440679,9.665209,0.010995574,-0.022602014,0.0936151,-31.8176,-22.753,51.9964,2.3662057,-0.024962075,0.1503696,"[-2.878903394, -0.89]"
6420,15.35925935,16.84758217,0.12,-55,9.955804822,12.84126945,0.06,-54,3.036991011,5.135718061,0.12,-50,5.243172184,5.300469413,0.09,-44,14.10876537,16.22229638,0.105,-54,11.57062435,14.15517206,0.045,-55,0.11545369,0.48275197,9.98824,0.008399397,-0.021533,0.069027774,-32.0372,-22.753,52.3868,2.228973,-0.048291232,-0.011558447,"[-2.903655352, -0.89]"
6940,15.33139214,16.55845271,0.105,-57,9.953202266,12.44996386,0.15,-54,0,0,0,0,0,0,0,0,0,0,0,0,11.53360676,13.24756766,0.135,-52,0.5180461,0.64247286,9.973285,0.009621128,-0.03726278,0.03481932,-32.2202,-23.0458,51.9842,2.2155585,-0.06424412,-0.051896736,"[-2.94078329, -0.89]"
7400,15.31283584,16.63248628,0.15,-58,9.951543805,13.55678266,0.09,-54,3.096207246,6.77758187,0.345,-50,5.186148732,5.50433729,0.09,-45,14.14369805,15.6480138,0.09,-55,11.50892877,12.27882409,0.06,-54,0.17347965,0.2973082,10.246066,0.00702495,-0.010537425,0.05207626,-32.2202,-22.667599,52.179398,2.201237,-0.02900452,-0.016929725,"[-2.965535248, -0.89]"
7880,15.29429708,16.82457203,0.075,-59,9.949946643,12.13370249,0.165,-57,3.119922687,3.975682206,0.06,-48,5.163370665,5.685054881,0.015,-43,14.15772272,15.87812949,0.045,-53,11.48425109,12.64211628,0.06,-52,-0.42831525,0.13160525,10.042078,-0.003054326,0.006261369,-0.016493361,-32.5008,-22.4846,51.85,2.224428,-0.013092728,0.042626217,"[-2.990287206, -0.89]"
8380,15.26652197,16.18327782,0.09,-62,9.947665898,14.79155164,0.09,-54,3.155525702,3.901088182,0.165,-51,5.12923786,5.790452832,0.06,-43,14.17881473,15.31984282,0.06,-56,11.44723517,12.57506362,0.06,-51,-0.6891329,0.001196411,9.699904,-0.004428773,0.02687807,-0.031306844,-32.3178,-23.0458,52.179398,2.2502513,-0.000123,0.07092616,"[-3.027415144, -0.89]"
8860,15.24802735,17.08168379,0.015,-59,9.946222107,12.76320998,0.045,-58,3.179280425,4.416788992,0.03,-52,5.106505878,6.014251824,0.105,-42,14.19291261,15.54996347,0.03,-56,11.4225583,12.59107624,0.09,-49,-0.13459627,0.20937198,9.889536,0.001527163,0.025503624,-0.06918049,-32.0128,-22.4846,51.7768,2.2164526,-0.02116594,0.013609128,"[-3.052167102, -0.89]"
9330,15.2295505,17.91402358,0.045,-57,9.944839713,14.99466602,0.3,-60,3.20305025,5.551529159,0.105,-49,5.083792763,5.872753698,0.045,-42,14.20703963,15.94116059,0.075,-53,11.39788175,12.48198958,0.045,-51,1.698904,0.05922236,9.8524475,-0.014966198,-0.014202617,0.09987647,-32.8912,-22.7774,51.642597,2.0809128,-0.00592344,-0.17075554,"[-3.07691906, -0.89]"
9810,15.21109148,20.239825,0.06,-58,9.94351874,15.37787359,0.195,-58,3.226834843,6.668280813,0.12,-49,5.061098769,5.480238042,0.075,-43,14.22119569,15.76107106,0.06,-53,11.37320553,12.41493556,0.09,-50,-1.2675978,-0.040677983,9.809377,0.008093964,0.00992656,0.010537425,-33.306,-22.387,52.521,2.2708523,0.004112628,0.12851092,"[-3.101671018, -0.89]"
