Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
0,23.816,0.075,-65
533,24.203,0.09,-64
1039,23.925,0.12,-65
1574,23.75,0.03,-61
2085,23.437,0.12,-63
2612,24.05,0.075,-64
3143,23.988,0.18,-68
3656,23.64,0.21,-65
4202,26.074,0.105,-71
4717,25.265,0.24,-76
5235,24.589,0.15,-68
5772,24.726,0.075,-62
6296,24.464,0.06,-59
6826,24.449,0,-66
7328,24.472,0.12,-65
7857,24.648,0.225,-64
8387,24.539,0.135,-73
8897,25.625,0.12,-63
9434,24.773,0.12,-59
9955,24.593,0.06,-66
11009,23.882,0.09,-65
11528,19.464,0.24,-69
12055,23.761,0.045,-61
12573,24.21,0.165,-68
13096,23.316,0.09,-68
13623,23.453,0.075,-65
14146,21.898,0.24,-71
14669,23.05,0.105,-64
15197,23.574,0.105,-66
15718,22.906,0.075,-63
16249,22.878,0.075,-67
16778,29.203,0.12,-73
17298,23.316,0.12,-62
17812,23.097,0.12,-63
18362,22.347,0,-65
18861,22.082,0.045,-66
19391,22.515,0.165,-63
19922,23.183,0.12,-64
20959,21.812,0.18,-69
21508,-38.753,0.315,-70
22009,23.304,0.18,-68
22540,23.085,0.075,-68
23067,24.57,0.105,-65
23594,26.785,0.09,-66
24107,21.96,0.18,-66
24646,22.64,0.225,-66
25679,22.156,0.12,-67
26202,22.875,0.18,-72
26727,24.566,0.075,-74
27256,22.875,0.225,-72
27776,22.675,0.06,-65
28320,22.207,0.03,-68
28830,23.152,0.09,-67
29353,22.582,0.09,-69
29876,23.164,0.045,-69
30401,23.078,0.315,-71
30932,21.988,0.195,-67
31450,22.234,0.075,-62
31980,22.285,0.075,-65
32495,21.863,0.075,-66
33026,21.347,0.09,-66
33543,20.199,0.09,-66
34076,21.832,0.12,-63
34608,21.257,0.105,-65
35120,21.148,0.045,-65
35665,20.429,0.075,-66
36167,21.386,0.225,-66
36712,20.101,0.21,-67
37218,21.203,0.075,-63
37761,20.851,0.12,-66
38261,21.453,0.045,-65
38790,20.812,0.105,-68
39312,20.089,0.075,-68
39843,20.015,0.045,-67
40383,20.382,0.075,-65
40909,19.347,0.12,-65
41405,19.761,0.09,-65
41946,20.671,0.12,-67
42460,20.23,0.075,-63
42989,20.425,0.075,-65
43512,21.558,0.075,-63
44030,21.058,0.045,-66
45083,21.613,0.24,-67
45609,21.191,0.375,-69
46133,20.628,0.015,-65
46657,20.371,0.075,-65
47177,21.085,0.06,-66
47701,19.835,0.06,-67
48234,19.906,0.09,-67
48749,19.652,0.165,-65
49270,20.406,0.015,-63
49798,20.332,0.06,-63
50348,20.046,0.105,-68
50847,21.277,0.255,-67
51383,20.609,0.165,-71
51898,22.863,0.09,-64
52443,21.855,0.06,-65
52941,21.66,0.06,-64
53467,21.14,0.27,-69
