Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
0,12.433,0.09,-62
559,12.488,0.195,-62
1057,11.703,0.165,-65
1622,19.98,0.21,-62
2092,10.199,0.09,-72
2671,17.003,0.195,-62
3662,15.101,0.03,-63
4222,23.808,0.06,-64
4769,28.48,0.105,-69
5236,14.746,0.105,-65
5761,13.933,0.15,-65
6342,19.269,0.165,-66
6816,18.113,0.105,-70
7334,22.226,0.105,-71
7863,18.082,0.18,-69
8438,22.46,0.135,-66
8912,18.726,0.165,-63
9453,16.031,0.195,-63
9972,18.687,0.195,-71
10535,13.328,0.18,-68
11016,13.48,0.105,-64
11535,14.312,0.195,-60
12109,14.25,0.15,-67
12600,19.5,0.18,-70
13111,17.906,0.15,-66
13642,15.988,0.045,-68
14206,12.957,0.18,-62
14680,12.55,0.165,-63
15214,11.507,0.18,-60
15748,10.042,0.105,-63
16773,11.648,0.195,-65
17295,11.777,0.18,-62
17853,13.71,0.18,-65
18355,16.941,0.18,-64
18872,14.894,0.195,-61
19391,13.027,0.105,-62
19973,12.984,0.12,-65
20437,15.167,0.135,-61
21021,14.445,0.09,-61
21495,13.074,0.18,-62
22542,11.417,0.165,-71
23063,12.082,0.045,-68
23643,13.218,0.255,-61
24635,14.031,0.135,-62
25159,11.945,0.135,-64
26218,13.875,0.06,-65
26736,15,0.075,-65
27258,13.64,0.135,-57
28827,11.3,0.18,-61
29363,12.871,0.18,-58
30406,10.785,0.135,-63
30931,12.535,0.18,-61
31995,15.613,0.045,-62
32498,17.05,0.045,-60
33026,18.214,0.135,-64
34083,20.273,0.195,-62
34597,22.445,0.15,-70
35164,13.832,0.12,-65
36164,12.101,0.165,-63
36696,14.125,0.135,-61
37747,19.55,0.165,-67
38265,14.488,0.105,-67
38795,13.796,0.195,-68
39845,15.203,0.135,-64
40360,24.726,0.165,-70
41458,14.425,0.12,-63
41958,11.503,0.03,-63
42502,13.847,0.18,-60
43509,14.71,0.165,-66
44041,18.55,0.03,-69
44575,13.503,0.12,-63
45610,16.851,0.105,-65
46132,14.292,0.09,-61
46673,14.746,0.21,-63
47222,15,0.18,-63
47702,13.101,0.165,-65
48286,14.125,0.225,-65
48795,10.417,0.18,-70
49281,9.023,0.18,-72
49804,14.554,0.135,-60
50325,14.363,0.15,-64
50892,19.796,0.18,-68
51363,14.445,0.09,-64
51905,15.644,0.03,-65
52441,15.972,0.18,-60
52984,14.39,0.195,-65
53468,12.753,0.09,-58
53996,8.691,0.195,-69
54568,13.164,0.15,-69
55042,11.281,0.09,-67
55626,15.082,0.09,-70
56092,18.312,0.165,-66
56674,14.074,0.105,-65
57145,12.367,0.075,-68
57684,16.628,0.18,-64
58191,17.085,0.06,-64
58774,22.027,0.21,-67
59242,18.796,0.15,-62
59761,15.46,0.12,-64
60824,16.105,0.165,-60
61339,17.292,0.195,-62
61864,19.949,0.03,-70
62441,18.437,0.18,-61
62908,13.851,0.165,-66
63434,16.253,0.045,-68
63957,11.132,0.06,-62
65006,10.843,0.135,-59
65533,9.14,0.105,-61
66091,11.179,0.18,-69
66578,14.113,0.165,-72
67125,14.097,0.12,-65
67628,9.5,0.18,-64
68209,9.906,0.165,-66
68675,10.511,0.06,-67
69201,12.402,0.15,-56
69740,11.488,0.12,-60
70774,11.957,0.135,-57
71357,12.39,0.255,-62
71876,11.656,0.12,-65
72355,10.753,0.045,-64
72867,13.941,0.135,-65
73395,17.07,0.06,-67
73976,10.847,0.105,-61
74444,5.96,0.09,-68
74991,7.078,0.15,-63
75488,9.945,0.15,-62
76073,7.437,0.045,-61
76545,12.871,0.18,-59
77058,8.582,0.12,-56
77647,8.097,0,-57
78143,7.699,0.195,-59
78642,9.585,0.09,-61
79181,11.32,0.15,-63
80209,14.957,0.09,-68
80734,12.546,0.165,-67
81268,16.23,0.195,-66
82306,33.882,0,-71
82835,23.812,0.135,-69
83883,12.214,0.18,-63
84410,8.507,0.06,-70
84931,17.062,0.195,-63
85973,12.582,0.15,-63
86503,13.296,0.165,-65
87035,13.597,0.135,-61
88077,14.289,0.12,-64
88603,11.207,0.09,-60
89650,15.726,0.165,-57
90181,10.785,0.135,-65
90696,11.839,0.075,-61
91762,21.589,0.09,-66
92305,16.48,0.18,-64
92798,9.078,0.015,-66
93844,18.859,0.045,-64
94369,17.039,0.03,-74
94892,14.207,0.18,-66
95458,10.429,0.18,-65
95962,12.296,0.21,-65
96471,16.523,0.12,-65
97513,12.371,0.15,-66
98034,11.921,0.135,-71
98561,6.304,0.18,-68
99610,15.316,0.18,-65
100138,10.914,0.195,-64
100683,19.335,0.18,-67
101219,10.277,0.165,-64
101704,15.257,0.195,-68
102236,12.46,0.015,-71
102814,16.5,0.27,-59
103273,19.96,0.105,-62
103836,12.304,0.18,-64
104341,13.539,0.15,-59
104893,16.707,0.105,-61
105380,15.937,0.165,-70
105898,16.308,0.09,-65
106457,16.531,0.15,-62
107486,19.738,0.12,-69
107993,14.242,0.195,-63
108565,13.871,0.075,-65
109059,10.71,0.135,-68
109581,14.671,0.165,-61
110097,13.66,0.18,-63
110676,16.796,0.15,-63
111142,13.062,0.165,-63
111668,12.507,0.06,-68
112191,13.511,0.18,-71
112775,11.828,0.21,-61
113242,13.277,0.075,-59
113771,12.625,0.105,-57
114872,14.25,0.3,-62
115863,12.234,0.12,-64
116444,14.25,0,-64
116913,9.515,0.195,-64
117467,15.097,0.135,-72
117976,26.035,0.15,-65
119044,13.042,0.105,-57
119532,13.687,0.165,-56
120590,11.914,0.18,-60
121101,11.917,0.165,-59
121630,12.964,0.18,-61
122686,26.562,0.03,-70
123204,16.48,0.09,-61
123730,18.468,0.12,-69
124784,15.789,0.195,-58
125295,16.367,0.09,-62
125852,11.207,0.105,-68
126356,14.789,0.015,-65
126877,17.175,0.09,-65
127394,15.187,0.15,-60
127980,16.207,0.09,-59
128479,14.718,0.06,-57
128970,12.468,0.105,-60
129495,11.097,0.135,-60
130542,8.89,0.105,-65
131070,18.167,0.12,-65
131610,8.992,0.15,-63
132645,15.148,0.18,-64
133183,12.191,0.105,-57
134210,9.41,0.045,-68
134735,13.316,0.12,-62
135263,14.339,0.135,-64
136314,8.66,0.18,-71
136836,12.101,0.15,-60
137370,12.214,0.18,-59
138404,11.222,0.18,-67
138933,13.414,0.195,-60
139989,7.316,0.06,-66
140512,20.175,0.15,-61
141032,18.898,0.09,-60
142074,12.296,0.165,-55
142647,13.929,0.18,-59
143133,12.238,0.03,-59
144206,14.812,0.165,-67
144705,11.207,0.12,-63
145755,9.011,0.075,-62
146272,16.312,0.18,-64
146808,12.914,0.195,-60
147844,6.304,0.15,-67
148378,13.585,0.135,-62
148899,14.105,0.15,-64
149477,13.89,0.165,-60
149966,13.375,0.15,-59
150515,16.269,0.18,-61
151022,11.699,0.165,-60
151508,13.109,0.195,-58
152040,15.687,0.105,-57
152574,10.144,0.195,-68
153131,15.324,0.045,-58
153617,12.363,0.09,-57
154138,12.996,0.18,-59
154668,19.792,0.12,-66
156238,11.671,0.18,-58
156800,13.562,0.135,-59
157297,14.5,0.015,-65
157814,11.308,0.06,-70
158328,7.82,0.03,-63
159436,11.773,0.225,-59
159901,12.148,0.075,-61
160425,12.55,0.165,-66
161011,6.597,0,-63
161480,15.898,0.09,-57
162006,12.214,0.15,-59
162565,10.144,0.18,-68
163047,11.41,0.09,-63
163580,11.367,0.195,-69
164096,13.222,0.15,-64
165145,9.332,0.15,-60
165679,9.628,0.165,-63
166204,11.132,0.135,-58
166778,11.953,0.075,-52
167249,10.523,0.075,-52
167771,10.941,0.195,-57
168820,9.07,0.195,-55
169340,14.578,0.18,-61
169865,10.57,0.18,-51
170447,13.421,0.225,-56
170919,9.496,0.075,-60
171435,13.421,0.03,-59
171965,14.128,0.18,-63
173008,11.953,0.09,-58
173593,11.117,0.18,-55
174594,16.64,0.165,-61
175113,12.429,0.105,-54
175639,11.445,0.105,-56
176679,10.246,0.06,-63
177203,20.785,0.165,-64
177728,12.914,0.105,-63
178784,24.394,0.135,-63
179306,10.667,0.075,-62
179846,12.289,0.12,-54
180876,11.234,0.18,-59
181401,13.136,0.105,-63
182448,14.031,0.12,-61
182973,11.437,0.015,-57
183502,11.64,0.045,-56
184079,13.511,0.105,-62
184544,14.933,0.195,-61
185074,19.164,0.165,-63
185604,11.406,0.18,-65
