Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
117417,20.121,0.195,-66
117934,13.14,0.12,-65
118467,18.128,0.15,-61
118982,20.429,0.09,-64
119521,11.847,0.165,-66
120039,12.031,0.12,-67
120562,13.218,0.15,-61
121079,20.621,0.15,-65
121609,11.839,0.15,-63
122135,16.777,0.12,-63
122661,31.175,0.18,-65
123211,20.343,0.195,-65
123707,13.003,0.105,-64
124236,13.636,0.15,-60
124756,12.656,0.15,-58
125272,14.378,0.165,-56
125846,15.253,0.045,-63
126325,17.371,0.105,-64
126846,12.57,0.165,-58
127382,19.378,0.165,-69
128436,12.695,0.09,-58
128951,15.105,0.15,-69
129467,14.777,0.06,-62
130515,12.398,0.03,-51
131075,9.625,0.195,-60
131574,6.132,0.015,-64
132617,14.625,0.18,-60
133147,11.894,0.045,-61
134210,11.578,0.165,-62
134714,16.48,0.045,-62
135765,11.671,0.18,-58
136299,14.859,0.135,-59
136812,12.589,0.15,-57
137342,15.988,0.09,-66
138399,16.578,0.195,-60
138906,12.664,0.12,-56
139460,11.207,0.18,-62
139965,18.535,0.09,-62
140490,18.531,0.21,-62
141010,15.14,0.195,-67
141549,14.621,0.15,-65
142115,16.601,0.12,-63
142599,18.796,0.18,-64
143161,11.371,0.105,-65
144147,12.023,0.165,-59
144681,14.925,0.15,-60
145208,12.32,0.21,-58
145733,11.617,0.135,-64
146258,13.796,0.12,-66
146833,15.191,0.21,-58
147300,14.371,0.105,-62
147820,16.855,0.105,-61
148343,10.015,0.075,-65
148869,18.566,0.15,-62
149919,25.113,0.15,-68
150446,23.582,0.12,-66
150971,12.664,0.06,-58
151495,16.203,0.15,-60
152020,12.015,0.165,-62
152534,11.417,0.105,-65
153087,13.281,0.195,-67
153591,15.101,0.165,-58
154115,18,0.18,-59
154644,16.656,0.15,-60
155700,14.742,0.075,-65
156207,22.941,0.18,-61
157792,13.242,0.015,-68
158305,12.625,0.18,-59
158838,10.503,0.12,-65
159368,14.921,0.06,-65
159879,20.5,0.15,-64
160399,12.773,0.15,-64
160947,13.531,0.045,-58
161451,12.511,0.105,-63
161976,11.671,0.105,-68
162513,19.246,0.195,-64
163046,17.746,0.075,-66
163570,10.832,0.105,-68
164071,14.035,0.06,-62
164603,18.566,0.15,-62
165118,12.847,0.15,-58
165645,11.644,0.075,-61
166169,11.167,0.135,-60
166701,21.257,0.06,-66
167219,13.269,0.09,-59
167747,12.523,0.135,-54
168277,13.23,0.15,-57
168802,10.089,0.18,-58
169323,13.316,0.135,-61
169837,9.917,0.15,-60
170370,10.453,0.12,-59
170888,11.46,0.105,-64
171419,14.078,0.045,-61
171937,16.562,0.09,-64
172469,22.265,0.15,-67
172997,18.14,0.135,-61
173506,11.613,0.18,-61
174035,12.503,0.075,-62
175146,20.523,0.135,-65
175623,9.613,0.18,-63
176664,13.667,0.12,-59
177703,10.96,0.18,-64
178230,12.113,0.03,-61
178755,10.832,0.195,-61
179280,11.234,0.06,-57
179806,12.312,0.18,-55
180337,9.148,0.09,-66
180873,12.402,0.06,-61
181384,15.734,0.105,-59
182455,15.41,0.105,-60
182944,10.875,0.105,-57
183474,14.66,0.09,-62
184059,16.101,0.12,-64
184526,9.382,0.105,-69
185049,13.953,0.15,-60
185576,10.812,0.135,-56
186625,11.445,0.12,-60
187148,10.289,0.105,-58
187682,6.476,0.06,-59
188203,15.472,0.09,-64
188734,18.414,0.18,-63
189241,21.246,0.18,-61
189773,5.46,0.165,-65
190324,10.992,0.105,-55
190843,10.015,0.03,-55
191337,11.125,0.15,-57
191868,13.582,0.03,-59
192392,11.152,0.06,-60
193439,23.375,0.21,-60
193966,22.832,0.195,-61
194480,12.578,0.06,-61
195006,7.832,0.165,-66
196052,11.175,0.165,-58
196581,14.296,0.045,-60
197127,17.066,0.18,-63
198164,13.355,0.135,-60
198686,26.484,0.165,-65
199206,12.792,0.06,-58
199723,9.847,0.165,-60
200297,10.632,0.135,-61
200775,11.5,0.15,-57
201822,12.386,0.165,-60
202400,12.371,0.165,-62
203408,8.207,0.15,-63
203927,14.468,0.18,-61
204479,16.484,0.09,-67
204973,12.128,0.195,-64
205495,14.835,0.165,-58
206023,12.203,0.165,-58
206544,16.57,0.03,-62
207592,12.023,0.06,-63
208116,12.695,0.165,-63
208640,15.468,0.075,-59
209172,12.707,0.09,-60
209696,10.285,0.18,-61
210210,6.683,0.075,-61
211276,7.261,0.195,-63
211792,9.972,0.165,-62
212308,11.167,0.165,-57
212835,11.097,0.12,-63
213353,7.183,0.195,-59
213880,15.062,0.18,-61
214421,14.691,0.075,-54
214940,11.464,0.15,-55
215516,8.828,0.24,-59
215988,11.097,0.09,-55
216507,10.898,0.165,-57
217551,14.234,0.165,-72
218081,10.824,0.195,-57
218605,10.734,0.06,-66
219185,10.687,0.075,-55
219650,12.296,0.12,-61
220180,14.417,0.06,-61
220711,9.425,0.195,-69
221234,9.839,0.075,-55
221768,8.519,0.195,-60
222270,10.632,0.135,-58
222797,10.328,0.15,-61
223843,11.98,0.15,-55
224377,11.554,0.165,-58
224904,9.351,0.165,-64
225414,13.281,0.195,-63
225944,12.367,0.075,-56
226526,11.308,0.375,-58
226994,7.902,0.15,-63
227542,7.757,0.15,-62
228044,7.3,0.18,-59
228568,8.953,0.135,-54
229099,8.496,0.12,-54
229614,8.964,0.105,-55
230173,11.835,0.105,-59
230698,6.906,0.165,-61
231185,9.406,0.105,-55
231721,8.933,0.195,-54
232294,12.449,0.48,-59
232759,9.808,0.195,-58
233298,9.511,0.18,-64
233814,9.98,0.105,-65
234854,9.41,0.195,-56
235376,11.484,0.195,-59
235914,8.652,0.09,-55
236962,7.183,0.135,-61
237534,8.273,0.06,-62
238530,12.269,0.18,-59
239055,14.277,0.03,-61
239574,8.812,0.045,-68
240623,8.445,0.15,-64
241690,10.476,0.15,-60
242720,10.085,0.165,-59
243249,8.207,0.09,-70
244298,10.199,0.195,-60
244820,11.875,0.03,-60
245342,12.839,0.21,-62
245927,11.222,0.195,-59
246450,12.335,0.45,-67
246914,8.835,0.18,-66
247960,10.378,0.045,-67
248488,19.785,0.135,-66
249023,8.847,0.15,-64
250065,13.585,0.045,-63
250586,11.507,0.195,-62
251110,15.48,0.06,-62
251634,14.398,0.105,-65
252170,14.984,0.105,-69
252677,19.89,0.165,-68
254256,18.585,0.12,-66
254783,14.789,0.15,-66
255310,27.363,0.045,-71
255831,14.371,0.18,-68
256358,13.355,0.06,-66
256871,12.597,0.195,-67
257461,10.89,0.315,-70
257923,10.449,0.195,-73
258454,14.476,0.06,-65
259503,13.062,0.06,-64
260019,15.667,0.09,-67
260546,12.48,0.195,-67
261078,23.011,0.12,-71
261599,15.449,0.195,-64
262179,14.753,0.165,-64
262641,20.64,0.15,-66
263697,13.628,0.06,-66
264217,18.339,0.075,-70
264738,15.648,0.15,-64
265264,15.91,0.135,-65
265785,17.039,0.18,-68
266315,19.792,0.12,-63
266850,17.605,0.12,-66
267368,15.839,0.195,-67
267886,17.847,0.15,-61
268420,17.605,0.195,-62
268937,18.312,0.135,-70
269456,13.203,0.195,-73
269982,20.648,0.075,-70
270539,24.636,0.12,-75
271035,21.066,0.15,-69
271560,30.011,0.09,-71
272090,12.917,0.12,-74
272615,19.609,0.165,-71
273186,17.757,0.15,-71
273696,12.46,0.18,-74
274712,17.078,0.165,-66
275226,14.652,0.15,-66
275749,19.062,0.18,-68
276283,14.652,0.06,-69
276820,14.503,0.12,-70
277384,17.066,0.225,-66
277909,21.281,0.105,-71
278381,23.503,0.12,-70
278889,17.82,0.135,-69
279471,17.515,0.165,-67
279958,15.394,0.06,-67
280996,14.664,0.045,-64
281580,17.769,0.105,-62
282573,17.308,0.09,-72
283151,28.046,0.3,-77
