Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll
0,1.61E+13,"[b0:e4:d5:39:26:89, 10533, 168, -66, 14:22:3b:16:5a:bd, 18923, 45, -57, cc:f4:11:8b:29:4d, 11004, 120, -68, b0:e4:d5:96:3b:95, 18142, 103, -64, 14:22:3b:2a:86:f5, 7207, 428, -56, f8:1a:2b:06:3c:0b, 26207, 340, -66]",1.61E+13,-0.6580262,0.16869399,9.737592,-0.002748813,0.007635591,0.001068983,-14.675,10.087501,70.55,0.84044904,-0.017282855,0.067473285
1,1.61E+13,"[b0:e4:d5:39:26:89, 10455, 71, -66, 14:22:3b:16:5a:bd, 18894, 110, -59, cc:f4:11:8b:29:4d, 10847, 253, -70, b0:e4:d5:96:3b:95, 18054, 58, -63, 14:22:3b:2a:86:f5, 7644, 61, -57, f8:1a:2b:06:3c:0b, 27369, 311, -67]",1.61E+13,-0.6472585,-0.031106694,9.739387,0.002290677,0.00167983,-0.001374406,-14.6,9.3125,71.675,0.79942375,0.003186866,0.06636026
2,1.61E+13,"[b0:e4:d5:39:26:89, 10260, 153, -64, 14:22:3b:16:5a:bd, 18855, 70, -60, cc:f4:11:8b:29:4d, 11433, 149, -69, b0:e4:d5:96:3b:95, 18230, 82, -61, 14:22:3b:2a:86:f5, 7644, 151, -57, f8:1a:2b:06:3c:0b, 27994, 205, -68]",1.61E+13,-0.5772685,0.08853444,9.748958,-0.002748813,0.00167983,0.005803049,-14.7,9.825,71.525,0.8504066,-0.009065298,0.059144296
3,1.61E+13,"[b0:e4:d5:39:26:89, 10260, 153, -64, 14:22:3b:16:5a:bd, 18855, 70, -60, cc:f4:11:8b:29:4d, 11433, 149, -69, b0:e4:d5:96:3b:95, 18230, 82, -61, 14:22:3b:2a:86:f5, 7644, 151, -57, f8:1a:2b:06:3c:0b, 27994, 205, -68]",1.61E+13,-1.6707884,0.34097722,10.175478,-0.00503949,0.014049487,0.1473669,-15.2,9.650001,71.200005,0.4460506,-0.033054866,0.16274533
4,1.61E+13,"[b0:e4:d5:39:26:89, 9947, 105, -65, 14:22:3b:16:5a:bd, 18816, 113, -60, cc:f4:11:8b:29:4d, 11668, 95, -67, b0:e4:d5:96:3b:95, 17629, 725, -57, 14:22:3b:2a:86:f5, 7488, 151, -57, f8:1a:2b:06:3c:0b, 25650, 191, -70]",1.61E+13,-0.25782663,-0.19740787,10.329217,-0.018172706,-0.026724568,0.03970507,-14.962501,10.3125,71.5625,0.84518296,0.019103326,0.024955725
5,1.61E+13,"[b0:e4:d5:39:26:89, 10611, 119, -63, 14:22:3b:16:5a:bd, 18933, 95, -58, cc:f4:11:8b:29:4d, 11863, 55, -70, b0:e4:d5:96:3b:95, 17908, 368, -61, 14:22:3b:2a:86:f5, 7229, 337, -55, f8:1a:2b:06:3c:0b, 26861, 212, -69]",1.61E+13,-0.58624154,-0.030508488,9.773484,-0.001221695,-0.004886778,0.05955761,-15.712501,9.337501,71.05,0.87419015,0.003115946,0.059911076
6,1.61E+13,"[b0:e4:d5:39:26:89, 10973, 177, -72, 14:22:3b:16:5a:bd, 20056, 1320, -59, cc:f4:11:8b:29:4d, 11052, 101, -74, b0:e4:d5:96:3b:95, 17966, 62, -64, 14:22:3b:2a:86:f5, 6570, 242, -56, f8:1a:2b:06:3c:0b, 26412, 211, -70]",1.61E+13,-0.6197411,-0.30927232,9.394221,0.002443389,0.003970507,-0.008704574,-15.1875,9.7875,70.55,0.71413475,0.032838333,0.06587501
7,1.61E+13,"[b0:e4:d5:39:26:89, 9283, 240, -76, 14:22:3b:16:5a:bd, 21160, 165, -59, cc:f4:11:8b:29:4d, 10115, 224, -71, b0:e4:d5:96:3b:95, 17468, 68, -67, 14:22:3b:2a:86:f5, 6277, 88, -54, f8:1a:2b:06:3c:0b, 25963, 205, -75]",1.61E+13,-0.68853474,-0.43489552,9.068798,-0.003512372,0.03863609,-0.020921519,-15.6875,9.462501,70.887505,0.6732387,0.04778113,0.0757781
8,1.61E+13,"[b0:e4:d5:39:26:89, 9283, 240, -76, 14:22:3b:16:5a:bd, 21160, 165, -59, cc:f4:11:8b:29:4d, 10115, 224, -71, b0:e4:d5:96:3b:95, 17468, 68, -67, 14:22:3b:2a:86:f5, 6277, 88, -54, f8:1a:2b:06:3c:0b, 25963, 205, -75]",1.61E+13,-0.18125631,0.3164508,10.092926,-0.012064233,0.015729317,-0.03451287,-15.3125,10.025001,70.4,1.0635533,-0.031338405,0.017956816
9,1.61E+13,"[b0:e4:d5:39:26:89, 9596, 286, -69, 14:22:3b:16:5a:bd, 20046, 108, -57, cc:f4:11:8b:29:4d, 9968, 214, -70, b0:e4:d5:96:3b:95, 17761, 127, -67, 14:22:3b:2a:86:f5, 7097, 193, -51, f8:1a:2b:06:3c:0b, 26861, 240, -69]",1.61E+13,-0.01375873,-0.12562318,11.215159,-0.017409148,0.012369657,-0.004123219,-15.05,9.5375,70.0375,0.9669784,0.011200718,0.001226797
