Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
0,20.265,0.21,-55
1048,15.75,0.255,-55
3144,14.05,0.165,-58
4194,15.871,0.24,-66
5764,13.867,0.225,-51
7818,18.148,0.15,-62
9437,20.753,0.15,-56
10483,16.5,0.435,-69
11470,14.683,0.195,-58
13086,12.453,0.18,-57
14156,14.398,0,-57
15680,10.179,0.15,-65
16777,14.015,0.18,-62
18350,9.449,0,-62
19921,9.324,0.15,-62
22020,16.882,0.15,-60
23069,8.941,0.255,-62
24118,12.843,0.345,-56
25166,12.16,0.21,-58
26216,14.378,0.165,-60
27231,18.335,0.15,-57
28799,16.335,0.195,-59
29887,15,0.63,-59
31429,18.5,0.165,-58
33554,16.535,0.15,-55
35072,14.183,0.15,-59
36174,14.324,0.18,-50
37207,19.835,0.15,-52
38274,19.468,0.15,-58
39848,13.066,0.165,-64
40894,13.175,0.255,-62
41943,16.796,0,-56
42951,17.359,0.15,-59
44533,16.882,0.15,-57
46077,14.097,0.15,-58
47186,14.531,0.24,-53
48178,18.632,0.15,-59
49284,15.203,0.3,-57
50856,15.289,0.21,-56
51905,13.738,0.225,-56
53477,11.25,0.39,-60
54510,12.871,0.18,-55
57149,20.367,0.315,-59
59746,19.996,0.15,-58
60818,13.019,0.15,-51
61849,11.976,0.195,-57
62899,10.742,0.15,-55
63900,21.625,0.15,-59
65998,12.402,0.18,-54
67110,14.699,0.18,-58
68159,15.449,0.915,-55
69207,11.773,0.315,-56
71264,9.917,0.15,-53
72878,12.042,0.15,-51
73887,9.175,0.195,-54
74977,11.039,0.24,-57
76022,12.148,0.465,-55
77595,7.347,0.63,-56
79694,8.699,0.24,-53
81242,15.441,0.15,-56
82782,22.64,0.195,-58
83890,11.593,0.24,-60
85458,10.046,0.15,-54
87545,19.375,0.15,-57
88565,14.507,0.21,-56
89657,10.71,0.375,-56
91195,11.914,0.15,-64
92277,18.847,0.21,-58
93295,27.148,0.195,-60
94374,9.535,0.15,-59
95423,17.378,0.15,-60
96961,7.875,0.15,-71
98546,15.789,0.18,-52
99617,18.406,0.15,-58
101190,17.398,0.36,-61
102706,10.601,0.15,-55
103812,9.39,0.15,-58
105321,11.878,0.165,-53
106958,18.847,0.255,-56
108519,16.015,0.15,-61
110103,23.921,0.15,-56
112201,17.773,0.165,-52
113248,13.039,0.165,-54
115343,11.773,0.255,-58
116360,11.527,0.195,-54
117442,16.5,0.225,-55
118492,17.687,0.24,-59
119523,12.957,0.195,-57
121587,20.07,0.18,-59
123210,17.546,0,-62
124758,12.039,0.15,-57
125792,14.914,0.15,-58
127405,13.839,0.165,-68
128453,16.234,0.525,-60
130026,12.625,0.15,-50
131076,11.066,0.15,-59
132647,15.539,0.15,-57
134745,8.371,0.15,-58
136842,16.207,0.165,-55
138414,21.382,0.15,-59
140514,13.234,0.315,-57
142085,8.25,0,-58
143134,10.812,0.225,-50
145200,10.746,0.15,-59
146740,17.484,0.15,-56
147806,12.855,0.15,-48
149425,21.808,0.24,-55
150954,11.125,0.195,-49
152049,13.796,0.45,-57
153620,14.453,0.21,-58
154617,10.511,0.195,-56
156241,10.058,0.225,-54
157809,15.531,0.15,-62
158861,16.875,0.165,-57
160397,11.585,0.18,-55
162009,9.792,0.195,-50
163057,9.855,0.255,-53
164106,16.671,0.195,-54
165664,9.031,0.18,-54
166727,9.375,0.225,-47
168243,12.937,0.15,-56
169873,10.761,0.15,-53
170922,15.257,0.15,-58
173019,11.25,0.15,-49
174022,10.804,0.195,-60
176165,17.71,0.165,-55
177214,13.07,0.15,-53
178787,20.699,0,-57
181398,11.105,0.15,-52
182456,15.949,0.3,-55
184029,3.375,0.435,-51
185036,8.57,0.18,-53
186127,16.875,0.315,-54
187122,12.05,0.165,-50
189234,12.148,0.195,-52
190845,10.699,0.18,-52
191893,9.507,0.3,-57
193466,19.074,0.225,-62
195004,13.093,0.195,-59
196039,9.371,0.15,-50
197136,6.75,0.84,-53
198179,9.167,0.18,-53
200283,7.265,0.195,-57
201856,6.308,0.15,-56
202859,8.535,0.15,-58
205001,10.5,0.24,-51
206532,9.656,0.18,-54
208146,12.484,0.225,-53
210182,8.171,0.15,-55
211290,11.734,0.195,-52
212827,10.558,0.165,-62
213894,14.519,0.15,-57
214963,10.812,0.285,-56
215956,21.839,0.15,-60
217062,9.515,0.27,-57
218634,12,0.15,-56
219683,16.16,0.285,-57
221779,12.585,0.18,-59
222828,11.175,0.195,-57
223875,17.89,0.36,-62
225451,11.304,0.285,-60
226491,14.796,0.15,-60
228071,20.132,0.21,-59
229116,13.347,0.3,-63
230694,12.699,0.54,-59
232254,15.089,0.18,-56
233838,22.113,0.15,-65
235355,16.902,0.15,-63
236459,25.046,0,-67
238029,25.609,0.465,-67
239080,16.128,0.18,-61
240654,27.71,0.405,-66
241662,12.906,0.15,-70
243275,20.699,0,-63
245358,11.425,0.195,-65
246927,16.199,0.15,-68
247996,14.234,0.15,-63
249551,30.949,0.15,-65
251092,29.664,0.15,-66
252667,23.343,0.195,-71
253762,20.464,0.255,-62
254811,34.378,0.15,-67
256383,19.667,0.15,-65
257432,22.929,0.255,-66
258920,20.445,0.15,-67
