Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
0,15.718,0.06,-55
1037,15.496,0.09,-56
1577,16.285,0.075,-55
2117,15.132,0.015,-55
2610,15.097,0.09,-57
3138,15.687,0.03,-53
3668,15.691,0.09,-51
4710,14.664,0.21,-55
5244,14.878,0.06,-54
5761,15.511,0.21,-58
6283,14.324,0.195,-58
6824,15.14,0.09,-57
7359,14.367,0.09,-61
8375,13.96,0.18,-59
8907,14.05,0.225,-58
9440,13.898,0.12,-60
9967,14.921,0.105,-58
10480,15.292,0.045,-56
11004,14.414,0.24,-59
11527,14.519,0.09,-59
12051,14.441,0.075,-58
12605,14.613,0.03,-57
13113,14.457,0.18,-57
13626,14.82,0.165,-56
14161,15.085,0.12,-57
14700,15.265,0.075,-56
15226,15.535,0.06,-54
16242,14.687,0.12,-56
16797,15.093,0.03,-56
17296,14.695,0.09,-57
17815,14.855,0.09,-56
19387,14.984,0.045,-59
19914,15.046,0.045,-56
20968,14.933,0.06,-56
21487,14.664,0.06,-58
22013,14.792,0.105,-59
22564,14.894,0,-60
23583,14.718,0.06,-58
24120,14.222,0.075,-61
24642,14.894,0.105,-58
25168,14.292,0.105,-59
26208,16.394,0.255,-65
26759,22.656,0,-63
27254,15.812,0.075,-64
27809,22.515,0.075,-59
28318,17.152,0.105,-61
28831,15.324,0.09,-58
29383,14.128,0.135,-62
29888,15.097,0.165,-60
30401,16.796,0.09,-59
30928,16.558,0.285,-60
31449,17.156,0.075,-59
32000,15.027,0.12,-62
32508,14.132,0.12,-58
33022,14.503,0.06,-59
34074,14.32,0.06,-59
34598,14.292,0.105,-61
35122,14.621,0.075,-63
36165,17.07,0.165,-59
36698,19.367,0.075,-58
37220,17.765,0.3,-60
37770,17.324,0.12,-58
38273,14.226,0.06,-62
38818,13.761,0.075,-62
39312,14.222,0.06,-60
39848,13.761,0.09,-60
40392,13.589,0.105,-63
40914,13.636,0.06,-62
41428,14.367,0.15,-63
41940,13.703,0.21,-63
42462,14.558,0.21,-64
42993,13.933,0,-61
43524,14.816,0.135,-60
44037,14.203,0.09,-62
44556,13.21,0.045,-63
45094,13.574,0.105,-62
48226,19.953,0.255,-66
48782,17.972,0.195,-63
49809,14.527,0.12,-63
50353,14.347,0.105,-65
51372,20.433,0.09,-57
51895,17.726,0.18,-64
52423,19.324,0.135,-61
52957,14.785,0.12,-64
53990,13.406,0.12,-66
54547,16.375,0.165,-62
55058,15.839,0.015,-62
55596,23.89,0.105,-64
56119,18.214,0.045,-64
56619,14.503,0.18,-65
57137,15.871,0.075,-64
57685,17.375,0.255,-66
58204,22.253,0.12,-64
58727,15.878,0.255,-63
59248,17.171,0.135,-62
59790,14.312,0.24,-64
60813,14.433,0.18,-65
61346,14.8,0.06,-62
61887,13.808,0.12,-69
62905,19.296,0.165,-62
63441,14.675,0.135,-65
63985,16.269,0.24,-62
64495,13.554,0.09,-62
65034,13.207,0.075,-63
