M1 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AP7 True Distance (m),AP7 RTT Distance (m),AP7 RTT std (m),AP7 RSS (dBm),AP8 True Distance (m),AP8 RTT Distance (m),AP8 RTT std (m),AP8 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M1 Ground Truth_x,M1 Ground Truth_y,user,circle
0,8.566918933,9.543911619,0.146,-64,8.9177856,10.86450072,0.105,-65,0,0,0,0,0,0,0,0,16.57746965,17.22674537,0.186,-67,23.02069504,25.91917776,0.718,-73,5.450770588,7.471287975,0.292,-56,17.75474021,19.32953429,0.396,-58,-0.4749753,-0.09092726,9.788439,0.002290677,-0.00335966,-0.001221695,-15.1625,8.625,70.85,0.90026695,0.009278067,0.04848608,-8.15,2.64,1,1
200,8.560968709,9.759199967,0.455,-63,8.912069638,10.13867846,0.174,-62,0,0,0,0,0,0,0,0,16.57139503,17.49085487,0.115,-70,23.01450018,25.06001247,0.18,-74,5.456543119,7.588545645,0.243,-57,17.74877955,19.08345095,0.055,-62,-0.49830532,-0.062213387,9.768699,-0.002748813,-0.00335966,0,-14.775001,9.3,70.675,0.85234183,0.006360291,0.050966237,-8.14374516,2.64,1,1
400,8.55501891,9.700122113,0,-65,8.906354391,10.48408394,0.187,-67,0,0,0,0,0,0,0,0,16.56532054,17.63691402,0.097,-68,23.00830534,25.56711137,0.11,-74,5.462316722,7.813017407,0.041,-56,17.74281907,20.41887913,1.037,-56,-0.50368917,0.032901313,9.753743,-0.000305,0.000153,0,-15.875,9.3125,70.7375,0.9316426,-0.003368697,0.05159477,-8.13749031,2.64,1,1
600,8.549069556,7.793978445,2.132,-57,8.90063988,10.39598307,0.211,-70,0,0,0,0,0,0,0,0,16.55924619,17.51986669,0.206,-66,23.00211055,25.76314857,0.18,-72,5.468091374,7.941275024,0.201,-57,17.73685881,21.78426267,1.452,-53,-0.5138587,-0.047856454,9.811171,-0.006261184,-0.008399149,-0.012369657,-15.975,8.55,70.2125,0.94391906,0.004871036,0.052327044,-8.13123547,2.64,1,1
800,8.543120629,7.949290849,2.227,-58,8.894926086,10.5421495,0.109,-69,0,0,0,0,0,0,0,0,16.55317196,17.69593764,0.058,-70,22.99591577,25.52810391,0.331,-76,5.473867091,8.058503335,0.242,-56,17.73089874,20.14479588,1.06,-57,-0.74476606,-0.65982085,9.716655,0.001527118,-0.003817795,-0.035429142,-15.8625,9.3125,71.725,0.6289927,0.06760439,0.07649883,-8.12498062,2.64,1,1
1000,8.537172148,9.347637188,0.095,-62,8.88921303,10.5421495,0.07,-67,0,0,0,0,0,0,0,0,16.54709788,17.81298403,0.186,-69,22.98972104,25.84116321,0.09,-75,5.479643851,8.058503335,0.151,-55,17.72493888,19.23950405,0.07,-62,-0.21834506,-0.16031912,9.807582,-0.000305,-0.002137966,0.001221695,-16.0875,8.7875,71.05,0.96932185,0.016340943,0.02225921,-8.11872578,2.64,1,1
1200,8.531224097,9.347637188,0.095,-62,8.883500695,10.5421495,0.07,-67,0,0,0,0,0,0,0,0,16.54102392,17.81298403,0.186,-69,22.98352634,25.84116321,0.09,-75,5.485421668,8.058503335,0.151,-55,17.71897922,19.23950405,0.07,-62,-0.21475583,-0.007776673,9.815957,-0.001374406,-0.010689827,-0.006108473,-15.225,9.525001,70.55,0.9597576,0.000792,0.021874746,-8.11247093,2.64,1,1
1400,8.525276494,9.582964886,0.171,-63,8.8777891,10.66028067,0.418,-67,0,0,0,0,0,0,0,0,16.53495011,17.7249492,0.18,-67,22.97733167,25.99719223,0.253,-76,5.491200521,7.823037837,0.294,-57,17.71301977,19.4735821,0.199,-63,-0.24646074,0.081954174,9.705289,0.000916,-0.01175881,0.001221695,-15.9125,8.9375,70.887505,1.0371324,-0.008441358,0.02538902,-8.10621609,2.64,1,1
1600,8.519329322,9.62201772,0.338,-63,8.872078228,10.9145534,0.199,-64,0,0,0,0,0,0,0,0,16.52887642,17.42382739,0.912,-65,22.97113703,26.15322091,0.132,-79,5.496980426,7.823037837,0.151,-56,17.70706052,20.90002,1.104,-59,-0.32961133,0.001196411,9.847063,-0.000305,-0.007024744,-0.002443389,-15.825,9.712501,70.9,0.94559926,-0.000121,0.03346057,-8.09996124,2.64,1,1
1800,8.5133826,9.817275589,0.105,-57,8.8663681,11.0707147,0.149,-66,0,0,0,0,0,0,0,0,16.52280288,17.3067789,0.852,-65,22.96494243,26.23123512,0.119,-80,5.50276136,7.863119038,0.362,-56,17.70110148,20.45088871,0.107,-60,-0.34636107,0.12981063,9.94158,-0.001374406,-0.008704574,0.065818794,-16.3875,9.0125,70.075005,1.0448561,-0.013048687,0.034825552,-8.0937064,2.64,1,1
2000,8.50743631,9.739173682,0.204,-59,8.860658699,11.0757198,0.191,-62,0,0,0,0,0,0,0,0,16.51672946,15.43590412,3.055,-60,22.95874785,27.09138638,0.205,-78,5.508543339,7.902197416,0.253,-57,17.69514263,19.71766152,0.327,-63,-0.37328035,0.20279172,10.317253,-0.019088976,0.011147963,0.011911522,-15.35,8.337501,70.3375,1.0735921,-0.019640215,0.036164433,-8.08745155,2.64,1,1
2200,8.501490473,9.739173682,0.204,-59,8.854950043,11.0757198,0.191,-62,0,0,0,0,0,0,0,0,16.51065619,15.43590412,3.055,-60,22.95255332,27.09138638,0.205,-78,5.514326341,7.902197416,0.253,-57,17.689184,19.71766152,0.327,-63,-0.040677983,0.25004998,9.807582,-0.009468133,-0.013744064,0.035123717,-15.2375,9.2625,71.200005,1.108639,-0.025489839,0.004147582,-8.08119671,2.64,1,1
2400,8.49554507,9.97347462,0.276,-63,8.849242117,10.92856807,0.359,-65,0,0,0,0,0,0,0,0,16.50458305,16.23530255,2.295,-62,22.94635881,26.61230334,0.05,-77,5.52011038,7.666713051,0.095,-56,17.68322556,20.39187103,0.08,-62,-0.078963146,0.10767702,9.865009,0.000764,-0.004428643,0.01343864,-14.75,9.425,70.85,1.0231267,-0.010914262,0.008004195,-8.07494186,2.64,1,1
2600,8.489600122,9.269524745,0.149,-60,8.84353494,11.18783272,0.143,-64,0,0,0,0,0,0,0,0,16.49851005,16.55745225,2.208,-62,22.94016434,26.50528438,0.075,-78,5.525895437,7.471287975,0.061,-57,17.67726734,22.41142318,1.221,-57,-0.23808585,0.2650051,10.18505,0.01007898,-0.001374406,-0.027946262,-16.3875,9.0125,71.2375,1.1187114,-0.026006058,0.023371754,-8.06868702,2.64,1,1
