M1 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AP7 True Distance (m),AP7 RTT Distance (m),AP7 RTT std (m),AP7 RSS (dBm),AP8 True Distance (m),AP8 RTT Distance (m),AP8 RTT std (m),AP8 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M1 Ground Truth_x,M1 Ground Truth_y,user,circle
5604.887047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7788638,-0.019740786,9.77827,-0.004276057,0.028710667,0.001069014,10.1138,13.3834,71.187,-0.8607752,0.002012466,0.0794847,13.1947673,-0.334616352,2,1
5946.672163,13.17822188,22.49444376,0.15,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.090529,-1.0420742,9.744172,-0.007330383,-0.001374447,0.15027285,10.797,13.3834,71.0162,-0.73421305,0.10588234,0.111452244,13.17436478,-0.31881761,2,1
6449.643965,0,0,0,0,14.70033808,4.105666328,0.435,-53,0,0,0,0,0,0,0,0,8.636835782,9.251498527,0.045,-51,0,0,0,0,0,0,0,0,5.015775327,6.429587934,0.03,-44,-1.006182,-0.10707881,10.14497,-0.003817908,-0.04046982,-0.025809057,10.418799,13.4688,70.6868,-0.8848897,0.010502948,0.09885708,13.15396226,-0.303018868,2,1
6944.872888,13.12633072,14.71350686,0.03,-50,14.66237546,16.60147225,0.075,-52,0,0,0,0,0,0,0,0,8.599488688,8.974081791,0.03,-48,0,0,0,0,0,0,0,0,5.000667204,5.93196502,0.09,-47,-0.09032906,-0.07298109,9.716655,0.007177667,-0.024740042,-0.029474247,10.5896,13.200399,71.4066,-0.68637246,0.007510461,0.009296045,13.12335849,-0.279320755,2,1
7385.209599,13.10560563,14.7605339,0.075,-49,14.63706919,46.8643328,0.315,-55,0,0,0,0,0,0,0,0,8.574597321,8.731696055,0.105,-49,1.57155506,9.466805163,0.12,-51,0,0,0,0,4.990736485,6.193851467,0.06,-47,-0.7118647,-0.13878371,9.902099,-0.007788532,-0.006566802,-0.0355829,10.613999,13.481,70.906395,-0.82565045,0.013978598,0.07176682,13.10295597,-0.263522013,2,1
7914.215743,13.08489862,14.79955621,0.045,-50,14.61176468,16.84358041,0.06,-53,0,0,0,0,0,0,0,0,8.549711372,8.848885184,0.09,-48,0,0,0,0,0,0,0,0,4.980919658,6.045358219,0.105,-51,0.52163535,0.03589234,10.087543,0.001985312,-0.009010263,-0.0870483,10.711599,13.2858,70.6136,-0.49589196,-0.003553323,-0.05166483,13.08255346,-0.24772327,2,1
8414.480107,13.05387215,14.8385784,0.045,-46,14.5738112,16.60147225,0.09,-53,0,0,0,0,0,0,0,0,8.5123927,9.036177289,0.06,-48,0,0,0,0,0,0,0,0,4.966409423,10.57718871,0.165,-49,-0.23748764,-0.044865426,9.74477,0.00702495,-0.016187929,-0.020922136,11.2484,13.4566,69.5278,-0.75411,0.004602653,0.024365956,13.05194969,-0.224025157,2,1
8917.655726,13.03321065,14.81156305,0.06,-49,14.54851108,16.58946681,0.015,-53,0,0,0,0,0,0,0,0,8.487520488,9.064219989,0.06,-49,0,0,0,0,0,0,0,0,4.956880245,9.509864826,0.12,-48,-0.22791636,-0.111864455,9.7501545,0.001985312,0.022602014,0.009621128,11.236199,13.359,69.723,-0.737611,0.011469459,0.02337141,13.03154717,-0.208226415,2,1
9264.325444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.81655073,-0.010767702,10.11147,-0.004276057,0.031154128,-0.013591751,11.431399,13.176,69.7474,-0.9090211,0.001061444,0.08058003,13.01114465,-0.192427673,2,1
9702.701543,12.99194285,15.07671135,0,-55,14.49791617,16.1172462,0.09,-53,0,0,0,0,0,0,0,0,8.437792864,9.107285051,0.045,-46,1.698580342,5.261294993,0.105,-48,0,0,0,0,4.938171266,9.423744956,0.12,-50,-0.52283174,0.05802595,9.906285,0.006872234,0.009162978,-0.052839845,12.139,13.261399,69.0642,-0.8863899,-0.00584928,0.052728858,12.99074214,-0.176628931,2,1
