M2 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AP7 True Distance (m),AP7 RTT Distance (m),AP7 RTT std (m),AP7 RSS (dBm),AP8 True Distance (m),AP8 RTT Distance (m),AP8 RTT std (m),AP8 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M2 Ground Truth
0,14.24339103,18.70031682,0.165,-65,19.01895629,29.04169616,0.15,-76,0,0,0,0,34.40324297,37.83569639,0.36,-73,10.66422197,11.82443339,0.075,-51,21.96043304,24.14682389,0.15,-67,9.467302375,10.82345716,0.06,-48,4.072960528,5.265313001,0.06,-45,0.31585258,0.25782663,9.757333,-0.013744468,-0.001679879,0.006872234,5.4412,-28.535799,47.970398,-3.011895,-0.026403915,-0.032359492,"[13.54744, 16.328705]"
597,14.2816457,15.7060433,0.18,-66,0,0,0,0,0,0,0,0,34.44172708,36.7035945,0.24,-72,10.66558034,14.95564429,0.09,-51,21.99875419,26.88535103,0.285,-71,9.450481643,12.0085953,0.06,-51,4.038860005,5.189970713,0.09,-42,-0.04366901,0.13160525,9.991231,0.009621128,-0.011301007,-0.020005837,4.6604,-28.3528,48.0314,-2.9751067,-0.013171189,0.004370706,"[13.50892736, 16.328705]"
1168,14.31990175,16.94562507,0.09,-68,19.08279908,29.42475218,0.24,-75,0,0,0,0,34.48021124,36.74659848,0.21,-70,10.66707758,11.0937381,0.12,-55,22.03707599,26.21723258,0.255,-72,9.433788149,9.431756199,0.15,-53,4.00483949,4.612981682,0.135,-42,-0.549751,-0.23868406,9.839885,0.010537425,0.020158553,-0.07513642,4.0626,-29.121399,48.0192,-2.9051988,0.02421429,0.055811636,"[13.47041473, 16.328705]"
1741,14.35815919,20.24382622,0.24,-65,0,0,0,0,0,0,0,0,34.51869548,36.10153771,0.27,-72,10.66871365,11.18382873,0.09,-53,22.07539847,29.58477516,0.375,-71,9.417222561,10.25281547,0.075,-50,3.97090102,4.970917018,0.06,-44,0.20817557,-0.004785645,9.8632145,0.016646078,0.03604105,0.004428773,5.3924,-28.9872,49.288,-2.992478,0.000485,-0.021103127,"[13.43190209, 16.328705]"
2306,14.3836649,16.13625533,0.12,-65,19.13607553,29.87081561,0.42,-75,0,0,0,0,34.54435167,38.97279277,0.225,-75,10.66988144,11.41805767,0.12,-52,22.10094716,28.36659375,0.36,-70,9.406250232,10.71834409,0.045,-50,3.948322007,5.064377652,0.105,-42,-0.49950173,0.109471634,10.152746,0.003054326,0.043218717,-0.027488936,4.1236,-28.3406,49.214798,-2.9188898,-0.010769023,0.049159046,"[13.406227, 16.328705]"
2886,14.42192458,16.92561636,0.135,-64,19.16807349,29.3937477,0.3,-73,0,0,0,0,34.58283601,40.45391018,0.21,-75,10.67174872,11.85245835,0.15,-55,22.13927073,24.89297901,0.33,-71,9.389899335,10.18273171,0.09,-49,3.914525053,4.899553551,0.06,-42,0.24107689,0.086141616,9.653245,0.004581489,0.004428773,-0.016340645,3.7331998,-28.3406,49.0928,-3.0547183,-0.008920573,-0.024968471,"[13.36771437, 16.328705]"
3475,14.46018562,16.75354055,0.33,-66,19.20009538,34.81640992,0.375,-76,0,0,0,0,34.62132041,36.99962174,0.15,-72,10.67375463,11.52015456,0.09,-54,22.17759496,24.9789963,0.18,-72,9.373678145,10.40899808,0.075,-47,3.880815957,5.072416485,0.045,-40,-0.13878371,0.13579269,9.724431,-0.003970624,-0.005345071,-0.000458,3.8307998,-28.4382,49.2026,-2.9871893,-0.013961746,0.014270684,"[13.32920173, 16.328705]"
4048,14.49844798,17.5348728,0.165,-69,19.23214107,27.21740774,0.15,-75,0,0,0,0,34.65980487,37.25764513,0.33,-72,10.6758991,11.8014128,0.135,-55,22.21591984,30.1438535,0.48,-73,9.357587346,10.24480595,0.12,-48,3.847197045,4.581798883,0.09,-44,-1.3591232,0.16151553,10.033105,-0.008093964,0.06383542,0.008093964,4.0382,-28.535799,49.0074,-2.7950413,-0.015951203,0.13464427,"[13.2906891, 16.328705]"
4720,14.53671167,19.89571823,0.165,-64,19.26421045,28.06954713,0.39,-75,0,0,0,0,34.69828941,35.63649253,0.165,-66,10.67818204,14.93663366,0.345,-53,22.25424537,28.42860336,0.225,-71,0,0,0,0,3.813670685,4.64818513,0.06,-43,-0.3272185,-0.14177474,9.639486,-0.015118915,0.01282817,0.011759156,3.7942,-28.889599,50.312798,-2.9486735,0.014698182,0.033932608,"[13.25217646, 16.328705]"
5405,14.58773196,18.11009909,0.36,-65,19.30700627,31.902082,0.255,-72,0,0,0,0,34.74960221,35.9415223,0.135,-67,10.6814412,13.21654554,0.075,-55,22.30534708,25.66212947,0.15,-72,0,0,0,0,3.769117128,4.676345689,0.105,-43,-0.33260235,-0.07956135,9.510872,-0.007941248,0.035888333,-0.013897184,3.6966,-28.792,50.508,-2.9514759,0.008360001,0.034956507,"[13.20082628, 16.328705]"
