M1 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M1 Ground Truth
0.0,12.510859283038874,13.893005578347688,0.131,-62.0,3.8105773840718675,4.64818512970385,0.112,-53.0,14.628222721848337,15.467920868688203,0.178,-68.0,16.455540860147988,19.23750337231939,0.146,-68.0,7.6738517056299695,8.34202906971679,0.154,-62.0,18.793256769384065,20.62594056037203,0.131,-69.0,-0.27098715,0.1477568,9.830912,-0.001374406,-0.016340164,-0.00503949,-16.237501,26.987501,51.537502,0.514463,-0.01502298,0.027557826,"[-2.4, -14.43]"
200.0,12.507802108358321,13.883999747911263,0.066,-62.0,3.7999054699364416,4.412763419899145,0.149,-53.0,14.617108840042647,15.32184388381503,0.14,-70.0,16.444884326159087,19.276516516217345,0.126,-65.0,7.671099286194442,8.40113420914105,0.066,-62.0,18.784607284733234,20.62594056037203,0.115,-67.0,-0.3924229,0.07058827,9.777073,-0.001374406,-0.016340164,-0.000153,-16.7625,27.825,51.7625,0.49095118,-0.007213841,0.04011552,"[-2.4, -14.41873333]"
400.0,12.504754340128432,13.96205002855956,0.199,-62.0,3.7892370087341973,4.520431837778333,0.155,-53.0,14.605995202216139,15.673026542439082,0.136,-66.0,16.43422861554691,19.354542645074307,0.055,-67.0,7.668362434715829,8.282922431122966,0.106,-63.0,18.77596058387322,20.62594056037203,0.07,-67.0,-0.84047896,0.51505506,9.661021,0.007482879,0.021379653,-0.16828842,-16.8125,27.325,51.2625,0.4654747,-0.05306222,0.08677842,"[-2.4, -14.40746667]"
600.0,12.50171597981653,13.96205002855956,0.199,-62.0,3.778572010693987,4.520431837778333,0.155,-53.0,14.594881789175272,15.673026542439082,0.136,-66.0,16.4235737109802,19.354542645074307,0.055,-67.0,7.665641163007827,8.282922431122966,0.106,-63.0,18.767316655291985,20.62594056037203,0.07,-67.0,-0.66400826,-0.5072784,10.043275,-0.03634541,0.03268033,0.08964183,-16.8125,27.325,51.425,0.42049685,0.050356623,0.06601863,"[-2.4, -14.3962]"
800.0,12.498687036994921,13.96205002855956,0.122,-62.0,3.7679105147740564,4.64818512970385,0.059,-53.0,14.58376861132077,15.63700818571123,0.203,-68.0,0.0,0.0,0.0,0.0,7.662935490107227,8.34202906971679,0.134,-63.0,18.75867551050833,20.420879731294633,0.104,-65.0,-0.81595254,0.43669012,9.151948,0.003970507,0.028709821,0.054976255,-17.1375,27.2875,51.1125,0.46838486,-0.047491286,0.08892105,"[-2.4, -14.38493333]"
1000.0,12.49566752118785,13.96205002855956,0.076,-62.0,3.7572525602451705,4.452010781658104,0.112,-53.0,14.57265567905414,16.84558129005942,1.319,-66.0,16.402266364169584,19.628632784786618,0.07,-69.0,7.660245434923667,8.80180981389623,0.069,-66.0,18.75003716103701,20.245826829250515,0.063,-68.0,-0.4953143,0.22851457,9.101699,0.007635591,0.002596101,-0.023059484,-16.987501,27.300001,51.425,0.49923763,-0.02506446,0.054366358,"[-2.4, -14.37366667]"
1200.0,12.492657433868903,13.843973743112922,0.076,-61.0,3.746598158329766,4.530492688439084,0.055,-52.0,14.56154297318797,15.790085623580387,0.336,-64.0,16.391613915658212,19.276516516217345,0.146,-76.0,7.657571009138602,8.869918601655824,0.097,-66.0,18.741401595398354,19.952736178278908,0.225,-63.0,-0.20817557,-0.09930214,9.891331,-0.001068983,0.011147963,-0.017103724,-17.1375,27.2875,52.100002,0.5230557,0.010036751,0.021043159,"[-2.4, -14.3624]"
1400.0,12.489656784541234,13.648844786281364,0.223,-66.0,3.735947348964769,4.64818512970385,0.11,-50.0,14.550430504127252,15.683031626570164,0.055,-67.0,16.380962289027373,17.76296427964657,0.081,-77.0,7.654912231530606,9.154355466115568,0.146,-55.0,18.732768825121312,21.622219682539534,0.913,-65.0,-0.2961118,0.38404804,9.561719,-0.005192202,0.014965758,0.005955761,-16.6625,27.1875,51.575,0.5407668,-0.04012437,0.030958574,"[-2.4, -14.35113333]"
1600.0,12.486665582659642,13.648844786281364,0.223,-66.0,3.7253001724125374,4.64818512970385,0.11,-50.0,14.53931828227778,15.683031626570164,0.055,-67.0,16.370311495334377,17.76296427964657,0.081,-77.0,7.652269120749536,9.154355466115568,0.146,-55.0,18.72413886173078,21.622219682539534,0.913,-65.0,-0.4354937,-0.2727818,9.917053,0.0,-0.009315421,-0.014813046,-16.8125,27.325,51.2625,0.4685478,0.027472937,0.04388543,"[-2.4, -14.33986667]"
1800.0,12.483683829703473,13.883999747911263,0.11,-62.0,3.714656640929279,4.373511632544265,0.097,-54.0,14.528206288458323,15.908144329242177,0.23,-67.0,16.359661517280852,19.198490175011155,0.095,-77.0,7.649641688340703,9.036177289097422,0.149,-59.0,18.715511693779572,19.746670833332892,0.106,-68.0,-0.5246264,0.30927232,10.125229,-0.00167983,0.019852536,0.016951011,-17.3375,27.0,50.9375,0.5238523,-0.03049435,0.051767487,"[-2.4, -14.3286]"
