Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm),real_distance,rtt_kalman
0,24.578,0.105,-59,21.84272,21.578
522,24.39,0.06,-58,21.80733,21.55429461
1056,23.957,0.075,-61,21.75597,21.47898022
1569,24.785,0.09,-60,21.70478,21.51756693
2093,24.996,0.06,-58,21.66072,21.5778937
2610,26.078,0.135,-63,21.61614,21.76704584
3138,29.335,0.195,-64,21.55607,22.34303074
3665,24.238,0.03,-61,21.50701,22.20369532
4191,24.316,0.09,-62,21.4546,22.09176414
4713,24.582,0.165,-60,21.40344,22.02748716
5235,27.304,0.21,-61,21.35114,22.31453873
5768,24.351,0.255,-64,21.29846,22.19304436
6292,24.339,0.09,-59,21.24793,22.08535631
6807,24.691,0.12,-57,21.20116,22.03563138
7356,24.929,0,-57,21.14644,22.02218636
7858,24.656,0.15,-57,21.09492,21.97601339
8389,24.593,0.105,-59,21.04469,21.92771862
8915,24.878,0.135,-65,20.99991,21.92144978
9432,25.214,0.15,-62,20.94802,21.95833846
9955,25.121,0.045,-58,20.90272,21.97884919
10475,24.585,0.06,-58,20.84938,21.92918811
11002,23.117,0.135,-65,20.7917,21.7006851
11544,24.089,0.105,-63,20.74458,21.6235563
12057,24.695,0.165,-63,20.69525,21.63256486
12574,26.046,0.045,-61,20.64749,21.81078847
13124,22.82,0.105,-63,20.59031,21.55976519
13625,24.941,0.06,-55,20.54308,21.60783602
14153,24.125,0.075,-57,20.4923,21.54695405
14673,23.679,0.105,-59,20.44549,21.43751153
15205,23.914,0.075,-62,20.39088,21.37150053
15725,23.691,0.075,-57,20.33813,21.28569435
16245,23.07,0.12,-60,20.29255,21.13240416
16769,23.679,0.06,-64,20.23429,21.07523291
17304,22.816,0.09,-62,20.18788,20.91645266
17843,23.054,0.075,-58,20.13847,20.80770328
18349,22.156,0.105,-63,20.08511,20.59943523
18865,23.183,0.105,-58,20.03519,20.54692503
19393,23.128,0.15,-58,19.98239,20.49410083
19914,23.3,0.135,-65,19.93322,20.46962524
20441,23.843,0.075,-58,19.88247,20.51670403
20962,22.835,0.015,-61,19.84057,20.43074535
21508,22.55,0.06,-59,19.7886,20.31968898
22013,22.324,0.075,-60,19.73482,20.19413899
22538,23.449,0.105,-58,19.69126,20.22627385
23072,23.64,0.06,-59,19.63218,20.27844044
24120,22.261,0.105,-66,19.54489,20.15014772
24639,21.988,0.075,-61,19.49871,20.00360838
25160,22.031,0.09,-60,19.44885,19.8809684
25680,26.117,0.045,-60,19.39231,20.28900622
26207,22.054,0.09,-62,19.34823,20.1332801
26742,22.062,0.105,-65,19.28949,19.99819847
27259,22.753,0.135,-61,19.24702,19.96727941
27804,22.652,0.12,-61,19.19127,19.92752365
28327,22.828,0.06,-62,19.14543,19.91497304
28838,22.25,0.105,-62,19.09923,19.83112349
29363,25.027,0.285,-65,19.04188,20.10800552
29902,25.519,0.195,-65,18.99616,20.41201256
30425,24.148,0,-65,18.95302,20.50481404
30934,22.339,0.075,-61,18.90505,20.35781271
31453,22.863,0.09,-57,18.85634,20.29541949
31986,21.992,0.09,-61,18.794,20.13106697
32517,21.546,0.06,-60,18.75035,19.93120067
33024,22.179,0.075,-61,18.69866,19.83635238
33570,21.429,0.105,-58,18.65062,19.65889431
34081,21.777,0.075,-56,18.60465,19.54769239
34609,21.316,0.105,-60,18.54377,19.39238347
35145,20.605,0.06,-61,18.49438,19.16700594
35667,21.285,0.075,-59,18.45198,19.05578953
36193,21.199,0.015,-62,18.40298,18.94775262
36692,20.773,0.09,-63,18.35045,18.79962285
37214,21.414,0.06,-58,18.30031,18.7509963
37744,20.273,0.075,-63,18.25093,18.56462962
38262,20.929,0.135,-63,18.19972,18.48447889
38788,21.652,0.15,-62,18.1534,18.50559936
39317,20.058,0.165,-62,18.0971,18.32306529
39847,20.32,0.12,-63,18.04755,18.19658347
40381,20.589,0.285,-59,17.99564,18.11996883
40900,19.441,0.195,-60,17.94716,17.90826047
41412,19.613,0.06,-61,17.9019,17.74493467
41938,19.828,0.105,-59,17.84668,17.62931278
42461,20.937,0.045,-58,17.79885,17.66810641
42982,20.972,0.045,-58,17.74951,17.70642173
43517,20.468,0.075,-59,17.70473,17.67635519
44036,20.402,0.06,-62,17.64475,17.64175768
44567,21.113,0.075,-59,17.60157,17.7011744
45087,21.96,0.105,-61,17.55005,17.8598995
45607,21.14,0.075,-60,17.49828,17.89521485
46137,20.289,0.06,-59,17.45345,17.81877252
46665,20.902,0.075,-58,17.40717,17.82926363
47202,20.359,0.09,-58,17.35779,17.76996367
47728,20.253,0,-58,17.30729,17.70477514
48229,19.601,0.075,-59,17.25609,17.56559403
48760,20.171,0.06,-57,17.20247,17.51583521
49278,20.093,0.09,-59,17.1561,17.46251535
49801,19.554,0.075,-57,17.10525,17.34795482
50325,19.039,0.06,-57,17.05338,17.18290179
50850,18.64,0.075,-63,17.00523,16.98834965
51374,20.367,0.09,-57,16.96013,17.03609065
51910,21.824,0.135,-61,16.91106,17.26152866
52439,20.339,0.03,-61,16.85653,17.27129348
52946,20.722,0.105,-60,16.8095,17.32812047
53469,19.039,0.225,-60,16.76602,17.16556837
54002,19.097,0.075,-60,16.71422,17.03082611
54544,18.296,0.21,-59,16.66274,16.81207362
55042,18.476,0.225,-59,16.61785,16.64360064
55566,18.5,0.075,-59,16.55906,16.49939692
56095,18.472,0.075,-57,16.51437,16.36984548
56615,18.558,0.06,-54,16.46466,16.26747336
57143,18.57,0.06,-52,16.41752,16.17952261
57672,18.792,0.105,-51,16.36818,16.13065424
58196,18.437,0.06,-51,16.31648,16.04318494
