M1 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AP7 True Distance (m),AP7 RTT Distance (m),AP7 RTT std (m),AP7 RSS (dBm),AP8 True Distance (m),AP8 RTT Distance (m),AP8 RTT std (m),AP8 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M1 Ground Truth_x,M1 Ground Truth_y,user,circle
0,8.566918933,9.464802375,0.105,-65,8.9177856,10.86550178,0.127,-63,0,0,0,0,0,0,0,0,16.57746965,17.66592565,0.142,-66,23.02069504,25.70413743,0.13,-75,5.450770588,7.158559632,0.199,-59,17.75474021,19.4735821,0.24,-60,-0.23330021,0.24765715,9.806984,0,0.012369657,-0.001221695,-15.2,9.5,72.025,1.0535442,-0.025240637,0.023784705,-8.15,2.64,1,3
226.587627,8.558769559,9.543911619,0.152,-65,8.909957147,10.44503944,0.119,-66,0,0,0,0,0,0,0,0,16.56914983,17.93002981,0.086,-63,23.01221051,26.05620312,0.11,-71,5.458676972,7.236747612,0.199,-59,17.74657648,18.69231396,0.095,-60,-0.31585258,-0.10049855,9.798609,-0.002901525,0.000611,0.023059484,-15,10.05,71.5375,0.866164,0.010250727,0.032223273,-8.141433311,2.64,1,3
499.246925,8.550621,9.23046781,0.104,-66,8.902130054,10.48408394,0.096,-67,0,0,0,0,0,0,0,0,16.56083026,17.93002981,0.131,-64,23.00372604,25.67513194,0.192,-73,5.466585345,7.354022097,0.148,-58,17.73841312,19.04343719,0.105,-60,-0.7280163,0.9415757,10.074382,-0.009926268,-0.018019995,0.07284354,-15.9125,8.925,71.7125,1.3733352,-0.09295067,0.07213873,-8.132866622,2.64,1,3
729.682,8.542473261,9.308581202,0.199,-65,8.894304325,10.57218312,0.057,-67,0,0,0,0,0,0,0,0,16.55251094,17.84199543,0.097,-63,22.99524163,25.85016489,0.164,-75,5.474495699,7.275840089,0.222,-57,17.73025015,18.92639662,0.105,-61,-0.26919255,0.44805604,9.87159,0.006261184,0.007482879,-0.006108473,-15.087501,9.2625,71.6875,1.14296,-0.045340482,0.027262665,-8.124299934,2.64,1,3
970.589837,8.534326342,10.75638527,0.777,-64,8.886479961,10.18273171,1.34,-68,0,0,0,0,0,0,0,0,16.54419187,17.90101852,0.062,-60,22.98675728,26.6223051,0.205,-77,5.482408026,7.314931579,0,-55,17.72208755,18.92639662,0,-63,-1.0456635,-0.21655045,9.510274,-0.026419144,0.07605048,0.02519745,-15.75,8.9375,71.5375,0.6374109,0.022629894,0.10951104,-8.115733245,2.64,1,3
1229.203977,8.518034973,9.074235174,0.398,-70,8.87083535,10.36594829,0.123,-74,0,0,0,0,0,0,0,0,16.5275545,18.047075,0.136,-61,22.96978877,26.6223051,0.154,-80,5.498238564,6.374420444,0.185,-57,17.70576351,18.77034174,0.07,-60,-0.47856453,-0.098703936,9.361918,0.006108473,0.013896775,-0.07437065,-15.35,9.6375,71.225,0.8441716,0.010528995,0.05107376,-8.098599867,2.64,1,3
1459.753948,8.50989053,9.934425449,0.1,-74,8.86301511,10.13166995,0.146,-66,0,0,0,0,0,0,0,0,16.51923619,17.93002981,0.069,-64,22.9613046,25.25505098,0.11,-68,5.506156758,8.723682938,0.321,-55,17.69760206,23.02957284,0.095,-62,-0.41814575,0.04127619,9.638887,0.002596101,0.006261184,-0.006108473,-15.425,9.1125,71.0375,0.9506779,-0.004278207,0.04335394,-8.090033179,2.64,1,3
1702.841316,8.501746916,9.543911619,0.063,-69,8.85519625,9.985489673,0.104,-66,0,0,0,0,0,0,0,0,16.51091814,17.74695794,0.697,-58,22.9528205,25.64512624,0.173,-70,5.51407689,6.609113708,0.169,-54,17.689441,19.20049085,0.152,-61,-0.02871387,0.09332009,10.131211,0.012522369,-0.050089475,-0.004886778,-15.225,9.525001,70.55,1.0372863,-0.009210851,0.002834192,-8.08146649,2.64,1,3
1957.151654,8.493604135,9.582964886,0.095,-72,8.847378775,11.33397657,0.16,-65,0,0,0,0,0,0,0,0,16.50260034,17.95904107,0.103,-64,22.94433646,26.96436465,0.135,-74,5.521998954,7.236747612,0.151,-54,17.68128032,18.9654102,0.11,-60,0.14237295,0.016749758,10.926825,0.011300675,-0.041690327,-0.009773556,-16.275,8.6375,71.225,1.1105093,-0.001532771,-0.013028936,-8.072899801,2.64,1,3
2193.023448,8.485462188,10.20876295,0.063,-64,8.839562689,12.36089159,0.143,-63,0,0,0,0,0,0,0,0,16.4942828,18.01806385,0.05,-64,22.93585247,26.23123512,0.095,-69,5.529922939,6.061412707,0.06,-55,17.67312002,19.08345095,0.055,-63,-1.0576276,0.27936205,8.419147,0.002443389,0.017103724,0.001221695,-15.9375,8.8125,70.55,0.82851887,-0.03291111,0.1249671,-8.064333112,2.64,1,3
